Latitude,Longitude,Subbasin,GL Type,Area (ha),Elevation (m)
29.735,82.974,Upper Yarlung Tsangpo,M(e),80.86,"5,337"
30.591,83.519,Upper Yarlung Tsangpo,O,270.94,"5,227"
30.465,83.984,Upper Yarlung Tsangpo,E(o),84.88,"5,450"
30.431,83.996,Upper Yarlung Tsangpo,E(o),206.16,"5,429"
29.726,83.105,Upper Yarlung Tsangpo,O,113.22,"5,010"
29.689,83.19,Upper Yarlung Tsangpo,O,54.5,"5,007"
29.604,83.376,Upper Yarlung Tsangpo,O,145.71,"4,889"
29.582,83.355,Upper Yarlung Tsangpo,O,118.74,"4,888"
29.511,83.444,Upper Yarlung Tsangpo,O,211.06,"4,959"
29.499,83.428,Upper Yarlung Tsangpo,O,59.8,"4,959"
29.47,83.764,Upper Yarlung Tsangpo,O,77.62,"5,282"
28.832,87.56,Upper Yarlung Tsangpo,O,140.16,"5,296"
29.845,84.676,Upper Yarlung Tsangpo,M(e),51.54,"5,536"
29.558,85.88,Upper Yarlung Tsangpo,O,56.48,"5,186"
29.556,87.028,Upper Yarlung Tsangpo,O,119.59,"4,729"
30.168,88.62,Upper Yarlung Tsangpo,E(o),50.13,"5,029"
30.148,88.627,Upper Yarlung Tsangpo,E(o),213.67,"5,011"
28.026,88.71,Teesta,M(e),113.46,"5,148"
28.008,88.698,Teesta,M(e),99.32,"5,209"
28.006,88.713,Teesta,M(e),119.15,"5,238"
28.011,88.756,Teesta,M(o),108.12,"5,094"
27.92,88.159,Teesta,M(e),83.63,"5,441"
27.913,88.196,Teesta,M(e),128.14,"5,194"
27.947,88.332,Teesta,M(o),60.49,"5,034"
27.822,88.249,Teesta,M(e),70.94,"5,414"
27.992,88.545,Teesta,M(e),68.28,"5,161"
27.975,88.616,Teesta,M(e),57.86,"4,960"
27.99,88.816,Teesta,M(e),174.29,"5,303"
28.805,89.155,Upper Yarlung Tsangpo,O,68.23,"4,219"
28.327,89.43,Upper Yarlung Tsangpo,E(o),140.5,"4,426"
28.144,89.396,Upper Yarlung Tsangpo,O,62.48,"4,473"
28.025,89.428,Upper Yarlung Tsangpo,E(o),63.43,"4,791"
28.241,89.695,Upper Yarlung Tsangpo,E(o),70.85,"4,693"
28.228,89.638,Upper Yarlung Tsangpo,E(o),1273.72,"4,568"
28.181,89.535,Upper Yarlung Tsangpo,E(o),82.15,"4,694"
28.23,89.887,Upper Yarlung Tsangpo,M(e),151.09,"4,921"
28.264,90.068,Upper Yarlung Tsangpo,M(e),188.07,"5,149"
28.236,90.104,Upper Yarlung Tsangpo,M(e),585.02,"5,126"
27.969,89.379,Upper Yarlung Tsangpo,E(o),66.73,"4,568"
27.959,89.397,Upper Yarlung Tsangpo,E(o),181.69,"4,576"
27.941,89.389,Upper Yarlung Tsangpo,E(o),279.3,"4,572"
27.878,89.312,Upper Yarlung Tsangpo,M(e),61.73,"5,001"
27.809,89.23,Amo Chu,M(e),52.68,"5,137"
28.107,90.247,Puna Tsang Chu,M(e),132.27,"4,369"
28.016,90.21,Puna Tsang Chu,E(o),54.12,"5,127"
28.092,90.301,Puna Tsang Chu,M(e),153.89,"4,513"
27.973,89.93,Puna Tsang Chu,E(c),65,"5,076"
27.94,89.93,Puna Tsang Chu,M(o),72.67,"5,002"
27.977,90.233,Puna Tsang Chu,M(o),67.28,"5,072"
27.8,90.231,Puna Tsang Chu,E(o),74.59,"4,758"
30.479,90.966,Lhasa Tsangpo,E(o),85.72,"5,035"
31.12,92.833,Lhasa Tsangpo,O,388.59,"4,902"
31.112,92.815,Lhasa Tsangpo,O,68.03,"4,905"
31.109,92.952,Lhasa Tsangpo,O,97.67,"4,894"
31.036,92.787,Lhasa Tsangpo,O,94.42,"4,908"
