S.No.,Latitude,Longitude,Subbasin,GL type,Area(ha),Elev(m)
465,28.426,85.564,Trisuli,M(e),29.39,"4,873"
466,28.405,85.588,Trisuli,M(o),10.51,"5,251"
467,28.404,85.605,Trisuli,M(o),12.01,"5,265"
468,28.358,85.538,Trisuli,M(o),10.83,"4,390"
469,28.163,85.63,Trisuli,M(o),13.05,"4,986"
470,28.442,85.78,Bum Chu,M(e),48.25,"5,577"
471,28.371,85.89,Sun Kosi,E(o),27.07,"5,242"
472,28.36,85.871,Sun Kosi,M(e),463.78,"5,212"
473,28.329,85.869,Sun Kosi,M(o),213.52,"5,167"
474,28.323,85.908,Sun Kosi,M(o),14.56,"5,387"
475,28.322,85.838,Sun Kosi,M(e),540.35,"5,067"
476,28.321,85.93,Sun Kosi,M(o),11.18,"5,298"
477,28.313,85.948,Sun Kosi,M(o),25.06,"5,227"
478,28.297,85.819,Sun Kosi,E(c),28.1,"5,080"
479,28.293,85.83,Sun Kosi,M(o),28.5,"5,023"
480,28.261,85.915,Sun Kosi,O,15.97,"5,106"
481,28.211,85.847,Sun Kosi,M(e),61.34,"4,374"
482,28.182,85.923,Sun Kosi,E(o),47.08,"4,355"
483,28.151,85.905,Sun Kosi,I(s),12.6,"4,495"
484,28.139,85.919,Sun Kosi,M(o),10.15,"4,865"
485,28.347,86.225,Sun Kosi,M(e),55.9,"5,348"
486,28.335,86.192,Sun Kosi,M(e),55,"5,422"
487,28.321,86.158,Sun Kosi,M(o),22.44,"5,549"
488,28.303,86.157,Sun Kosi,M(e),59.05,"5,307"
489,28.295,86.151,Sun Kosi,M(e),16.51,"5,346"
490,28.294,86.131,Sun Kosi,M(e),23.99,"5,244"
491,28.27,86.187,Tama Kosi,M(e),12.64,"5,335"
492,28.253,86.103,Sun Kosi,M(e),14.98,"5,189"
493,28.249,86.15,Tama Kosi,M(o),13.16,"5,331"
494,28.243,86.196,Tama Kosi,M(e),17.69,"5,338"
495,28.183,86.226,Tama Kosi,M(o),12.34,"5,223"
496,28.067,86.066,Sun Kosi,M(o),32.5,"4,630"
497,28.392,86.415,Bum Chu,M(e),20.17,"5,502"
498,28.381,86.384,Bum Chu,M(e),13.92,"5,551"
499,28.374,86.305,Bum Chu,M(e),391.5,"5,346"
500,28.374,86.259,Sun Kosi,M(e),27.54,"5,544"
501,28.348,86.493,Bum Chu,M(e),34.51,"5,524"
502,28.199,86.582,Bum Chu,M(e),134.64,"5,094"
503,28.245,86.321,Tama Kosi,M(o),21.56,"5,361"
504,28.24,86.365,Tama Kosi,M(e),24.72,"5,327"
505,28.194,86.314,Tama Kosi,M(e),27.79,"5,245"
506,28.193,86.351,Tama Kosi,M(e),19.87,"5,339"
507,28.033,86.5,Tama Kosi,M(e),60.86,"5,057"
508,28.887,86.514,Bum Chu,E(o),98.23,"5,098"
509,28.84,86.575,Bum Chu,E(o),26.39,"5,465"
510,28.815,86.529,Bum Chu,E(o),32.37,"5,326"
511,28.321,86.511,Bum Chu,M(o),10.75,"5,321"
512,28.283,86.502,Bum Chu,I(s),22.63,"5,157"
513,28.207,86.629,Bum Chu,M(e),27.78,"5,539"
514,28.185,86.532,Tama Kosi,M(e),67.68,"5,025"
515,28.151,86.535,Tama Kosi,M(o),18.48,"5,220"
516,28.135,86.531,Tama Kosi,M(e),97.85,"4,984"
517,28.073,86.52,Tama Kosi,M(e),23.11,"5,216"
518,28.044,86.514,Tama Kosi,M(l),57.94,"5,241"
519,28.038,86.71,Dudh Kosi,M(e),15.44,"5,363"
520,28.026,86.682,Dudh Kosi,M(o),18.71,"5,149"
521,28.017,86.721,Dudh Kosi,M(o),19.81,"5,066"
522,28.006,86.682,Dudh Kosi,M(l),17.13,"4,947"
523,28.112,86.863,Arun Kosi,I(s),39.4,"5,218"
524,28.274,87.15,Arun Kosi,E(o),11.91,"5,012"
525,28.27,87.246,Arun Kosi,E(o),15.31,"5,166"
526,28.226,87.053,Arun Kosi,M(e),17.19,"5,050"
527,28.208,87.101,Arun Kosi,E(o),101.93,"4,852"
528,28.205,87.052,Arun Kosi,O,65.11,"4,980"
529,28.166,87.122,Arun Kosi,E(o),12.23,"5,219"
530,28.159,87.143,Arun Kosi,E(o),18.93,"5,154"
531,28.152,87.158,Arun Kosi,O,94.74,"5,141"
532,28.152,87.174,Arun Kosi,O,10.97,"5,075"
533,28.142,87.105,Arun Kosi,M(o),16.53,"5,472"
534,28.142,87.112,Arun Kosi,M(o),25.06,"5,470"
535,28.13,87.082,Arun Kosi,M(e),19.29,"5,518"
536,28.111,87.065,Arun Kosi,M(o),31.03,"5,468"
537,28.069,87.134,Arun Kosi,M(e),25.49,"4,879"
538,28.068,87.047,Arun Kosi,M(e),78.93,"5,589"
539,28.065,87.193,Arun Kosi,M(o),10.78,"4,837"
540,28.039,87.167,Arun Kosi,M(e),24.07,"4,739"
541,28.032,87.19,Arun Kosi,E(c),27.29,"5,013"
542,28.007,87.028,Arun Kosi,M(e),14.23,"5,509"
543,28.005,87.142,Arun Kosi,M(e),43.7,"4,450"
544,28.775,87.437,Bum Chu,E(o),21.8,"5,553"
545,28.76,87.417,Bum Chu,E(o),15.68,"5,458"
546,28.754,87.427,Bum Chu,E(o),13.58,"5,511"
547,28.75,87.455,Bum Chu,E(o),31.67,"5,680"
548,28.742,87.382,Bum Chu,E(o),41.57,"5,501"
549,28.737,87.479,Bum Chu,E(o),23.55,"5,415"
550,28.735,87.44,Bum Chu,E(o),23.96,"5,577"
551,28.734,87.406,Bum Chu,E(o),18.44,"5,600"
552,28.728,87.478,Bum Chu,E(o),24.81,"5,384"
553,28.393,86.379,Bum Chu,M(e),100.11,"5,482"
554,28.213,87.47,Arun Kosi,O,131.39,"4,781"
555,28.172,87.479,Arun Kosi,M(e),23.91,"5,290"
556,28.165,87.418,Arun Kosi,O,10.93,"4,818"
557,28.161,87.487,Arun Kosi,M(e),10.29,"5,298"
558,28.16,87.443,Arun Kosi,O,32.33,"4,854"
559,28.148,87.469,Arun Kosi,M(o),39.58,"5,106"
560,28.137,87.428,Arun Kosi,M(e),25.85,"5,191"
561,28.064,87.354,Arun Kosi,E(o),13.08,"4,190"
562,28.023,87.27,Arun Kosi,E(o),10.23,"4,636"
563,28.016,87.259,Arun Kosi,E(o),33.07,"4,672"
564,28.012,87.297,Arun Kosi,E(o),12.13,"4,416"
565,28.858,86.519,Bum Chu,E(o),81.24,"5,254"
566,28.841,87.509,Bum Chu,E(o),25.2,"5,486"
567,28.832,86.522,Bum Chu,E(o),281.32,"5,319"
568,28.773,87.553,Yeru Chu,O,25.64,"5,319"
569,28.747,87.625,Yeru Chu,E(o),17.28,"5,545"
570,28.712,87.548,Yeru Chu,O,41.2,"5,188"
571,28.694,87.534,Bum Chu,E(o),60.74,"5,158"
572,28.268,87.634,Arun Kosi,M(o),10.04,"5,674"
573,28.236,87.501,Arun Kosi,M(o),20.48,"5,225"
574,28.23,87.591,Arun Kosi,M(e),78.9,"5,410"
575,28.228,87.578,Arun Kosi,M(e),21.94,"5,247"
576,28.206,87.56,Arun Kosi,M(e),15.95,"5,337"
577,28.195,87.641,Yeru Chu,M(e),47.42,"5,352"
578,28.178,87.563,Arun Kosi,M(e),104.19,"5,011"
579,28.167,87.623,Yeru Chu,M(e),20.87,"5,375"
580,28.164,87.578,Arun Kosi,M(e),20.22,"5,171"
581,28.155,87.612,Arun Kosi,M(o),13.82,"5,241"
582,28.131,87.599,Arun Kosi,M(o),14.18,"5,261"
583,28.118,87.615,Arun Kosi,M(e),35.67,"5,052"
584,28.116,87.586,Arun Kosi,M(e),12.43,"5,050"
585,28.114,87.655,Arun Kosi,M(e),146.34,"4,954"
586,28.107,87.584,Arun Kosi,M(e),15.91,"4,968"
587,28.093,87.637,Arun Kosi,M(e),72.47,"5,178"
588,28.052,87.627,Arun Kosi,M(e),18.4,"5,066"
589,27.947,86.446,Tama Kosi,M(e),156.76,"5,046"
590,27.929,86.433,Tama Kosi,M(o),31.99,"5,025"
591,27.927,86.42,Tama Kosi,M(o),15.72,"5,020"
592,27.917,86.465,Tama Kosi,M(o),17.56,"5,259"
593,27.916,86.477,Tama Kosi,M(o),14.08,"5,110"
594,27.861,86.476,Tama Kosi,M(e),158.4,"4,550"
595,27.85,86.356,Tama Kosi,E(o),11.18,"4,424"
596,27.975,86.681,Dudh Kosi,M(l),57.83,"4,834"
597,27.951,86.69,Dudh Kosi,M(l),42.11,"4,741"
598,27.941,86.699,Dudh Kosi,M(l),18,"4,709"
599,27.874,86.586,Dudh Kosi,M(e),40.18,"4,368"
600,27.791,86.621,Dudh Kosi,M(o),46.73,"5,157"
601,27.779,86.612,Dudh Kosi,M(e),117.31,"4,831"
602,27.778,86.643,Dudh Kosi,M(o),29.27,"5,163"
603,27.997,86.835,Dudh Kosi,M(o),11.55,"5,321"
604,27.975,86.804,Dudh Kosi,I(s),24.84,"5,183"
605,27.924,86.786,Dudh Kosi,M(l),54.85,"4,512"
606,27.898,86.925,Dudh Kosi,M(e),139.77,"5,003"
607,27.894,86.913,Dudh Kosi,E(c),11.28,"4,986"
608,27.857,86.937,Dudh Kosi,M(o),21.45,"5,473"
609,27.85,86.928,Dudh Kosi,M(o),48.86,"5,411"
610,27.837,86.935,Dudh Kosi,M(e),29.39,"5,209"
611,27.832,86.917,Dudh Kosi,M(o),33.07,"5,360"
612,27.805,86.974,Dudh Kosi,M(e),16.77,"5,516"
613,27.799,86.966,Dudh Kosi,M(e),21.36,"5,396"
614,27.794,86.911,Dudh Kosi,M(o),18.87,"5,274"
615,27.793,86.838,Dudh Kosi,M(o),22.89,"5,351"
616,27.783,86.957,Dudh Kosi,M(e),87.28,"5,198"
617,27.766,86.871,Dudh Kosi,I(s),13.68,"4,931"
618,27.755,86.958,Dudh Kosi,M(o),86.5,"4,927"
619,27.743,86.844,Dudh Kosi,M(e),25.73,"4,362"
620,27.719,86.91,Dudh Kosi,M(o),14.93,"4,989"
621,27.696,86.792,Dudh Kosi,M(o),12.95,"4,951"
622,27.687,86.858,Dudh Kosi,M(e),31.8,"4,764"
623,27.681,86.853,Dudh Kosi,E(o),11.85,"4,694"
624,27.959,87.247,Arun Kosi,E(c),12.02,"4,457"
625,27.906,87.188,Arun Kosi,E(c),33.14,"4,490"
626,27.844,87.081,Arun Kosi,M(e),41.15,"4,847"
627,27.829,87.095,Arun Kosi,M(o),12.06,"5,225"
628,27.798,87.092,Arun Kosi,M(e),182.16,"4,543"
629,27.691,87.206,Arun Kosi,E(c),11.49,"4,088"
630,27.983,87.345,Arun Kosi,E(o),26.18,"3,728"
631,27.948,87.349,Arun Kosi,E(c),10.13,"3,991"
632,27.932,87.293,Arun Kosi,E(o),12.13,"4,373"
633,27.918,87.306,Arun Kosi,E(c),11.15,"4,416"
634,27.837,87.341,Arun Kosi,E(c),19.17,"4,243"
635,27.997,87.522,Arun Kosi,E(c),12.38,"4,720"
636,27.986,87.583,Arun Kosi,E(o),12.33,"4,826"
637,27.979,87.557,Arun Kosi,E(c),11.03,"4,767"
638,27.9,87.699,Arun Kosi,M(e),11.27,"5,226"
639,27.864,87.737,Arun Kosi,E(c),13.98,"5,337"
640,27.816,87.749,Tamur Kosi,M(e),17.17,"4,903"
641,27.681,87.694,Tamur Kosi,E(c),13.3,"4,633"
642,27.681,87.517,Arun Kosi,E(c),10.1,"4,472"
643,27.651,87.703,Tamur Kosi,E(o),14.36,"4,460"
644,27.645,87.573,Tamur Kosi,O,11.78,"3,860"
645,27.639,87.633,Tamur Kosi,E(c),16.45,"4,289"
646,27.63,87.696,Tamur Kosi,E(c),14.11,"4,179"
647,27.629,87.706,Tamur Kosi,E(o),13.01,"4,319"
648,27.62,87.712,Tamur Kosi,E(o),12.63,"4,454"
649,27.617,87.543,Tamur Kosi,E(c),10.93,"4,471"
650,27.969,87.884,Yeru Chu,M(l),17.9,"5,597"
651,27.964,87.814,Arun Kosi,M(e),40.61,"5,249"
652,27.952,87.908,Yeru Chu,M(e),64.79,"5,165"
653,27.95,87.93,Yeru Chu,M(e),83.66,"5,106"
654,27.928,88.002,Yeru Chu,M(e),113.22,"5,348"
655,27.926,87.771,Arun Kosi,M(e),97.66,"4,913"
656,27.881,87.805,Tamur Kosi,M(e),34.32,"4,690"
657,27.869,87.866,Tamur Kosi,M(e),68.12,"4,910"
658,27.849,87.831,Tamur Kosi,O,33.5,"4,437"
659,27.793,87.974,Tamur Kosi,M(e),22.32,"5,183"
660,27.79,87.934,Tamur Kosi,M(o),14.1,"4,938"
661,27.757,87.777,Tamur Kosi,E(c),25.46,"4,708"
662,27.745,87.782,Tamur Kosi,E(c),19.69,"4,775"
663,27.738,87.778,Tamur Kosi,E(o),22.06,"4,705"
664,28.004,88.241,Yeru Chu,M(e),41.8,"5,269"
665,28.054,88.427,Yeru Chu,O,101.66,"4,888"
666,28.033,88.461,Yeru Chu,E(o),13.87,"5,156"
667,28.022,88.355,Yeru Chu,M(e),56.29,"5,195"
668,28.017,88.288,Yeru Chu,M(e),50.43,"5,268"
669,28.009,88.259,Yeru Chu,M(e),59.7,"5,256"
670,28.005,88.32,Yeru Chu,M(e),38.58,"5,104"
671,27.988,88.221,Yeru Chu,M(e),11.94,"5,372"
672,27.946,88.075,Yeru Chu,M(e),148.59,"5,488"
673,27.943,88.041,Yeru Chu,M(o),10.32,"5,821"
674,27.933,88.066,Yeru Chu,M(e),83.35,"5,563"
675,27.928,88.019,Yeru Chu,M(e),13.25,"5,692"
676,27.835,88.078,Tamur Kosi,M(e),16.48,"5,604"
677,27.545,88.05,Tamur Kosi,M(o),25.72,"5,020"
678,27.994,88.402,Yeru Chu,M(e),18.97,"5,171"
679,30.478,82.173,Upper YarlungTsangpo,O,31.29,"5,250"
680,30.468,82.06,Upper YarlungTsangpo,O,378.8,"5,180"
681,30.461,82.108,Upper YarlungTsangpo,O,16.73,"5,177"
682,30.431,82.181,Upper YarlungTsangpo,O,32.23,"5,000"
683,30.413,82.171,Upper YarlungTsangpo,O,37.71,"5,002"
684,30.398,82.192,Upper YarlungTsangpo,E(o),86.53,"5,203"
685,30.366,82.156,Upper YarlungTsangpo,E(o),12.73,"5,450"
686,30.362,82.055,Upper YarlungTsangpo,M(e),56.83,"5,283"
687,30.352,82.238,Upper YarlungTsangpo,O,29.81,"5,106"
688,30.34,82.141,Upper YarlungTsangpo,M(e),16.12,"5,580"
689,30.31,82.2,Upper YarlungTsangpo,M(e),19.08,"5,530"
690,30.282,82.169,Upper YarlungTsangpo,M(e),16.58,"5,339"
691,30.255,82.209,Upper YarlungTsangpo,M(e),128.7,"5,057"
692,30.221,82.232,Upper YarlungTsangpo,M(e),44.31,"5,582"
693,30.432,82.362,Upper YarlungTsangpo,O,152.61,"4,882"
694,30.419,82.302,Upper YarlungTsangpo,O,901.4,"4,931"
695,30.407,82.355,Upper YarlungTsangpo,O,23.16,"4,870"
696,30.406,82.256,Upper YarlungTsangpo,O,14.1,"4,936"
697,30.371,82.273,Upper YarlungTsangpo,O,10.68,"4,966"
698,30.342,82.271,Upper YarlungTsangpo,O,69.03,"4,993"
699,30.329,82.27,Upper YarlungTsangpo,O,58.67,"4,990"
700,30.318,82.272,Upper YarlungTsangpo,O,15.62,"4,996"
701,30.311,82.259,Upper YarlungTsangpo,O,25.33,"4,997"
702,30.217,82.486,Upper YarlungTsangpo,O,25.14,"4,791"
703,30.106,82.404,Upper YarlungTsangpo,E(o),48.23,"4,912"
704,30.103,82.27,Upper YarlungTsangpo,M(e),203.15,"4,875"
705,30.079,82.343,Upper YarlungTsangpo,M(e),91.73,"4,849"
706,30.832,82.526,Upper YarlungTsangpo,O,14.79,"5,307"
707,30.807,82.75,Upper YarlungTsangpo,M(o),14.74,"5,547"
708,30.608,82.652,Upper YarlungTsangpo,O,20.59,"5,088"
709,30.257,82.589,Upper YarlungTsangpo,O,19.38,"4,778"
710,30.881,82.859,Upper YarlungTsangpo,O,146.23,"5,446"
711,30.811,82.754,Upper YarlungTsangpo,M(o),10.06,"5,551"
712,30.654,82.88,Upper YarlungTsangpo,O,12.36,"5,322"
713,30.572,82.906,Upper YarlungTsangpo,M(o),14.28,"5,553"
714,30.563,82.921,Upper YarlungTsangpo,M(o),26.68,"5,607"
715,30.551,82.958,Upper YarlungTsangpo,M(o),29.39,"5,558"
716,30.116,82.756,Upper YarlungTsangpo,O,12.66,"4,842"
717,29.984,82.479,Upper YarlungTsangpo,M(o),11.89,"5,223"
718,29.969,82.496,Upper YarlungTsangpo,M(e),23.18,"4,995"
719,29.985,82.535,Upper YarlungTsangpo,E(o),392.72,"4,829"
720,29.98,82.567,Upper YarlungTsangpo,E(o),19.61,"4,845"
721,29.98,82.589,Upper YarlungTsangpo,M(o),48.6,"4,853"
722,29.962,82.508,Upper YarlungTsangpo,M(e),25.57,"5,084"
723,29.94,82.603,Upper YarlungTsangpo,M(e),28.46,"4,891"
724,29.924,82.618,Upper YarlungTsangpo,M(e),41.72,"4,960"
725,29.84,82.782,Upper YarlungTsangpo,M(e),291.26,"5,058"
726,29.796,82.853,Upper YarlungTsangpo,M(e),53.83,"5,160"
727,29.762,82.885,Upper YarlungTsangpo,M(e),40.66,"5,118"
728,29.735,82.974,Upper YarlungTsangpo,M(e),80.86,"5,337"
729,29.688,82.984,Upper YarlungTsangpo,M(e),45.06,"5,089"
730,30.538,83.044,Upper YarlungTsangpo,E(o),26.81,"5,375"
731,30.529,83.073,Upper YarlungTsangpo,E(o),27.15,"5,609"
732,30.751,83.327,Upper YarlungTsangpo,M(o),12.34,"5,631"
733,30.58,83.365,Upper YarlungTsangpo,M(e),10.59,"5,719"
734,30.591,83.519,Upper YarlungTsangpo,O,270.94,"5,227"
735,30.563,83.518,Upper YarlungTsangpo,O,42.47,"5,240"
736,30.551,83.512,Upper YarlungTsangpo,O,16.57,"5,239"
737,30.669,83.764,Upper YarlungTsangpo,O,12.51,"5,193"
738,30.662,83.763,Upper YarlungTsangpo,O,13.83,"5,192"
739,30.617,83.754,Upper YarlungTsangpo,O,25.44,"5,181"
740,30.612,83.764,Upper YarlungTsangpo,O,13.4,"5,180"
741,30.5,83.963,Upper YarlungTsangpo,E(o),14.7,"5,497"
742,30.492,83.842,Upper YarlungTsangpo,M(o),23.49,"5,633"
743,30.48,83.908,Upper YarlungTsangpo,E(o),41.76,"5,521"
744,30.465,83.984,Upper YarlungTsangpo,E(o),84.88,"5,450"
745,30.461,83.898,Upper YarlungTsangpo,E(o),18.62,"5,536"
746,30.461,83.973,Upper YarlungTsangpo,E(o),19.08,"5,448"
747,30.431,83.996,Upper YarlungTsangpo,E(o),206.16,"5,429"
748,29.731,83.073,Upper YarlungTsangpo,E(o),21.82,"5,086"
749,29.726,83.105,Upper YarlungTsangpo,O,113.22,"5,010"
750,29.693,83.025,Upper YarlungTsangpo,M(e),30.18,"5,371"
751,29.689,83.19,Upper YarlungTsangpo,O,54.5,"5,007"
752,29.686,83.097,Upper YarlungTsangpo,O,25.38,"5,040"
753,29.674,83.182,Upper YarlungTsangpo,O,25.01,"5,011"
754,29.655,83.106,Upper YarlungTsangpo,M(o),32.58,"5,241"
755,29.632,83.151,Upper YarlungTsangpo,M(o),20.93,"5,367"
756,29.627,83.131,Upper YarlungTsangpo,E(o),10.61,"5,366"
757,29.604,83.376,Upper YarlungTsangpo,O,145.71,"4,889"
758,29.582,83.355,Upper YarlungTsangpo,O,118.74,"4,888"
759,29.511,83.444,Upper YarlungTsangpo,O,211.06,"4,959"
760,29.499,83.428,Upper YarlungTsangpo,O,59.8,"4,959"
761,29.322,83.646,Upper YarlungTsangpo,O,15.53,"5,159"
762,29.268,83.618,Upper YarlungTsangpo,E(o),30.54,"5,168"
763,30.58,84.068,Upper YarlungTsangpo,M(e),28.04,"5,675"
764,30.391,84.096,Upper YarlungTsangpo,O,24.88,"5,396"
765,30.457,83.861,Upper Yarlung Tsangpo,M(e),17.69,"5,710"
766,30.453,83.846,Upper Yarlung Tsangpo,M(e),22.55,"5,580"
767,29.47,83.764,Upper Yarlung Tsangpo,O,77.62,"5,282"
768,29.887,84.537,Upper Yarlung Tsangpo,M(o),10.44,"5,638"
769,29.122,84.744,Upper Yarlung Tsangpo,E(o),14.81,"5,049"
770,29.076,84.839,Upper Yarlung Tsangpo,E(o),11.36,"5,434"
771,28.928,84.3,Upper Yarlung Tsangpo,M(e),20.69,"5,431"
772,28.909,84.348,Upper Yarlung Tsangpo,E(o),11.92,"5,356"
773,28.908,84.508,Upper Yarlung Tsangpo,M(e),35.26,"5,539"
774,29.162,87.38,Upper Yarlung Tsangpo,O,11.04,"4,485"
775,29.642,87.925,Upper Yarlung Tsangpo,E(o),11.38,"5,282"
776,29.584,87.916,Upper Yarlung Tsangpo,E(o),12.16,"5,424"
777,28.847,87.568,Upper Yarlung Tsangpo,O,10.39,"5,288"
778,28.832,87.56,Upper Yarlung Tsangpo,O,140.16,"5,296"
779,28.804,87.625,Upper Yarlung Tsangpo,M(e),17.1,"5,528"
780,28.799,87.603,Upper Yarlung Tsangpo,M(o),11.84,"5,591"
781,28.796,87.641,Upper Yarlung Tsangpo,M(e),26.55,"5,344"
782,29.754,88.24,Upper Yarlung Tsangpo,E(o),29.88,"5,600"
783,29.722,88.236,Upper Yarlung Tsangpo,E(o),14.3,"5,422"
784,29.631,88.007,Upper Yarlung Tsangpo,E(o),12.11,"5,410"
785,29.5,88.95,Upper Yarlung Tsangpo,E(o),14.97,"5,391"
786,29.563,89.354,Upper Yarlung Tsangpo,E(o),10.26,"5,427"
787,29.887,89.592,Upper Yarlung Tsangpo,E(o),10.01,"5,407"
788,29.873,89.596,Upper Yarlung Tsangpo,E(o),39.71,"5,342"
789,29.843,89.718,Upper Yarlung Tsangpo,E(o),13.6,"5,296"
790,29.509,89.882,Upper Yarlung Tsangpo,E(o),11.9,"5,420"
791,29.495,89.831,Upper Yarlung Tsangpo,E(o),13.37,"5,493"
792,29.489,89.867,Upper Yarlung Tsangpo,E(o),13.26,"5,478"
793,29.477,89.932,Upper Yarlung Tsangpo,M(o),13.27,"5,408"
794,29.912,90.063,Upper Yarlung Tsangpo,M(e),36.3,"5,131"
795,29.873,90.008,Upper Yarlung Tsangpo,M(e),14.55,"5,290"
796,29.818,90.183,Upper Yarlung Tsangpo,E(o),18.71,"5,356"
797,29.773,90.151,Upper Yarlung Tsangpo,E(o),13.83,"5,271"
798,29.504,90.439,Upper Yarlung Tsangpo,O,11.03,"5,352"
799,29.484,90.436,Upper Yarlung Tsangpo,E(o),12.88,"5,332"
800,29.475,90.414,Upper Yarlung Tsangpo,E(o),20.72,"5,325"
801,29.437,90.495,Upper Yarlung Tsangpo,E(o),11.37,"5,373"
802,30.04,84.926,Upper Yarlung Tsangpo,M(o),20.07,"5,730"
803,29.866,84.624,Upper Yarlung Tsangpo,M(e),49.03,"5,395"
804,29.856,84.632,Upper Yarlung Tsangpo,M(e),14.63,"5,557"
805,29.845,84.676,Upper Yarlung Tsangpo,M(e),51.54,"5,536"
806,29.818,84.691,Upper Yarlung Tsangpo,M(e),20.93,"5,471"
807,29.751,84.672,Upper Yarlung Tsangpo,M(o),10.35,"5,554"
808,29.728,85.211,Upper Yarlung Tsangpo,E(o),13.64,"5,374"
809,29.74,85.314,Upper Yarlung Tsangpo,E(o),12.09,"5,307"
810,29.733,85.783,Upper Yarlung Tsangpo,E(o),15.71,"5,384"
811,29.558,85.88,Upper Yarlung Tsangpo,O,56.48,"5,186"
812,29.935,86.422,Upper Yarlung Tsangpo,O,10.79,"5,477"
813,29.672,86.38,Upper Yarlung Tsangpo,E(o),11.06,"5,512"
814,29.556,87.028,Upper Yarlung Tsangpo,O,119.59,"4,729"
815,29.514,87.108,Upper Yarlung Tsangpo,E(c),11.54,"5,432"
816,30.251,87.428,Upper Yarlung Tsangpo,O,20.33,"4,878"
817,30.088,87.697,Upper Yarlung Tsangpo,O,19.81,"4,731"
818,29.824,87.016,Upper Yarlung Tsangpo,E(o),26.33,"4,954"
819,30.168,88.62,Upper Yarlung Tsangpo,E(o),50.13,"5,029"
820,30.148,88.627,Upper Yarlung Tsangpo,E(o),213.67,"5,011"
821,30.105,88.618,Upper Yarlung Tsangpo,E(o),26.87,"4,903"
822,29.899,89.639,Upper Yarlung Tsangpo,E(o),33.92,"5,260"
823,29.894,89.62,Upper Yarlung Tsangpo,E(o),12.12,"5,460"
824,29.877,89.544,Upper Yarlung Tsangpo,E(o),12.3,"5,475"
825,29.85,89.534,Upper Yarlung Tsangpo,O,25.71,"5,298"
826,29.835,89.547,Upper Yarlung Tsangpo,E(o),12.28,"5,394"
827,28.006,88.494,Teesta,M(e),45.02,"5,023"
828,28.059,88.631,Teesta,E(o),14.81,"4,917"
829,28.026,88.71,Teesta,M(e),113.46,"5,148"
830,28.014,88.652,Teesta,M(e),11.65,"5,522"
831,28.014,88.561,Teesta,E(c),26.21,"5,073"
832,28.008,88.698,Teesta,M(e),99.32,"5,209"
833,28.007,88.571,Teesta,M(o),26,"4,998"
834,28.006,88.713,Teesta,M(e),119.15,"5,238"
835,28.002,88.639,Teesta,M(e),32.04,"5,424"
836,28.011,88.756,Teesta,M(o),108.12,"5,094"
837,27.92,88.159,Teesta,M(e),83.63,"5,441"
838,27.913,88.196,Teesta,M(e),128.14,"5,194"
839,27.893,88.191,Teesta,M(o),21.27,"5,496"
840,27.852,88.24,Teesta,M(e),30.59,"5,190"
841,27.563,88.123,Teesta,M(o),10.47,"4,710"
842,27.533,88.086,Teesta,M(e),36.8,"4,860"
843,27.437,88.083,Teesta,E(c),13.56,"4,280"
844,27.976,88.418,Teesta,M(o),16.35,"5,224"
845,27.974,88.422,Teesta,M(o),12.85,"5,185"
846,27.969,88.43,Teesta,M(o),14.31,"4,974"
847,27.951,88.355,Teesta,M(o),40.34,"4,989"
848,27.949,88.305,Teesta,M(e),35.9,"5,049"
849,27.947,88.332,Teesta,M(o),60.49,"5,034"
850,27.881,88.25,Teesta,M(e),14.4,"5,198"
851,27.822,88.249,Teesta,M(e),70.94,"5,414"
852,27.817,88.261,Teesta,M(e),12.31,"5,487"
853,27.759,88.484,Teesta,E(c),13.57,"4,467"
854,27.723,88.453,Teesta,E(o),14.3,"4,199"
855,27.678,88.376,Teesta,M(e),18.05,"3,915"
856,27.992,88.545,Teesta,M(e),68.28,"5,161"
857,27.991,88.602,Teesta,E(c),10.11,"4,778"
858,27.988,88.736,Teesta,M(o),10.61,"5,188"
859,27.982,88.508,Teesta,M(e),34.12,"4,917"
860,27.975,88.616,Teesta,M(e),57.86,"4,960"
861,27.971,88.593,Teesta,E(o),10.09,"4,748"
862,27.962,88.743,Teesta,E(o),19.61,"5,065"
863,27.961,88.65,Teesta,M(e),18.36,"4,964"
864,27.957,88.714,Teesta,M(e),26.39,"5,078"
865,27.864,88.747,Teesta,M(e),18.95,"5,084"
866,27.816,88.657,Teesta,E(o),14.59,"4,603"
867,27.723,88.69,Teesta,E(o),12.13,"4,472"
868,27.695,88.716,Teesta,E(o),11.4,"4,207"
869,27.671,88.513,Teesta,E(c),36.34,"4,525"
870,27.668,88.687,Teesta,E(c),14.75,"4,117"
871,27.662,88.69,Teesta,E(c),15.7,"4,298"
872,27.466,88.751,Teesta,E(o),22.25,"4,052"
873,27.99,88.816,Teesta,M(e),174.29,"5,303"
874,27.969,88.797,Teesta,M(e),18.44,"5,361"
875,27.963,88.797,Teesta,M(o),11.97,"5,350"
876,27.936,88.784,Teesta,M(o),10.36,"5,332"
877,27.901,88.782,Teesta,M(o),28.28,"5,118"
878,27.895,88.761,Teesta,M(e),45.77,"5,232"
879,27.873,88.789,Teesta,M(e),10.41,"4,962"
880,27.864,88.863,Teesta,M(e),13.9,"4,781"
881,27.854,88.806,Teesta,E(o),11.38,"5,051"
882,27.73,88.833,Teesta,E(o),14.6,"4,446"
