S.No.,Latitude,Longitude,Subbasin,GL type,Area(ha),Elev(m)
106,34.452,74.932,Jhelum,E(o),12.3,"3,889"
107,34.448,74.909,Jhelum,E(c),15.48,"3,979"
108,34.444,74.892,Jhelum,E(c),33.95,"3,846"
109,34.432,74.924,Jhelum,E(c),161.04,"3,571"
110,34.418,74.936,Jhelum,E(o),36.65,"3,503"
111,34.392,74.874,Jhelum,E(o),27.31,"3,556"
112,34.385,74.944,Jhelum,E(c),11.22,"3,722"
113,34.38,74.876,Jhelum,E(o),11.58,"3,738"
114,33.866,74.417,Jhelum,E(c),13.62,"3,968"
115,33.841,74.428,Jhelum,E(o),45.46,"3,954"
116,33.829,74.435,Jhelum,E(o),15.18,"4,043"
117,33.82,74.451,Jhelum,E(c),29.43,"3,997"
118,33.74,74.526,Jhelum,E(o),10.16,"4,018"
119,33.735,74.523,Jhelum,E(o),13.69,"4,064"
120,33.559,74.526,Jhelum,E(o),22.97,"3,851"
121,33.55,74.543,Jhelum,E(o),16.04,"3,912"
122,33.54,74.523,Jhelum,E(o),10.32,"3,812"
123,33.54,74.565,Jhelum,E(o),21.73,"3,967"
124,33.536,74.555,Jhelum,E(o),31.85,"4,006"
125,33.53,74.574,Jhelum,E(o),12.27,"3,955"
126,33.528,74.561,Jhelum,E(c),11.15,"4,096"
127,33.522,74.605,Jhelum,E(o),12.33,"3,844"
128,33.519,74.584,Jhelum,E(o),70.83,"3,934"
129,33.51,74.564,Jhelum,E(o),25.15,"3,909"
130,33.509,74.625,Jhelum,E(o),33.7,"3,937"
131,33.505,74.594,Jhelum,E(c),11.35,"4,089"
132,33.496,74.565,Jhelum,E(o),11.18,"3,812"
133,33.444,74.614,Chenab,E(c),14.88,"3,580"
134,33.512,74.769,Jhelum,O,128.54,"3,486"
135,33.503,74.85,Jhelum,E(o),14.64,"3,623"
136,35.264,75.194,Indus Middle,E(o),19.03,"4,551"
137,35.231,75.182,Indus Middle,E(o),11.26,"4,547"
138,35.119,75.228,Indus Upper,E(o),17.81,"4,586"
139,35.049,75.198,Indus Middle,E(c),12.71,"4,398"
140,35.016,75.001,Indus Middle,E(o),10.87,"3,931"
141,35.182,75.422,Indus Middle,E(o),14.33,"4,530"
142,35.143,75.261,Indus Upper,E(o),11.84,"4,659"
