,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha
0,M(e),72.901,36.412,2019,11.23,4256,0,moraine,0,19.011906196356648
1,O,73.048,36.263,2019,21.68,4618,0,other,0,18.173762376579553
2,M(e),73.407,36.642,2019,14.06,2748,0,moraine,0,13.0415064940565
3,E(o),73.384,36.131,2019,23.35,4503,0,other,0,8.34096393656401
4,E(o),73.423,36.116,2019,21.76,4437,0,other,0,11.678992110071878
5,E(o),73.449,36.112,2019,11.22,4427,0,other,0,16.7588084022871
6,E(o),73.465,36.108,2019,21.58,4488,0,other,0,16.7588084022871
7,E(o),73.461,36.086,2019,13.98,4577,0,other,0,16.7588084022871
8,E(o),73.328,36.024,2019,10.65,4559,0,other,0,8.424704656932064
9,E(o),73.312,36.0,2019,13.08,4615,0,other,0,8.935785585399003
10,O,73.704,36.879,2019,262.57,4286,0,other,0,247.81445962234335
11,O,73.646,36.644,2019,105.07,3821,0,other,0,100.72707598798759
12,E(o),73.566,36.431,2019,12.25,4030,0,other,0,11.848902024087655
13,E(o),73.514,36.351,2019,17.25,4420,0,other,0,5.062598435241845
14,E(o),73.616,36.154,2019,13.83,4545,0,other,0,15.518144125511741
15,E(o),73.639,36.145,2019,17.96,4484,0,other,0,15.518144125511741
16,E(o),73.505,36.129,2019,23.11,4482,0,other,0,19.002910498715217
17,E(c),73.668,36.096,2019,10.48,4423,0,other,0,25.183551194465583
18,O,73.646,36.08,2019,28.87,4344,0,other,0,25.328705929159547
19,E(o),73.592,36.039,2019,18.87,4274,0,other,0,15.974919654608318
20,E(o),73.714,36.03,2019,10.47,4320,0,other,0,10.312180337210767
21,E(o),73.558,36.011,2019,24.48,4232,0,other,0,19.46722884604167
22,O,73.955,36.265,2019,27.89,3706,0,other,0,28.09286730471325
23,E(o),74.084,36.239,2019,20.57,3453,0,other,0,11.5884027148225
24,I(s),75.136,36.137,2019,24.88,3697,0,ice,1,2.031297077058402
25,I(s),75.14,36.126,2019,12.99,3725,0,ice,1,26.770918319425995
26,E(o),75.686,36.44,2019,28.09,4709,0,other,0,23.984337224135647
27,O,72.613,35.994,2019,201.58,3622,0,other,0,200.30715863633162
28,O,72.595,35.944,2019,96.35,3761,0,other,0,100.47141565146615
29,E(o),72.94,35.869,2019,20.01,4378,0,other,0,18.99283005963611
30,E(v),72.98,35.855,2019,13.35,4325,0,other,0,15.433300914482063
31,O,73.064,35.92,2019,21.34,4303,0,other,0,21.598536313434913
32,E(o),73.155,35.906,2019,24.24,4328,0,other,0,23.493556834827793
33,E(o),73.073,35.871,2019,15.95,4617,0,other,0,13.465873040645226
34,E(o),73.228,35.829,2019,12.38,4195,0,other,0,21.551650460254752
35,E(c),73.211,35.825,2019,26.44,4271,0,other,0,21.551650460254752
36,E(o),73.216,35.73,2019,26.36,3970,0,other,0,23.399880272521337
37,E(o),73.313,35.987,2019,10.23,4583,0,other,0,8.935785585399003
38,E(o),73.397,35.962,2019,18.84,4349,0,other,0,17.22602246112081
39,E(o),73.289,35.949,2019,54.23,4228,0,other,0,29.515759680432442
40,E(c),73.365,35.945,2019,67.34,4162,0,other,0,62.15792531034936
41,E(o),73.269,35.936,2019,11.45,4362,0,other,0,29.515759680432442
42,E(o),73.274,35.925,2019,11.46,4227,0,other,0,24.57252273803943
43,E(o),73.342,35.925,2019,11.69,4396,0,other,0,25.373033214686878
44,E(o),73.371,35.918,2019,12.25,4502,0,other,0,26.609043765252718
45,O,73.297,35.817,2019,15.36,2981,0,other,0,11.94198713118308
46,E(c),73.256,35.739,2019,18.92,4016,0,other,0,24.12633175037273
47,E(c),73.344,35.675,2019,25.12,3428,0,other,0,22.832390479058297
48,E(o),73.357,35.652,2019,19.01,3735,0,other,0,19.847368001119484
49,E(o),73.352,35.643,2019,13.95,3747,0,other,0,19.847368001119484
50,E(o),73.568,35.904,2019,18.03,4109,0,other,0,25.24739891636658
51,E(o),73.692,35.889,2019,11.02,3995,0,other,0,9.457587901666693
52,E(c),73.577,35.88,2019,30.86,4059,0,other,0,27.139193637822725
53,E(o),73.615,35.877,2019,14.58,3993,0,other,0,11.78747413152405
54,E(o),73.746,35.865,2019,84.31,4140,0,other,0,76.55758513729711
55,E(o),73.507,35.783,2019,12.26,3918,0,other,0,9.615924930272065
56,E(o),73.572,35.782,2019,22.07,4082,0,other,0,18.722172871587535
57,E(c),73.911,35.972,2019,29.25,4426,0,other,0,23.83722772460754
58,E(o),73.985,35.939,2019,19.57,4258,0,other,0,14.177424751409932
59,E(o),73.945,35.917,2019,12.08,4178,0,other,0,11.637718268565385
60,E(o),73.992,35.916,2019,11.42,4312,0,other,0,13.595809531531149
61,E(o),73.922,35.906,2019,15.98,4223,0,other,0,11.637718268565385
62,E(o),73.763,35.882,2019,40.94,4104,0,other,0,76.55758513729711
63,E(o),73.929,35.868,2019,17.55,4064,0,other,0,14.11743876543238
64,E(o),73.869,35.858,2019,15.26,4211,0,other,0,15.721581615990246
65,E(o),73.775,35.856,2019,28.28,3962,0,other,0,48.97735557588779
66,E(o),73.877,35.852,2019,19.43,4166,0,other,0,15.721581615990246
67,E(o),73.799,35.247,2019,17.06,3988,0,other,0,13.933861391285012
68,E(o),73.958,35.184,2019,10.49,4120,0,other,0,7.779703609089985
69,E(o),73.985,34.83,2019,20.67,3873,0,other,0,17.248378912867366
70,E(o),74.019,35.962,2019,15.37,4285,0,other,0,11.411324286459841
71,E(c),74.083,35.817,2019,16.71,4269,0,other,0,12.670120960312568
72,E(o),74.205,35.779,2019,12.36,4304,0,other,0,9.543578964461675
73,E(c),74.196,35.773,2019,11.01,4368,0,other,0,9.543578964461675
74,E(o),74.243,35.707,2019,15.89,4318,0,other,0,10.794642400075528
75,E(o),74.23,35.686,2019,14.12,4336,0,other,0,10.794642400075528
76,E(c),74.177,35.073,2019,11.97,4042,0,other,0,8.892664101598555
77,E(c),74.294,35.821,2019,12.04,4313,0,other,0,9.82982748511698
78,E(o),74.256,35.722,2019,10.77,4254,0,other,0,10.718923660957357
79,E(o),74.676,35.4,2019,13.97,3386,0,other,0,15.591180927539792
80,E(o),74.941,35.332,2019,11.74,4427,0,other,0,48.72777952635988
81,M(l),74.786,35.33,2019,15.07,3475,0,moraine,0,13.846303578374384
82,M(e),74.937,35.315,2019,20.13,4197,0,moraine,0,49.90020194980455
83,E(o),74.961,35.082,2019,30.64,4317,0,other,0,22.119040599838513
84,E(o),74.958,35.075,2019,10.45,4413,0,other,0,22.119040599838513
85,E(o),74.1,34.962,2019,29.65,3603,0,other,0,23.5497142789609
86,E(c),74.138,34.948,2019,20.03,4011,0,other,0,16.6348751742942
87,E(c),74.155,34.926,2019,21.64,3926,0,other,0,15.755813755704526
88,E(c),74.048,34.902,2019,21.58,3896,0,other,0,13.256463879368338
89,E(c),74.077,34.858,2019,20.51,3680,0,other,0,16.726906600298445
90,E(c),74.062,34.829,2019,93.9,3681,0,other,0,80.86227614340729
91,E(c),74.477,34.876,2019,12.31,3592,0,other,0,9.79894699282542
92,M(e),74.521,34.92,2019,60.6,4041,0,moraine,0,70.17071673300278
93,E(c),74.68,34.908,2019,23.48,3864,0,other,0,22.3869904340688
94,E(c),74.523,34.849,2019,22.54,4016,0,other,0,18.1288451894747
95,E(c),74.676,34.84,2019,10.66,3868,0,other,0,8.181026580716088
96,E(o),74.787,34.846,2019,14.18,3883,0,other,0,41.344650641099165
97,E(c),74.809,34.845,2019,50.44,3992,0,other,0,41.344650641099165
98,E(c),74.761,34.84,2019,25.43,3979,0,other,0,19.75238480913374
99,E(c),74.819,34.548,2019,31.47,3872,0,other,0,25.81663389482218
100,E(c),74.828,34.537,2019,30.51,3922,0,other,0,25.816633894829724
101,E(o),74.921,34.493,2019,38.39,3881,0,other,0,33.45343433140073
102,E(c),74.906,34.489,2019,11.89,4097,0,other,0,33.45343433140073
103,E(o),74.913,34.47,2019,10.44,3852,0,other,0,33.37943707728068
104,M(o),74.985,34.457,2019,10.33,3748,0,moraine,0,6.367780313824296
105,E(o),74.932,34.452,2019,12.3,3889,0,other,0,149.9095023703692
106,E(c),74.909,34.448,2019,15.48,3979,0,other,0,129.31850995718983
107,E(c),74.892,34.444,2019,33.95,3846,0,other,0,60.21478170572432
108,E(c),74.924,34.432,2019,161.04,3571,0,other,0,149.9095023703692
109,E(o),74.936,34.418,2019,36.65,3503,0,other,0,149.9095023703692
110,E(o),74.874,34.392,2019,27.31,3556,0,other,0,20.600111974053878
111,E(c),74.944,34.385,2019,11.22,3722,0,other,0,8.003602843692352
112,E(o),74.876,34.38,2019,11.58,3738,0,other,0,20.600111974053878
113,E(c),74.417,33.866,2019,13.62,3968,0,other,0,18.94438306499065
114,E(o),74.428,33.841,2019,45.46,3954,0,other,0,38.63541424705634
115,E(o),74.435,33.829,2019,15.18,4043,0,other,0,38.63541424705634
116,E(c),74.451,33.82,2019,29.43,3997,0,other,0,24.24622442288957
117,E(o),74.526,33.74,2019,10.16,4018,0,other,0,9.110774498806606
118,E(o),74.523,33.735,2019,13.69,4064,0,other,0,9.110774498806606
119,E(o),74.526,33.559,2019,22.97,3851,0,other,0,18.483378141611908
120,E(o),74.543,33.55,2019,16.04,3912,0,other,0,22.155726653472193
121,E(o),74.523,33.54,2019,10.32,3812,0,other,0,18.483378141611908
122,E(o),74.565,33.54,2019,21.73,3967,0,other,0,34.961679112077704
123,E(o),74.555,33.536,2019,31.85,4006,0,other,0,22.155726653472193
124,E(o),74.574,33.53,2019,12.27,3955,0,other,0,58.09581004088702
125,E(c),74.561,33.528,2019,11.15,4096,0,other,0,58.09581004088702
126,E(o),74.605,33.522,2019,12.33,3844,0,other,0,58.09581004088702
127,E(o),74.584,33.519,2019,70.83,3934,0,other,0,58.09581004088702
128,E(o),74.564,33.51,2019,25.15,3909,0,other,0,58.09581004088702
129,E(o),74.625,33.509,2019,33.7,3937,0,other,0,29.94965409806987
130,E(c),74.594,33.505,2019,11.35,4089,0,other,0,58.09581004088702
131,E(o),74.565,33.496,2019,11.18,3812,0,other,0,25.080718767957528
132,E(c),74.614,33.444,2019,14.88,3580,0,other,0,2.247291340932193
133,O,74.769,33.512,2019,128.54,3486,0,other,0,123.46313054179691
134,E(o),74.85,33.503,2019,14.64,3623,0,other,0,19.247772719589364
135,E(o),75.194,35.264,2019,19.03,4551,0,other,0,17.010569280925317
136,E(o),75.182,35.231,2019,11.26,4547,0,other,0,8.50872357484684
137,E(o),75.228,35.119,2019,17.81,4586,0,other,0,13.22131168347732
138,E(c),75.198,35.049,2019,12.71,4398,0,other,0,9.18939462133224
139,E(o),75.001,35.016,2019,10.87,3931,0,other,0,8.604683707104313
140,E(o),75.422,35.182,2019,14.33,4530,0,other,0,12.1834906301498
141,E(o),75.261,35.143,2019,11.84,4659,0,other,0,9.839599988483322
142,E(o),75.321,35.132,2019,19.58,4526,0,other,0,16.523943653328217
143,E(o),75.521,35.172,2019,10.3,4551,0,other,0,8.588330424740956
144,E(o),75.579,35.096,2019,10.98,4375,0,other,0,8.743264719584081
145,E(o),75.725,35.027,2019,12.92,4647,0,other,0,8.088852152471363
146,O,75.236,34.991,2019,129.62,4138,0,other,0,109.54148534655117
147,E(c),75.051,34.972,2019,14.29,4265,0,other,0,11.405552919747555
148,E(o),75.25,34.922,2019,14.22,4152,0,other,0,2.945157386097197
149,E(o),75.177,34.92,2019,14.54,4257,0,other,0,11.339226056577957
150,E(o),75.189,34.919,2019,14.34,4225,0,other,0,11.339226056579388
151,E(o),75.137,34.697,2019,64.95,4103,0,other,0,57.07120399981987
152,E(o),75.14,34.684,2019,21.41,4133,0,other,0,57.07120399981987
153,E(o),75.179,34.666,2019,74.54,4234,0,other,0,65.88110155401647
154,E(c),75.058,34.422,2019,40.12,3570,0,other,0,36.22270707985739
155,E(c),75.103,34.397,2019,29.55,3812,0,other,0,40.01673310302814
156,E(c),75.119,34.388,2019,47.25,3663,0,other,0,40.01673310302814
157,E(o),75.147,34.207,2019,10.35,3699,0,other,0,7.055117624633054
158,E(o),75.205,34.203,2019,15.92,3682,0,other,0,11.288842064014043
159,E(o),75.113,34.156,2019,10.27,3941,0,other,0,36.26828408531591
160,E(o),75.11,34.144,2019,43.47,3810,0,other,0,36.26828408531591
161,E(c),75.148,34.14,2019,82.93,3780,0,other,0,68.37836831563597
162,E(o),75.161,34.093,2019,17.8,3919,0,other,0,8.03134295595523
163,E(o),75.216,34.063,2019,13.36,3691,0,other,0,6.9183824692847065
164,E(c),75.382,34.825,2019,22.94,4315,0,other,0,18.355413192037222
165,E(o),75.48,34.775,2019,10.8,4626,0,other,0,8.334953712418459
166,E(o),75.275,34.234,2019,18.23,3830,0,other,0,14.328459231034227
167,E(c),75.321,34.193,2019,10.81,3734,0,other,0,11.219047408104556
168,E(c),75.373,34.184,2019,16.8,4276,0,other,0,17.828390138595964
169,E(o),75.377,34.139,2019,33.45,3709,0,other,0,27.574573702361942
170,O,75.498,34.094,2019,52.27,3575,0,other,0,52.65016366050453
171,E(o),75.475,34.067,2019,17.85,3724,0,other,0,15.323965071935449
172,E(o),75.553,34.987,2019,17.86,4269,0,other,0,13.978505900796296
173,E(o),75.545,34.965,2019,13.7,4412,0,other,0,13.978505900796296
174,E(o),75.592,34.947,2019,24.89,4558,0,other,0,20.60995322430153
175,E(o),75.617,34.896,2019,11.97,4547,0,other,0,11.563485056669276
176,E(o),75.713,34.893,2019,19.39,4589,0,other,0,14.951948816018087
177,E(o),75.68,34.883,2019,13.31,4627,0,other,0,12.891273871210103
178,E(o),75.716,34.873,2019,15.83,4664,0,other,0,14.951948816018087
179,E(o),75.545,34.808,2019,12.86,4687,0,other,0,14.230199654844961
180,E(o),75.649,34.491,2019,15.37,4521,0,other,0,11.250060004999751
181,E(o),75.763,34.947,2019,25.14,4778,0,other,0,21.640447092294867
182,E(o),75.892,34.888,2019,10.29,4882,0,other,0,16.870088851601707
183,E(o),75.871,34.878,2019,18.96,4687,0,other,0,16.870088851601707
184,E(o),75.942,34.859,2019,13.73,4796,0,other,0,12.231845701008401
185,M(e),75.844,34.04,2019,25.26,4094,0,moraine,0,39.36407748223874
186,E(o),75.378,33.953,2019,15.37,3644,0,other,0,15.19546874566662
