Longitude,Latitude,Year_final,Lake_area_calculated_ha,Elevation_m,Lake_type_simplified,is_supraglacial,glacier_area_ha,slope_glac_to_lake,glacier_contact,glacier_touch_count,nearest_glacier_dist_m,glacier_elev_m,5y_expansion_rate,10y_expansion_rate,GLOF
72.901,36.412,2019,48.11615527244123,4256,moraine,0,735.5278798114812,0.0,1,4,0.0,4706.0,5.013816066678229,-4.624073750650796,0
73.048,36.263,2019,18.17376012802741,4618,other,0,12.913846245978808,0.3867651080844875,0,0,726.5391684159277,4899.0,-0.0144803375454038,0.0434430246009551,0
73.407,36.642,2019,14.698710665884716,2748,moraine,0,4204.096643781879,0.0,1,3,0.0,4413.0,-2.5223698391336464,0.3818799687410799,0
73.384,36.131,2019,9.501434972289813,4503,other,0,12.377344008779678,0.2915465243666684,0,0,607.1072203124361,4681.0,0.246683278190412,0.384358686177002,0
73.423,36.116,2019,10.518271880418554,4437,other,0,31.006463174705488,0.4563458196853781,0,0,703.4139158353843,4764.0,0.2029648270465688,0.1885961374415185,0
73.449,36.112,2019,16.97645279782551,4427,other,0,10.582140867962451,0.3557226537529214,0,0,567.8581273047221,4693.0,0.0580380210212268,0.3119564437871519,0
73.465,36.108,2019,16.97645279782551,4488,other,0,10.582140867962451,0.3557226537529214,0,0,567.8581273047221,4693.0,0.0580380210212268,0.3119564437871519,0
73.461,36.086,2019,16.97645279782551,4577,other,0,10.582140867962451,0.3557226537529214,0,0,567.8581273047221,4693.0,0.0580380210212268,0.3119564437871519,0
73.328,36.024,2019,8.27944835057171,4559,other,0,11.846031037617282,0.2116889768609837,0,0,760.5497574194841,4714.0,-0.0290515593600666,0.0290501023453029,0
73.312,36.0,2019,9.952886005847317,4615,other,0,2.851505278860355,0.1960364705516094,0,0,505.0080718217013,4713.0,0.3051321306574636,-0.0581207316763816,0
73.704,36.879,2019,246.952537678805,4286,other,0,3.2425740470369626,0.2457893980978109,0,0,516.7025143593087,4413.0,-0.0718300566986613,0.2370626160430959,0
73.646,36.644,2019,104.68999591648486,3821,other,0,16.861107563391467,0.5062451284319803,0,0,1129.8874159474594,4391.0,0.1585406672325717,0.0576397182595613,0
73.566,36.431,2019,11.704408994481495,4030,other,0,12.849608171262208,0.6499443596666384,0,0,715.4458579169794,4492.0,-0.028899358440676,-0.4043340880655254,0
73.514,36.351,2019,12.50868988588592,4420,other,0,1.6012837347651077,1.5688629886474086,0,0,95.61064355869732,4864.0,-0.5792814287565772,-0.2028510951375626,0
73.616,36.154,2019,16.025743061623555,4545,other,0,34.49847256271775,0.2370527686890957,0,0,898.5341161712313,4700.0,0.3480679684825919,0.4785913017502814,0
73.639,36.145,2019,16.025743061623555,4484,other,0,34.49847256271775,0.2370527686890957,0,0,898.5341161712313,4700.0,0.3480679684825919,0.4785913017502814,0
73.505,36.129,2019,19.583140355536163,4482,other,0,11.292430072700723,0.1602493975729476,0,0,1235.5740676645466,4673.0,0.0870350859373715,0.2248400508608416,0
73.668,36.096,2019,25.618998220467393,4423,other,0,43.52713651098205,0.2960293290357756,0,0,516.840680949926,4497.0,0.0580587079936421,0.2612758019423363,0
73.646,36.08,2019,25.764152955161357,4344,other,0,43.52713651098205,0.2960292809904086,0,0,516.840764832845,4497.0,0.0725741570917158,0.261275801942337,0
73.592,36.039,2019,15.974919654606154,4274,other,0,19.33543324605516,0.3043953190578503,0,0,791.7335941496457,4528.0,-0.0145223911921554,0.058091380728818,0
73.714,36.03,2019,9.585979053092249,4320,other,0,15.338989952109015,0.3562298005641953,0,0,811.2740695536505,4604.0,-0.087144164659303,0.0798832214933469,0
73.558,36.011,2019,18.304954662970047,4232,other,0,2.572039715360479,0.2437920605750965,0,0,283.02808482454896,4301.0,0.0435770126790693,0.123479619836938,0
73.955,36.265,2019,28.52157186111091,3706,other,0,260.69858100653323,0.5561208461687738,0,0,1512.2612392500928,4547.0,0.3463925603118888,0.1152736759802408,0
74.084,36.239,2019,93.9566508144551,3453,other,0,67.03188670078728,0.8101767889527289,0,0,875.1176405787746,4162.0,15.59002731552602,7.650156252252918,0
75.136,36.137,2019,4.279136395896718,3697,ice,1,169419.58737845288,0.0,1,4,0.0,5607.0,0.159383024057316,-1.0007704096837646,0
75.14,36.126,2019,53.25340366688081,3725,ice,1,169419.58737845288,0.0,1,4,0.0,5607.0,4.106697825870027,1.247932976904932,0
75.686,36.44,2019,24.273312281922067,4709,other,0,13.41540909354248,0.4501175252302237,0,0,1584.0307476037922,5426.0,0.0433473624150074,0.0216726930800597,0
72.613,35.994,2019,201.6877896342804,3622,other,0,27.678360955535357,0.3880337395170601,0,0,2780.6860334951907,4701.0,0.2034127851131643,0.0799173447953677,0
72.595,35.944,2019,99.017334027099,3761,other,0,288.7380020960196,0.5776559761153571,0,0,1532.053742352813,4646.0,0.3489952418280665,0.1890426107624733,0
72.94,35.869,2019,19.211140492718854,4378,other,0,80.57314886430754,0.3880155122112079,0,0,798.9371307177487,4691.0,0.0582161891272591,0.0654927546534146,0
72.98,35.855,2019,30.42973253981787,4325,other,0,133.0223949573348,0.0,1,5,0.0,4490.0,2.984728356424315,1.179339527666786,0
73.064,35.92,2019,21.67125027916168,4303,other,0,98.9034714878018,0.3843034407872747,0,0,1347.8932141196492,4820.0,0.0436311352051134,0.0218161456395634,0
73.155,35.906,2019,22.91167153511848,4328,other,0,119.43536791329244,0.3759440897706353,0,0,819.2707596172393,4628.0,-0.0872822436912507,0.0945570069010759,0
73.073,35.871,2019,15.574724374448753,4617,other,0,2.35584480872196,0.6206015622404609,0,0,675.1513781037703,4850.0,0.465443132024826,0.232721590031486,0
73.228,35.829,2019,19.804204297743375,4195,other,0,7.574018299713738,0.4424736581965203,0,0,160.461529595658,4339.0,-0.0291213850223535,0.3276451330828301,0
73.211,35.825,2019,19.804204297743375,4271,other,0,7.574018299713738,0.4424736581965203,0,0,160.461529595658,4339.0,-0.0291213850223535,0.3276451330828301,0
73.216,35.73,2019,23.399875956682575,3970,other,0,11.595799532110671,1.0637667645294029,0,0,56.403341409658786,4031.0,0.0874758573257899,0.1093460220090861,0
73.313,35.987,2019,9.952886005847317,4583,other,0,2.851505278860355,0.1960364705516094,0,0,505.0080718217013,4713.0,0.3051321306574636,-0.0581207316763816,0
73.397,35.962,2019,17.00796784479261,4349,other,0,10.289242703842415,0.2435091421645213,0,0,911.6700836226134,4570.0,0.0290731536319462,0.0290725489525044,0
73.289,35.949,2019,29.15229200251365,4228,other,0,3.868061584289554,0.118395804812408,0,0,1081.1193876574368,4356.0,0.0727003464446625,0.4798076857753731,0
73.365,35.945,2019,61.28545230450648,4162,other,0,5.6260998017968475,0.514931915251622,0,0,392.2848711004687,4364.0,-0.1017908371140905,0.1308537830910864,0
73.269,35.936,2019,29.15229200251365,4362,other,0,3.868061584289554,0.118395804812408,0,0,1081.1193876574368,4356.0,0.0727003464446625,0.4798076857753731,0
73.274,35.925,2019,24.572526704879916,4227,other,0,3.868061584289554,0.118395804812408,0,0,1081.1193876574368,4356.0,0.0727003464444287,0.4143812903624113,0
73.342,35.925,2019,24.282470625289143,4396,other,0,5.6260998017968475,0.514931915251622,0,0,392.2848711004687,4364.0,-0.1599515334346044,0.0072689756248635,0
73.371,35.918,2019,25.518481175853893,4502,other,0,5.6260998017968475,0.514931915251622,0,0,392.2848711004687,4364.0,-0.130870823064378,0.0290793712064733,0
73.297,35.817,2019,11.796353349095169,2981,other,0,19.4745632469144,0.4190513457139532,0,0,2620.203970779039,4079.0,0.1310696387382172,0.3422358961680024,0
73.256,35.739,2019,23.68898030651365,4016,other,0,2.9806591782222625,12.55500229609198,0,0,2.6284344058042883,4047.0,-0.0437366787884087,-0.0291566919379864,0
73.344,35.675,2019,21.811116572834933,3428,other,0,75.04700114407059,1.0565725842911686,0,0,618.9825571129637,4082.0,-0.1604857972900824,0.0437674806618183,0
73.357,35.652,2019,19.70144380343279,3735,other,0,23.101188293079627,0.1079238628982721,0,0,796.8580598441202,3821.0,-0.0145907845729368,0.0291875604191062,0
73.352,35.643,2019,19.70144380343279,3747,other,0,23.101188293079627,0.1079238628982721,0,0,796.8580598441202,3821.0,-0.0145907845729368,0.0291875604191062,0
73.568,35.904,2019,25.756708018175633,4109,other,0,5.338380952780335,0.6234000928051133,0,0,636.830190726503,4455.0,0.1018623207570534,0.0945863487228521,0
73.692,35.889,2019,9.530340015311928,3995,other,0,24.38451757570283,0.4399413375857859,0,0,1125.150009127019,4489.0,0.0145504227298825,0.0145499426164391,0
73.577,35.88,2019,28.15783449114347,4059,other,0,5.338380952780335,0.6402165032921321,0,0,620.1027276843691,4455.0,0.3201453656056486,0.1600714280547301,0
73.615,35.877,2019,11.714710622675131,3993,other,0,5.338380952780335,0.1248603993647886,0,0,3676.105493295745,4455.0,0.0873135430293242,0.0072760464750016,0
73.746,35.865,2019,75.2475944091597,4140,other,0,45.89056412603985,0.0,1,2,0.0,4434.0,2.5471573116382573,0.6913352885309351,0
73.507,35.783,2019,9.397382871467313,3918,other,0,16.319525009471736,0.4130225947864731,0,0,581.082011079991,4157.0,-0.0582782374772286,-0.0364234885685855,0
73.572,35.782,2019,15.662493815648858,4082,other,0,2.968581536253464,0.1414447562926889,0,0,1894.7326647120992,4352.0,0.5099572581733408,-0.0364286977385496,0
73.911,35.972,2019,23.25582330266036,4426,other,0,3.851642455059427,0.4139224571340058,0,0,277.82981574920734,4540.0,0.0145324898511155,0.0436039254597776,0
73.985,35.939,2019,14.395550523113137,4258,other,0,7.088926683484719,0.0948588264951687,0,0,2055.6864047852373,4456.0,0.0727060484589294,-0.0581655135255632,0
73.945,35.917,2019,12.583278777002016,4178,other,0,1.1564844404011103,0.3838007860730385,0,0,880.6652103512823,4562.0,0.1891141621926017,0.050915795966754,0
73.992,35.916,2019,13.813934490727986,4312,other,0,7.088926683484719,0.0958317375361448,0,0,2055.6864047852373,4456.0,0.072706048458944,-0.0654358095561486,0
73.922,35.906,2019,12.583278777002016,4223,other,0,1.1564844404011103,0.3838007860730385,0,0,880.6652103512823,4562.0,0.1891141621926017,0.050915795966754,0
73.763,35.882,2019,75.2475944091597,4104,other,0,45.89056412603985,0.0,1,2,0.0,4434.0,2.5471573116382573,0.6913352885309351,0
73.929,35.868,2019,14.33574362102688,4064,other,0,1.1564844404011103,0.1186547141826337,0,0,4222.33539940823,4562.0,0.1891998183273063,0.0509382122111425,0
73.869,35.858,2019,15.284866505779693,4211,other,0,,,0,0,,,0.1310129077914538,0.2765823313203212,0
73.775,35.856,2019,47.52181525732616,3962,other,0,45.89056412603985,0.0,1,2,0.0,4434.0,2.387061361884777,0.3129265431406566,0
73.877,35.852,2019,15.284866505779693,4166,other,0,,,0,0,,,0.1310129077914538,0.2765823313203212,0
73.799,35.247,2019,12.980478020429494,3988,other,0,13.517818006719144,1.65462261322172,0,0,158.34426406747767,4251.0,0.4400167102759276,0.2640116334260923,0
73.958,35.184,2019,7.85309839633605,4120,other,0,,,0,0,,,0.1614666970740382,0.0293576552619702,0
73.985,34.83,2019,13.931343725879964,3873,other,0,14.85642686942912,0.907961361825497,0,0,652.0101238776917,4465.0,-0.3538178087823322,0.0147386289783673,0
74.019,35.962,2019,11.193267916906926,4285,other,0,7.088926683484719,0.1451554108980342,0,0,1171.158546197207,4456.0,0.1162961284000591,-1.398384972262079e-07,0
74.083,35.817,2019,14.344925735750392,4269,other,0,,,0,0,,,0.4077785706254399,-2.637640868385916e-07,0
74.205,35.779,2019,9.325027679784688,4304,other,0,1.0383751237559071,0.5296300194423476,0,0,73.63630943930156,4345.0,-0.0291393546985457,-0.0291400954412759,0
74.196,35.773,2019,9.325027679784688,4368,other,0,1.0383751237559071,0.5296300194423476,0,0,73.63630943930156,4345.0,-0.0291393546985457,-0.0291400954412759,0
74.243,35.707,2019,10.500173370969748,4318,other,0,4.1707071156733,0.0602228742067394,0,0,3420.6271738678815,4542.0,0.029168025112494,0.0364589182973473,0
74.23,35.686,2019,10.500173370969748,4336,other,0,4.1707071156733,0.0602228742067394,0,0,3420.6271738678815,4542.0,0.029168025112494,0.0364589182973473,0
74.177,35.073,2019,9.113144069448689,4042,other,0,6.221755826889407,1.040348531953708,0,0,181.6698867686871,4229.0,1.429208218439726e-06,1.2936159166088146e-07,0
74.294,35.821,2019,9.902641785946615,4313,other,0,1.9063224694749252,0.2499176773238717,0,0,624.2055450837015,4469.0,0.0145629075648521,0.0509697565807554,0
74.256,35.722,2019,10.500173370969748,4254,other,0,4.1707071156733,0.1941807059328379,0,0,1148.414817675706,4542.0,0.029168025112494,0.0364589182973473,0
74.676,35.4,2019,15.664380827785289,3386,other,0,1896.7119086952,9.045762220300604,0,0,119.61402186448844,4476.0,0.0732027453770189,0.3440323116352219,0
74.941,35.332,2019,72.98127742730348,4427,other,0,330.3850677715645,0.0,1,7,0.0,5094.0,4.76274556686464,4.30852272525524,0
74.786,35.33,2019,12.967162503026636,3475,moraine,0,1071.2180927359418,0.0,1,1,0.0,3804.0,-0.1465236455841136,-0.0366321852831173,0
74.937,35.315,2019,76.49856032302654,4197,moraine,0,330.3850677715645,0.0,1,7,0.0,5094.0,5.21706387854434,4.638267703753361,0
74.961,35.082,2019,22.853893791329597,4317,other,0,2.3886357644954073,0.2663763394569194,0,0,525.5722046688833,4456.0,0.2057593047824838,-0.0440926045580635,0
74.958,35.075,2019,22.853893791329597,4413,other,0,2.3886357644954073,0.2663763394569194,0,0,525.5722046688833,4456.0,0.2057593047824838,-0.0440926045580635,0
74.1,34.962,2019,23.991268436690195,3603,other,0,15.74005844566005,0.4092537150453701,0,0,1717.7608269776242,4308.0,0.0883105407482354,-2.662472113001968e-07,0
74.138,34.948,2019,16.487673886410068,4011,other,0,71.08348437213043,9.397894981616163,0,0,15.535393860603904,4159.0,0.0588861355347468,0.0515249821919455,0
74.155,34.926,2019,16.050301201888324,3926,other,0,2.992100894873926,0.7932362467531882,0,0,317.6859366064857,4178.0,-0.0736266724064563,-0.0147261547491588,0
74.048,34.902,2019,13.182803580734628,3896,other,0,2.4801743867506705,0.5994824476129563,0,0,682.2551713208167,4304.0,0.1178329843866922,0.2209400197630303,0
74.077,34.858,2019,17.095342258200127,3680,other,0,67.47207701285254,0.0,1,1,0.0,3807.0,0.0442126942694592,-0.0073685732435883,0
74.062,34.829,2019,78.577048011921,3681,other,0,237.21079241102,0.0,1,3,0.0,3757.0,1.6217430345423764,0.0958315330975025,0
74.477,34.876,2019,11.419881420568636,3592,other,0,239.52554596985476,0.0,1,4,0.0,4149.0,0.4716877495605655,0.2284767428625739,0
74.521,34.92,2019,71.20158508318278,4041,moraine,0,788.3536574919714,0.0,1,3,0.0,4166.0,0.1178138021396193,0.073633626235366,0
74.68,34.908,2019,22.16606005435013,3864,other,0,2164.104124172458,0.0,1,4,0.0,4583.0,-0.0441860759437346,-0.0441859948812286,0
74.523,34.849,2019,27.776484805527986,4016,other,0,425.6824882986587,0.0,1,4,0.0,3807.0,1.9000494785791004,0.9795029058762118,0
74.676,34.84,2019,11.421669877699024,3868,other,0,23.03108891727992,0.6746473317897338,0,0,770.7730772765697,4393.0,0.766054275089705,0.338805135543882,0
74.787,34.846,2019,41.27094307515965,3883,other,0,7.197716240918287,0.0793025459966198,0,0,4388.257597868714,4349.0,0.1031789438123311,0.1252859954383716,0
74.809,34.845,2019,41.27094307515965,3992,other,0,7.197716240918287,0.0793025459966198,0,0,4388.257597868714,4349.0,0.1031789438123311,0.1252859954383716,0
74.761,34.84,2019,19.162748112893496,3979,other,0,1.994918930883977,0.3334793437808875,0,0,869.6190795869636,4269.0,-1.1109706008483045e-06,-0.0147424808834621,0
74.819,34.548,2019,25.66871635014161,3872,other,0,,,0,0,,,0.0739722460838478,-0.0443752612726104,0
74.828,34.537,2019,25.66871635014161,3922,other,0,,,0,0,,,0.0739722460838478,-0.0443752612728928,0
74.921,34.493,2019,33.971502111132644,3881,other,0,40.002334989846425,0.4888232154257439,0,0,916.4867499384442,4328.0,0.1924341267093595,0.0740119294642212,0
74.906,34.489,2019,33.971502111132644,4097,other,0,40.002334989846425,0.4888232154257439,0,0,916.4867499384442,4328.0,0.1924341267093595,0.0740119294642212,0
74.913,34.47,2019,33.823503865757274,3852,other,0,40.002334989846425,0.4888232154257439,0,0,916.4867499384442,4328.0,0.1924334928274191,0.081412556665014,0
74.985,34.457,2019,7.034169860541034,3748,moraine,0,75.9806365513078,0.2269333636619827,0,0,1753.8188020375053,4143.0,0.1480869797523457,0.1110634288655616,0
74.932,34.452,2019,151.3167538772035,3889,other,0,712.8994157734912,0.0,1,1,0.0,3827.0,0.3406990788467681,0.3184865771289026,0
74.909,34.448,2019,130.429482111346,3979,other,0,712.8994157734912,0.0,1,1,0.0,3827.0,0.2962580955891212,0.2444176805256546,0
74.892,34.444,2019,60.659184856222886,3846,other,0,712.8994157734912,0.0,1,1,0.0,3827.0,0.1185050057205288,0.1036909461648981,0
74.924,34.432,2019,151.3167538772035,3571,other,0,712.8994157734912,0.0,1,1,0.0,3827.0,0.3406990788467681,0.3184865771289026,0
74.936,34.418,2019,151.3167538772035,3503,other,0,712.8994157734912,0.0,1,1,0.0,3827.0,0.3406990788467681,0.3184865771289026,0
74.874,34.392,2019,20.970635871104506,3556,other,0,11.838717318660278,0.5229946488451603,0,0,1420.6646313507028,4299.0,0.2519505816218235,0.0592822627283187,0
74.944,34.385,2019,8.225926617676498,3722,other,0,558.3737516518962,0.0751658589145449,0,0,2008.8907674383115,3873.0,0.2816086233119504,0.0592862048948642,0
74.876,34.38,2019,20.970635871104506,3738,other,0,11.838717318660278,0.5229946488451603,0,0,1420.6646313507028,4299.0,0.2519505816218235,0.0592822627283187,0
74.417,33.866,2019,19.242714851575553,3968,other,0,1.9919227629497505,0.2869890759645911,0,0,588.8725883798145,4123.0,7.786164957224173e-08,0.0745837127271752,0
74.428,33.841,2019,39.0083365221193,3954,other,0,1.9919227629497505,0.5297573072362841,0,0,319.0140045102239,4123.0,0.0298358965981819,0.082043034971047,0
74.435,33.829,2019,39.0083365221193,4043,other,0,1.9919227629497505,0.5297573072362841,0,0,319.0140045102239,4123.0,0.0298358965981819,0.082043034971047,0
74.451,33.82,2019,24.69388695649548,3997,other,0,2.5417219870573287,0.1791388366935894,0,0,948.984615160692,4167.0,0.1641371424901137,3.373469911593929e-06,0
74.526,33.74,2019,8.961422347523568,4018,other,0,5.5101438127310125,0.367835900947178,0,0,293.6091874716411,4168.0,0.1493583850910173,0.2614166231281359,0
74.523,33.735,2019,8.961422347523568,4064,other,0,5.5101438127310125,0.367835900947178,0,0,293.6091874716411,4168.0,0.1493583850910173,0.2614166231281359,0
74.526,33.559,2019,18.18408372065635,3851,other,0,3.2475206191451864,0.0678036966566184,0,0,3156.1700991580256,4065.0,1.271904089456397,0.3367429425227181,0
74.543,33.55,2019,19.53591105444801,3912,other,0,3.2475206191451864,0.035043050543756,0,0,1683.6433782022057,4065.0,0.0598663725179221,0.4719256759033411,0
74.523,33.54,2019,18.18408372065635,3812,other,0,3.2475206191451864,0.0678036966566184,0,0,3156.1700991580256,4065.0,1.271904089456397,0.3367429425227181,0
74.565,33.54,2019,37.13270683404131,3967,other,0,1.9907360799633704,0.0660566282770063,0,0,2952.0126153317083,4129.0,1.3774870374376078,1.003169271598854,0
74.555,33.536,2019,19.53591105444801,4006,other,0,3.2475206191451864,0.035043050543756,0,0,1683.6433782022057,4065.0,0.0598663725179221,1.032976368135119,0
74.574,33.53,2019,61.38985386785405,3955,other,0,1.9907360799633704,0.0746703781209874,0,0,2611.4773342120225,4129.0,1.5571706331078203,1.1304448194906869,0
74.561,33.528,2019,61.38985386785405,4096,other,0,1.9907360799633704,0.0746703781209874,0,0,2611.4773342120225,4129.0,1.5571706331078203,1.1304448194906869,0
74.605,33.522,2019,61.38985386785405,3844,other,0,1.9907360799633704,0.0746703781209874,0,0,2611.4773342120225,4129.0,1.5571706331078203,1.1304448194906869,0
74.584,33.519,2019,61.38985386785405,3934,other,0,1.9907360799633704,0.0746703781209874,0,0,2611.4773342120225,4129.0,1.5571706331078203,1.1304448194906869,0
74.564,33.51,2019,61.38985386785405,3909,other,0,1.9907360799633704,0.0746703781209874,0,0,2611.4773342120225,4129.0,1.5571706331078203,1.1304448194906869,0
74.625,33.509,2019,31.372284091499857,3937,other,0,19.745138564609427,1.2332508149933996,0,0,55.1388242953352,4005.0,0.1347759853417727,0.0074881004130563,0
74.594,33.505,2019,61.38985386785405,4089,other,0,1.9907360799633704,0.0746703781209874,0,0,2611.4773342120225,4129.0,1.5571706331078203,1.1304448194906869,0
74.565,33.496,2019,25.82939994758409,3812,other,0,1.9907360799633704,0.0736868613350298,0,0,2646.3333688946163,4129.0,0.4042834641258501,0.1871699555949224,0
