Unnamed: 0.1,GLOF,Latitude,Longitude,Year_final,area_t2,area_t1,expansion_ha_peryr,glacier_area_ha,slope_glac_to_lake,glacier_contact,glacier_touch_count,nearest_glacier_dist_m,glacier_elev_m
0,1,42.522,74.609,1984,,,,536.1258049091829,0.0,True,2,0.0,3985.0
1,1,42.207,79.846,1984,,,,396.1181564714431,2.95985412132996,False,0,446.30577922077833,4590.0
2,1,35.677,77.193,1984,,,,9444.515664037286,0.7185497005395561,False,0,1036.8106749478602,5524.0
3,1,29.307,83.967,1985,,,,,,False,0,,
4,1,36.039,74.633,1985,,,,6998.712273472919,0.0,True,3,0.0,4575.0
5,1,41.975,76.867,1985,,,,38.45730522148446,0.418800404413849,False,0,768.8626768416559,3949.0
6,1,27.874,86.586,1985,,,,652.4807286503942,0.0,True,2,0.0,4977.0
7,1,42.207,79.846,1985,,,,396.1181564714431,2.95985412132996,False,0,446.30577922077833,4590.0
8,1,36.414,74.879,1986,,,,2339.676628642733,9.98132831793405,False,0,198.5707650192031,4483.0
9,1,27.586,88.027,1986,,,,29403.15464671952,0.0,True,4,0.0,5350.0
10,1,42.923,76.602,1986,,,,4.939867729628562,0.7474563137783876,False,0,446.84885771000023,3757.0
11,1,42.207,79.846,1986,,,,396.1181564714431,2.95985412132996,False,0,446.30577922077833,4590.0
13,1,35.677,77.193,1986,,,,9444.515664037286,0.7185497005395561,False,0,1036.8106749478602,5524.0
14,1,42.207,79.846,1986,,,,396.1181564714431,2.95985412132996,False,0,446.30577922077833,4590.0
16,1,35.677,77.193,1987,,,,9444.515664037286,0.7185497005395561,False,0,1036.8106749478602,5524.0
17,1,42.207,79.846,1987,,,,396.1181564714431,2.95985412132996,False,0,446.30577922077833,4590.0
18,1,31.295,78.332,1988,,,,2174.177552325243,0.0,True,5,0.0,4813.0
19,1,42.522,74.609,1988,,,,536.1258049091829,0.0,True,2,0.0,3985.0
20,1,42.505,74.505,1988,,,,34.90153742729403,0.4515344921500632,False,0,1375.310216154243,3964.0
21,1,29.288,83.868,1988,,,,172.76507021451545,0.0,True,2,0.0,5707.0
22,1,38.632,72.146,1988,,,,2338.3797655652165,3.056905186542799,False,0,642.4798546732757,4956.0
23,1,42.537,74.431,1988,,,,15.213456542195203,0.8846273451074016,False,0,318.7782986357523,3863.0
24,1,42.923,76.602,1988,,,,4.939867729628562,0.7474563137795305,False,0,446.848857709317,3757.0
25,1,29.466,96.501,1988,39.48224785238666,,,8463.2036070988,0.0,True,3,0.0,4970.0
26,1,29.554,92.785,1988,1.2496670301064876,,,12.903958847574634,0.2874513321565207,False,0,1635.059390659144,5519.0
27,1,42.207,79.846,1988,,,,396.1181564714431,2.95985412132996,False,0,446.30577922077833,4590.0
28,1,42.207,79.846,1989,,,,396.1181564714431,2.95985412132996,False,0,446.30577922077833,4590.0
30,1,42.207,79.846,1989,,,,396.1181564714431,2.95985412132996,False,0,446.30577922077833,4590.0
32,1,36.75,74.01,1990,112.86324856398473,,,3024.0856081336437,0.0,True,3,0.0,4205.0
33,1,35.496,76.27,1990,163.5594107701218,,,14962.102056656824,0.0,True,3,0.0,4379.0
34,1,35.253,77.311,1990,116.53553645936564,,,192.9933699194905,0.0,True,7,0.0,5746.0
35,1,43.171,77.295,1990,,,,12.744659907242443,0.3585924648165993,False,0,3148.420869851302,3542.0
36,1,42.207,79.846,1990,343.4917595497103,,,121243.04376581848,0.0,True,4,0.0,4590.0
37,1,27.965,88.895,1990,28.314803870102057,,,3879.1784578149714,0.0,True,4,0.0,6034.0
38,1,28.087,90.326,1990,137.46407603982811,,,3425.334834489212,0.0,True,3,0.0,5124.0
39,1,27.877,86.461,1991,53.189577362696376,,,8079.930665402611,0.0,True,2,0.0,5707.0
40,1,42.207,79.846,1991,343.4917595497103,,,121243.04376581848,0.0,True,4,0.0,4590.0
41,1,35.93,74.609,1992,10.905839352488773,,,75.13834104235754,4.405215887630108,False,0,116.45286248978384,5014.0
42,1,36.043,74.571,1992,,,,7831.738632457032,0.0,True,2,0.0,3325.0
43,1,42.923,76.602,1992,6.641361243816792,,,4.939867729628562,0.394697347300671,False,0,724.605832686613,3757.0
44,1,42.207,79.846,1992,283.83073842078556,,,121243.04376581848,0.0,True,4,0.0,4590.0
45,1,29.748,96.538,1992,53.25631686653518,,,459.87038719892183,0.0,True,5,0.0,5484.0
46,1,27.929,86.447,1992,302.6159034440116,,,3625.469075651645,0.0,True,8,0.0,5572.0
47,1,27.557,88.111,1992,10.667322214308657,,,1677.554716692389,0.0,True,1,0.0,5168.0
48,1,42.528,74.54,1993,36.58949227188008,,,301.8810837243457,0.0,True,3,0.0,4064.0
49,1,42.537,74.431,1993,0.5293363219948779,,,4.801137254842468,0.5716801464693405,False,0,479.2889899924044,3868.0
50,1,36.84,73.92,1993,52.180656919216666,,,11255.181771618782,0.0,True,3,0.0,5067.0
51,1,35.496,76.27,1993,0.2193932690453487,,,77.76671009560117,0.0,True,2,0.0,4669.0
52,1,42.522,74.609,1993,83.33647789930858,,,536.1258049091829,0.0,True,2,0.0,3985.0
53,1,35.253,77.311,1993,1.9060637591359064,,,31140.745454374857,0.0,True,3,0.0,6093.0
54,1,43.146,77.271,1993,0.7862521003400469,,,4.550561231949285,0.8334795496181823,False,0,416.32695146384935,3748.0
55,1,36.033,73.197,1993,38.48798521714529,,,14.602316349202177,0.0,True,2,0.0,4722.0
56,1,42.207,79.846,1993,19.15788572354551,,,396.1181564714431,3.508303933863591,False,0,373.6848416540224,4590.0
