ID,Major_RGI_Region,Mountain_range_Region,Country,Glacier,RGI_Glacier_Id,RGI_Glacier_Area,Lake,Lake_type,Longitude,Latitude,River,Date,Date_Min,Date_Max,Mechanism,Mean_Lake_Volume_VL,Min_VL,Max_VL,VL_calculation,Mean_Flood_Volume_V0,Min_V0,Max_V0,V0_calculation,Peak_discharge_Qp,Min_Qp,Max_Qp,Qp_calculation,Impact_and_destruction,reported_impacts,economic_losses,D_buildings,D_bridges,D_roads_paths,D_railroads,D_utilities,D_flood_protection,D_environmental,resettlement,reported_fatalities,Further_comments,First_reference_found,Reference,Reference_comments,Lake_area_before,Perimeter_before,Image_date_before,Satellite_before,Scenename_before,Certainty_level_before,Lake_area_after,Perimeter_after,Image_date_after,Satellite_after,Scenename_after,Certainty_level_after,Lake_area_comments,,,,,,,,,,,,,,,,,,,,
running number (regionally),RGI region in which the GLOF occurred,Major mountain unit/range in which the GLOF was located,Source location of the GLOF,Name of the glacier that feeds the burst glacier lake,Glacier Id derived from RGI polygon,Glacier area derived from RGI polygon,Name of the outburst source lake,Material of the impounding dam,X coordinate,Y coordinate,Major river basin that captured GLOF discharge,Reported date of GLOF,Earliest possible date ,Latest possible date ,Mechanism that causes the dam to fail, Volume before outburst,Minimum reported lake volume ,Maximum reported lake volume,Method to obtain lake volumes before outburst,Total volume released during outburst,Minimum reported flood volume,Maximum reported flood volume,Method to obtain V0,Maximum discharge during outburst,Minimum reported peak discharge ,Maximum reported peak discharge ,Method to obtain Qp,Quantitative and qualitative descriptions of societal impacts from GLOFs,Reported impacts (categorized),Occurrence of economic losses,Damage to buildings,Damage to bridges,Damage to roads or paths,Damage to railroads,Damage to utilities,Damage to flood protection measures,Damage to the environment,Need for resettlement after the flood,Fatalities in consequence of the flood,Any other useful information,Year of first reference that cited the GLOF,References viewed to gather information,Comments on the reference,Lake area before outburst,Lake perimeter before outburst,Date of satellite image used for mapping,Satellite from which the image was derived,Scenename,"1 – unsure (clouds, shadows,…)",lake area after outburst,Lake perimeter before outburst,Date of satellite image used for mapping,Satellite from which the image was derived,Scenename,"1 – unsure (clouds, shadows,...)",Mapping notes and comments,,,,,,,,,,,,,,,,,,,,
,,e.g. Karakoram,e.g. Pakistan ,e.g. Baltoro Glacier,,km2,e.g. Baltoro Lake 1,"e.g ice, moraine, water pocket, bedrock, combined",XX.XX°,XX.XX°,e.g. Indus,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,"(e.g. overtopping, breach, tunnelling,  englacial,…)",106 m³,106 m³,106 m³,e.g. bathymetry,106 m³,106 m³,106 m³,gaged / estmated / unknown,m³ s-1,m³ s-1,m³ s-1,gaged / estmated / unknown,,,,,,,,(e.g. water or electricity supply),(e.g. levees),(e.g. fish population),,,,,,,m² ,m,YYYY-MM_DD,,,2 – sure,m²,m,YYYY-MM_DD,,,2 – sure,,,,,,,,,,,,,,,,,,,,,
9,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,,1914,1917,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Winchester, V., & Harrison, S. (2000). Dendrochronology and lichenometry: colonization, growth rates and dating of geomorphological events on the east side of the North Patagonian Icefield, Chile. Geomorphology, 34(3-4), 181-194.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,263.32,Lago Argentino,ice,-72.98,-50.50,Santa Cruz,1917-01,,,tunneling and collapse,,,,,,,,,,,,,,,,,,,,,,,,,,1994,"Warren, C. R. (1994). Freshwater calving and anomalous glacier oscillations: recent behaviour of Moreno and Ameghino Glaciers, Patagonia. The Holocene, 4(4), 422-429.; Guerrido, C. M., Villalba, R., & Rojas, F. (2014). Documentary and tree-ring evidence for a long-term interval without ice impoundments from Glaciar Perito Moreno, Patagonia, Argentina. The Holocene, 24(12), 1686-1693.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1920,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1921,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1922,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1923,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1924,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1925,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Southern Andes,C Andes,Argentina,Gl. Grande del Nevado del Plomo,RGI60-17.14046,10.92,,ice,-69.98,-33.12,Plomo,1926,,,,,,,,,,,,1000.00,,,estimated,,,,,,,,,,,,,,1985,"Prieto, M. (1985). Un Fenomeno Ciclico? Hubo otros Endicamientos en el Rio dei
Plomo? Diario Los Andes, Mendoza, Argentina. CITED IN Fernández, P. C., Fornero, L., Maza, J., & Yañez, H. (1991). Simulation of flood waves from outburst of glacier-dammed lake. Journal of Hydraulic Engineering, 117(1), 42-53.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1926,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
