ID,Major_RGI_Region,Mountain_range_Region,Country,Glacier,RGI_Glacier_Id,RGI_Glacier_Area,Lake,Lake_type,Longitude,Latitude,River,Date,Date_Min,Date_Max,Mechanism,Mean_Lake_Volume_VL,Min_VL,Max_VL,VL_calculation,Mean_Flood_Volume_V0,Min_V0,Max_V0,V0_calculation,Peak_discharge_Qp,Min_Qp,Max_Qp,Qp_calculation,Impact_and_destruction,reported_impacts,economic_losses,D_buildings,D_bridges,D_roads_paths,D_railroads,D_utilities,D_flood_protection,D_environmental,resettlement,reported_fatalities,Further_comments,First_reference_found,Reference,Reference_comments,Lake_area_before,Perimeter_before,Image_date_before,Satellite_before,Scenename_before,Certainty_level_before,Lake_area_after,Perimeter_after,Image_date_after,Satellite_after,Scenename_after,Certainty_level_after,Lake_area_comments,,,,,,,,,,,,,,,,,,,,
running number (regionally),RGI region in which the GLOF occurred,Major mountain unit/range in which the GLOF was located,Source location of the GLOF,Name of the glacier that feeds the burst glacier lake,Glacier Id derived from RGI polygon,Glacier area derived from RGI polygon,Name of the outburst source lake,Material of the impounding dam,X coordinate,Y coordinate,Major river basin that captured GLOF discharge,Reported date of GLOF,Earliest possible date ,Latest possible date ,Mechanism that causes the dam to fail, Volume before outburst,Minimum reported lake volume ,Maximum reported lake volume,Method to obtain lake volumes before outburst,Total volume released during outburst,Minimum reported flood volume,Maximum reported flood volume,Method to obtain V0,Maximum discharge during outburst,Minimum reported peak discharge ,Maximum reported peak discharge ,Method to obtain Qp,Quantitative and qualitative descriptions of societal impacts from GLOFs,Reported impacts (categorized),Occurrence of economic losses,Damage to buildings,Damage to bridges,Damage to roads or paths,Damage to railroads,Damage to utilities,Damage to flood protection measures,Damage to the environment,Need for resettlement after the flood,Fatalities in consequence of the flood,Any other useful information,Year of first reference that cited the GLOF,References viewed to gather information,Comments on the reference,Lake area before outburst,Lake perimeter before outburst,Date of satellite image used for mapping,Satellite from which the image was derived,Scenename,"1 – unsure (clouds, shadows,…)",lake area after outburst,Lake perimeter before outburst,Date of satellite image used for mapping,Satellite from which the image was derived,Scenename,"1 – unsure (clouds, shadows,...)",Mapping notes and comments,,,,,,,,,,,,,,,,,,,,
,,e.g. Karakoram,e.g. Pakistan ,e.g. Baltoro Glacier,,km2,e.g. Baltoro Lake 1,"e.g ice, moraine, water pocket, bedrock, combined",XX.XX°,XX.XX°,e.g. Indus,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,"(e.g. overtopping, breach, tunnelling,  englacial,…)",106 m³,106 m³,106 m³,e.g. bathymetry,106 m³,106 m³,106 m³,gaged / estmated / unknown,m³ s-1,m³ s-1,m³ s-1,gaged / estmated / unknown,,,,,,,,(e.g. water or electricity supply),(e.g. levees),(e.g. fish population),,,,,,,m² ,m,YYYY-MM_DD,,,2 – sure,m²,m,YYYY-MM_DD,,,2 – sure,,,,,,,,,,,,,,,,,,,,,
113,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02364,RGI60-16.02364,4.77,Yanaraju,moraine,-77.48,-9.13,,1970-05-31,,,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage; earthquake triggered,1977,"Lliboutry, L., Arnao, B. M., Pautre, A., & Schneider, B. (1977). Glaciological problems set by the control of dangerous lakes in Cordillera Blanca, Peru. I. Historical failures of morainic dams, their causes and prevention. Journal of Glaciology, 18(79), 239-254. CITED IN Emmer, A. (2017). Geomorphologically effective floods from moraine-dammed lakes in the Cordillera Blanca, Peru. Quaternary Science Reviews, 177, 220-234.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02358,RGI60-16.02358,2.74,Cancaracá,moraine,-77.51,-9.14,,1970-05-31,,,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage; earthquake triggered,1977,"Lliboutry, L., Arnao, B. M., Pautre, A., & Schneider, B. (1977). Glaciological problems set by the control of dangerous lakes in Cordillera Blanca, Peru. I. Historical failures of morainic dams, their causes and prevention. Journal of Glaciology, 18(79), 239-254. & Zapata L, M. (2002). La dinamica glaciar en lagunas de la Cordillera Blanca. Acta Montana, 123, 37-60. CITED IN Emmer, A. (2017). Geomorphologically effective floods from moraine-dammed lakes in the Cordillera Blanca, Peru. Quaternary Science Reviews, 177, 220-234.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02309,﻿RGI60-16.02309,"﻿1,744",,moraine,-77.50,-9.20,,1970-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage; trigger: earthquake,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,263.32,Lago Argentino,ice,-72.98,-50.50,Santa Cruz,1972,,,tunneling and collapse,,,,,,,,,,,,,,,,,,,,,,,,,,1994,"Warren, C. R. (1994). Freshwater calving and anomalous glacier oscillations: recent behaviour of Moreno and Ameghino Glaciers, Patagonia. The Holocene, 4(4), 422-429.; Guerrido, C. M., Villalba, R., & Rojas, F. (2014). Documentary and tree-ring evidence for a long-term interval without ice impoundments from Glaciar Perito Moreno, Patagonia, Argentina. The Holocene, 24(12), 1686-1693.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Southern Andes,Patagonia,Chile,RGI60-17.09519,RGI60-17.09519,79.69,Hudson Volcano Caldera Lake,ice – volc,-72.92,-45.90,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,"volcanically induced (lake, located in the caldera, emptied due to the melting of ice caused by geothermal reactivation)",1993,"Urrutia, R., & Lanza, L. (1993). Catástrofes en Chile: 1541-1992. 1a. ed. Editorial La Noria. Santiago. 440 p.; Naranjo, J., Moreno, H., & Banks, N. (1993). La erupción del volcán Hudson en 1991 (46°S), Región XI, Aisén, Chile. Boletín no. 44. Servicio Nacional de Geología y Minería. Gobierno de Chile. Chile. 50 p.; González-Ferrán, O. (1995). Volcanes de Chile. Instituto Geográfico Militar. Santiago, Chile. 640 p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,263.32,Lago Argentino,ice,-72.98,-50.50,Santa Cruz,1975,,,tunneling and collapse,,,,,,,,,,,,,,,,,,,,,,,,,,1994,"Warren, C. R. (1994). Freshwater calving and anomalous glacier oscillations: recent behaviour of Moreno and Ameghino Glaciers, Patagonia. The Holocene, 4(4), 422-429.; Guerrido, C. M., Villalba, R., & Rojas, F. (2014). Documentary and tree-ring evidence for a long-term interval without ice impoundments from Glaciar Perito Moreno, Patagonia, Argentina. The Holocene, 24(12), 1686-1693.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.01870,RGI60-16.01870,0.62,W085,moraine/bedrock,-76.94,-10.30,,,,1976,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2020,"Baťka, J., Vilímek, V., Štefanová, E., Cook, S. J., & Emmer, A. (2020). Glacial Lake Outburst Floods (GLOFs) in the Cordillera Huayhuash, Peru: Historic Events and Current Susceptibility. Water, 12(10), 2664.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,263.32,Lago Argentino,ice,-72.98,-50.50,Santa Cruz,1977,,,tunneling and collapse,,,,,,,,,,,,,,,,,,,,,,,,,,1994,"Warren, C. R. (1994). Freshwater calving and anomalous glacier oscillations: recent behaviour of Moreno and Ameghino Glaciers, Patagonia. The Holocene, 4(4), 422-429.; Guerrido, C. M., Villalba, R., & Rojas, F. (2014). Documentary and tree-ring evidence for a long-term interval without ice impoundments from Glaciar Perito Moreno, Patagonia, Argentina. The Holocene, 24(12), 1686-1693.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Southern Andes,Patagonia,Chile,Engaño Glacier,RGI60-17.08714,2.53,Engaño Lake,moraine,-72.97,-46.45,Río Engaño,1977-03-11,,,,,,,,12.50,12.00,13.00,estimated – using an empirical formula,10000.00,10000.00,,estimated – Froehlich (1995) formula,,,,,,,,,,,,,,2015,"Anacona, P. I., Mackintosh, A., & Norton, K. (2015). Reconstruction of a glacial lake outburst flood (GLOF) in the Engaño Valley, Chilean Patagonia: Lessons for GLOF risk management. Science of the Total Environment, 527, 1-11.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,263.32,Lago Argentino,ice,-72.98,-50.50,Santa Cruz,1980,,,tunneling and collapse,,,,,,,,,,,,,,,,,,,,,,,,,,1994,"Warren, C. R. (1994). Freshwater calving and anomalous glacier oscillations: recent behaviour of Moreno and Ameghino Glaciers, Patagonia. The Holocene, 4(4), 422-429.; Guerrido, C. M., Villalba, R., & Rojas, F. (2014). Documentary and tree-ring evidence for a long-term interval without ice impoundments from Glaciar Perito Moreno, Patagonia, Argentina. The Holocene, 24(12), 1686-1693.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Southern Andes,C Andes,Chile,Gl. Cachapoal,RGI60-17.13403,19.19,,ice,-70.08,-34.37,,1981-01-17,,,,,,,,,,,,,,,,"In 1981, eight floods, with their source in the Cachapoal Glacier were registered in 19 days temporarily interrupting the operation of a hydropower plant.",x,,,,,,x,,,,,,2013,"Iturrizaga, L., & Charrier, R. (2013). Glacialmorphological reconstruction of glacier advances and glacial lake outburst floods at the Cachapoal glacier in the Dry Central Andes of Chile (34 S). EGUGA, EGU2013-2320.Iturrizaga, L., & Charrier, R. (2013). Glacialmorphological reconstruction of glacier advances and glacial lake outburst floods at the Cachapoal glacier in the Dry Central Andes of Chile (34 S). EGUGA, EGU2013-2320.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.01909,RGI60-16.01909,6.22,Sarapococha,moraine,-76.91,-10.31,,1981-03-15,,,breach/overtopping,,,,,,,,,,,,,Roads and bridge damaged in Cajatambo area,x,,,x,x,,,,,,,partial drainage,2018,"Harrison, S., Kargel, J. S., Huggel, C., Reynolds, J., Shugar, D. H., Betts, R. A., ... & Reinhardt, L. (2018). Climate change and the global pattern of moraine-dammed glacial lake outburst floods. The Cryosphere, 12(4), 1195-1209. CITED IN Baťka, J., Vilímek, V., Štefanová, E., Cook, S. J., & Emmer, A. (2020). Glacial Lake Outburst Floods (GLOFs) in the Cordillera Huayhuash, Peru: Historic Events and Current Susceptibility. Water, 12(10), 2664.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Southern Andes,Patagonia,Chile,Gl. Dickson,RGI60-17.04871,307.59,Lago Dickson,supraglacial,-73.10,-50.72,Paine,1982-01-18,,,,,,,,220.00,,,unknown,360.00,,,unknown,interruption of terrestrial communications and concern about economic losses in local tourism industry,x,x,,,,,x,,,,,,1983,"Peña, H., & Escobar, F. (1983). Análisis de las crecidas de Río Paine, XII región, Publicación Interna Estudios Hidrológicos No. 83/7. Dirección General de Aguas, Ministerio de Obras Públicas: Santiago, 78. CITED IN Iribarren Anacona, P., Mackintosh, A., & Norton, K. P. (2015). Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andes. Earth Surface Processes and Landforms, 40(1), 2-21.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02188,RGI60-16.02188,1.92,Milluacocha,moraine,-77.41,-9.36,,1982-08-31,,,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",1953,"Concha, J.F. (1953). Lagunas de la Quebrada Ishinca anos 1952-53. Ministerio de Fomento, Comision de Control de las Lagunas de la Cordillera Blanca (C.C.L.C.B.), Huaraz (Peru). & UGRH (2013). Registro historico de aluviones y avalanchas. Autoridad Nacional del Agua (ANA), Unidad de Glaciología y Recursos Hídricos (UGRH), Huaraz (Peru). CITED IN Emmer, A. (2017). Geomorphologically effective floods from moraine-dammed lakes in the Cordillera Blanca, Peru. Quaternary Science Reviews, 177, 220-234.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Southern Andes,Patagonia,Argentina,Gl. Dickson,RGI60-17.04871,307.59,Lago Dickson,supraglacial,-73.10,-50.72,Paine,1983-02-26,,,,,,,,290.00,,,unknown,340.00,,,unknown,,,,,,,,,,,,,,1983,"Peña, H., & Escobar, F. (1983). Análisis de las crecidas de Río Paine, XII región, Publicación Interna Estudios Hidrológicos No. 83/7. Dirección General de Aguas, Ministerio de Obras Públicas: Santiago, 78. CITED IN Iribarren Anacona, P., Mackintosh, A., & Norton, K. P. (2015). Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andes. Earth Surface Processes and Landforms, 40(1), 2-21.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Southern Andes,Patagonia,Argentina,Gl. Dickson,RGI60-17.04871,307.59,Lago Dickson,supraglacial,-73.10,-50.72,Paine,1983-12-16,,,,,,,,230.00,,,unknown,330.00,,,unknown,,,,,,,,,,,,,,1983,"Peña, H., & Escobar, F. (1983). Análisis de las crecidas de Río Paine, XII región, Publicación Interna Estudios Hidrológicos No. 83/7. Dirección General de Aguas, Ministerio de Obras Públicas: Santiago, 78. CITED IN Iribarren Anacona, P., Mackintosh, A., & Norton, K. P. (2015). Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andes. Earth Surface Processes and Landforms, 40(1), 2-21.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,263.32,Lago Argentino,ice,-72.98,-50.50,Santa Cruz,1984,,,tunneling and collapse,,,,,,,,,,,,,,,,,,,,,,,,,,1994,"Warren, C. R. (1994). Freshwater calving and anomalous glacier oscillations: recent behaviour of Moreno and Ameghino Glaciers, Patagonia. The Holocene, 4(4), 422-429.; Guerrido, C. M., Villalba, R., & Rojas, F. (2014). Documentary and tree-ring evidence for a long-term interval without ice impoundments from Glaciar Perito Moreno, Patagonia, Argentina. The Holocene, 24(12), 1686-1693.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Low Latitudes,Low-latitude Andes,Bolivia,﻿RGI60-16.00667,﻿RGI60-16.00667,"﻿2,912",,ice/moraine,-68.39,-15.94,,,,1984-07,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Low Latitudes,Low-latitude Andes,Bolivia,﻿RGI60-16.00793,﻿RGI60-16.00793,"﻿6,044",,moraine/bedrock,-69.07,-15.01,,,,1984-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Low Latitudes,Low-latitude Andes,Bolivia,﻿RGI60-16.00788,﻿RGI60-16.00788,"﻿3,341",,moraine,-68.98,-15.00,,,,1984-09-17,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Low Latitudes,Low-latitude Andes,Bolivia,﻿RGI60-16.00799,﻿RGI60-16.00799,"﻿6,730",,bedrock,-69.13,-14.91,,,,1984-09-17,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Low Latitudes,Low-latitude Andes,Bolivia,﻿RGI60-16.00877,﻿RGI60-16.00877,"﻿1,137",,moraine,-69.16,-14.79,,,,1984-09-17,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.00289,﻿RGI60-16.00289,"﻿7,995",,moraine,-72.59,-13.33,,,,1984,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.00244,﻿RGI60-16.00244,"﻿2,668",,moraine,-72.58,-13.38,,,,1984,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.01963,﻿RGI60-16.01963,"﻿2,705",,moraine,-77.25,-9.98,,,,1984,breach,,,,,,,,,,,,,,,,,,,,,,,,,complete drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02622,﻿RGI60-16.02622,"﻿1,720",,moraine,-76.04,-11.98,,,,1984,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02051,﻿RGI60-16.02051,"﻿1,607",,moraine,-75.06,-11.92,,,,1984,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.00337,﻿RGI60-16.00337,"﻿4,974",,moraine,-72.82,-13.21,,,,1984,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.00912,﻿RGI60-16.00912,"﻿4,599",,moraine,-69.25,-14.63,,,,1984,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage; triggers: extreme precipitation / snowmelt / flood from usptream ,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.00371,﻿RGI60-16.00371,"﻿1,291",,bedrock,-71.97,-13.20,,,,1984,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02614,﻿RGI60-16.02614,"﻿2,032",,moraine,-76.03,-11.92,,,,1985,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.01899,RGI60-16.01891,5.30,W023,bedrock,-76.87,-10.36,,,,1984,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2020,"Baťka, J., Vilímek, V., Štefanová, E., Cook, S. J., & Emmer, A. (2020). Glacial Lake Outburst Floods (GLOFs) in the Cordillera Huayhuash, Peru: Historic Events and Current Susceptibility. Water, 12(10), 2664.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Low Latitudes,Low-latitude Andes,Peru,unknown,,,W030,moraine,-76.92,-10.20,,,,1984,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2020,"Baťka, J., Vilímek, V., Štefanová, E., Cook, S. J., & Emmer, A. (2020). Glacial Lake Outburst Floods (GLOFs) in the Cordillera Huayhuash, Peru: Historic Events and Current Susceptibility. Water, 12(10), 2664.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02917,﻿RGI60-16.02917,"﻿0,032",,moraine,-76.41,-11.40,,,,1984,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Southern Andes,Patagonia,Chile,RGI60-17.04981,RGI60-17.04981,4.52,,moraine,-73.90,-49.82,,,1986-10-04,1999-10-08,breach,,,,,,,,,,,,,,,,,,,,,,,,,,2018,"Wilson, R., Glasser, N. F., Reynolds, J. M., Harrison, S., Anacona, P. I., Schaefer, M., & Shannon, S. (2018). Glacial lakes of the Central and Patagonian Andes. Global and Planetary Change, 162, 275-291; Georg Veh",,905295,,1986-10-04,Landsat 5,LT05_L1TP_232095_19861004_20170216_01_T1_1986-10-04,2,558929,,1999-10-08,Landsat 5,LT05_L1TP_232095_19991008_20161217_01_T1_1999-10-08,2,,,,,,,,,,,,,,,,,,,,,
