10y_expansion_rate,5y_expansion_rate,Elevation_m,GLOF,Lake_area_calculated_ha,Lake_type_simplified,Latitude,Longitude,Year_final,__source__,glacier_area_ha,glacier_contact,glacier_elev_m,glacier_touch_count,is_supraglacial,lake_area_filled_from_db,nearest_glacier_dist_m,slope_glac_to_lake
,,4278,1,1.9060637591359064,ice,35.253,77.311,1993,pos,31140.745454374857,1,6093.0,3,0,False,0.0,0.0
,,3415,1,0.7862521003400469,moraine,43.146,77.271,1993,pos,4.550561231949285,0,3748.0,0,0,False,416.32695146384935,0.8334795496181823
,3.675046308806336,4574,1,38.48798521714529,moraine,36.033,73.197,1993,pos,14.602316349202177,1,4722.0,2,0,False,0.0,0.0
,,3269,1,19.15788572354551,ice,42.207,79.846,1993,pos,396.1181564714431,0,4590.0,0,0,False,373.6848416540224,3.508303933863591
,1.0692497853376068,5302,1,17.902470307803707,moraine,30.356,82.118,1994,pos,1260.7187797021004,1,5713.0,1,0,False,0.0,0.0
,-17.528538394335122,2857,1,0.144143080179491,ice,36.62,74.07,1994,pos,8188.853082122288,0,4221.0,0,0,False,175.40452724040887,7.747804582816491
,-3.2533493749664033,4762,1,3.994105459561251,moraine,36.027,73.196,1994,pos,14.602316349202177,1,4722.0,2,0,False,0.0,0.0
,,3584,1,,moraine,42.97,77.03,1994,pos,220.07365682083116,0,3803.0,0,0,False,408.5214139508389,0.5360796093454094
,,3269,1,255.90156838724903,ice,42.207,79.846,1994,pos,121243.04376581848,1,4590.0,4,0,False,0.0,0.0
,2.994450410724652,4513,1,24.399810180007837,moraine,28.092,90.3,1994,pos,2094.2350308936216,1,5078.0,1,0,False,0.0,0.0
,-1.6684591890859597,5206,1,10.308361841841451,moraine,28.802,91.937,1995,pos,861.8307921730309,1,5769.0,3,0,False,0.0,0.0
,0.1418328434546625,4735,1,6.776400653457245,moraine,28.662,85.37,1995,pos,1234.0603741806729,1,5350.0,2,0,False,0.0,0.0
,,3930,1,0.1970399153203944,moraine,43.0,77.1,1995,pos,149.5953499162941,0,4025.0,0,0,False,36.23870400048423,10.513621016770053
,-18.369397657844836,3269,1,251.64477126048612,ice,42.207,79.846,1995,pos,121243.04376581848,1,4590.0,4,0,False,0.0,0.0
,1.703219339826146,5202,1,20.490726987090863,moraine,28.663,85.478,1995,pos,1027.6226055786458,1,5490.0,1,0,False,0.0,0.0
,0.3032730141900611,2941,1,1.7328530072273267,ice,36.5,75.22,1996,pos,32873.35872491452,1,5122.0,4,0,False,0.0,0.0
,,3316,1,8.394317754878163,other,43.08,77.15,1996,pos,120.7850516719826,1,4128.0,3,0,False,0.0,0.0
