Longitude,Latitude,Year_final,Lake_area_calculated_ha,Elevation_m,Lake_type_simplified,is_supraglacial,glacier_area_ha,slope_glac_to_lake,glacier_contact,glacier_touch_count,nearest_glacier_dist_m,glacier_elev_m,5y_expansion_rate,10y_expansion_rate,GLOF,lake_area_filled_from_db
95.887,29.294,2019,20.36199108140463,3517,other,0,32.199461715710356,0.5926802300515331,0,0,1999.3918135196864,4702.0,0.3602564134370595,3.0229652719094475,0,False
96.193,29.03,2019,75.76002531708737,4235,other,0,87.30404580530586,0.0,1,3,0.0,4646.0,6.37496152489549,9.279711765131426,0,False
96.938,27.712,2019,19.31962628608755,3751,other,0,,,0,0,,,1.8445079029960243,3.673104863436953,0,False
97.13,28.846,2019,38.85513290287924,4446,other,0,7.365499401126054,0.0447410351885123,0,0,2235.084628208959,4568.0,0.4086421822841558,1.68289945490922,0,False
90.436,29.484,2019,15.713442574943612,5332,other,0,3.210925451582189,0.090760352684369,0,0,4991.166149115426,5779.0,0.7973829937536084,1.7671808890683096,0,False
96.375,29.387,2019,84.20371018052238,4997,moraine,0,6041.38075483708,0.0,1,6,0.0,4927.0,3.662474642716623,-5.868962293244877,0,False
93.306,29.22,2019,25.70605547687556,4887,other,0,,,0,0,,,-0.2821419170825806,4.373165131014321,0,False
96.421,28.518,2019,64.8526359416624,4086,moraine,0,50.15417602916679,0.3019349850289066,0,0,278.2055878418926,4225.0,7.54171413553251,10.68232182074117,0,False
93.974,30.075,2019,85.3139092194114,4615,other,0,2.30998414947373,0.1802107210089513,0,0,1342.8723809832577,4932.0,5.283600812506559,12.7737448800416,0,False
91.664,28.143,2019,44.81918465719032,5139,moraine,0,576.6047608433062,0.0,1,8,0.0,5900.0,-2.074641841968878,1.2036973903288242,0,False
95.486,29.18,2019,8.38937567205313,3533,other,0,,,0,0,,,-4.186742972834637,1.44270391217907,0,False
94.572,29.815,2019,13.091728341601566,4400,other,0,,,0,0,,,-0.7013590894703803,2.3378944620175277,0,False
85.609,28.532,2019,605.7510140562815,5352,moraine,0,2570.2592331130572,0.0,1,5,0.0,6126.0,79.49381238572036,3.125289125275208,0,False
92.81,27.904,2019,6.270633293082294,4306,other,0,60.07115037313155,0.562935043161716,0,0,701.6795362063242,4332.0,0.1111247140518928,0.9843490674998294,0,False
78.516,34.2,2019,42.41572696880417,5386,other,0,5.13796273522096,0.2127351119619744,0,0,893.1294803556533,5614.0,0.2377034789145483,1.3519584225238177,0,False
84.579,28.372,2019,5.846844886103713,4430,other,0,10.464011097526882,0.4075441616456918,0,0,1425.61237450656,5011.0,0.0790066609541924,1.090365188707753,0,False
87.866,27.869,2019,68.34940333911919,4910,moraine,0,1786.949674021879,0.0,1,2,0.0,5532.0,-0.0952593182339029,0.0317513489955445,0,False
91.676,28.014,2019,33.769227054090805,4422,other,0,693.30728801391,0.0,1,8,0.0,5225.0,-1.6012348083046677,5.16829313161815,0,False
87.771,27.926,2019,99.17787921694097,4913,moraine,0,4142.908481296223,0.0,1,4,0.0,5377.0,0.238044450767785,1.4599325879230036,0,False
95.797,29.202,2019,7.446612615986796,4054,other,0,,,0,0,,,-0.0313596689859462,0.0159669839783402,0,False
92.884,28.062,2019,17.908720570046363,4365,other,0,,,0,0,,,-0.0316934685567964,3.486652514016017,0,False
96.584,28.687,2019,61.12592609185298,4132,other,0,25.27768588938695,0.1718256367236282,0,0,2432.69868205016,4562.0,9.10562783669173,10.82273589610581,0,False
97.035,29.472,2019,25.950361723190497,5238,moraine,0,33.179322225858606,0.0,1,3,0.0,5522.0,2.032254862375215,0.9536305748782276,0,False
86.151,28.295,2019,60.2461686721027,5346,moraine,0,1144.4593413118346,0.0,1,2,0.0,5588.0,0.0948709896057067,0.7906230033224133,0,False
92.976,30.197,2019,59.67039283846546,4995,other,0,8.840493389472343,11.03556791478779,0,0,37.33382850627154,5471.0,4.003830951777355,9.295228428717833,0,False
94.288,30.181,2019,14.67111513336385,4363,moraine,0,97.64742227404474,1.0856699299504882,0,0,140.00571979269236,4623.0,-1.16423786104632,1.785443864309666,0,False
96.19,28.923,2019,40.945479739500186,4001,other,0,2.158159157935689,0.2662031227334321,0,0,2287.7267319280636,4707.0,4.0230045509441705,6.586059072413883,0,False
94.052,29.457,2019,25.64089834315255,4692,other,0,54.78209785295979,0.1065963445991516,0,0,3583.6125660451603,4947.0,-1.4393404273243688,4.799857599387433,0,False
90.585,27.803,2019,3.018471081893558,4647,other,0,4.041990804141671,0.0363442066683861,0,0,852.955748431983,5044.0,-0.9055516461680166,0.3018924648768746,0,False
94.113,29.578,2019,61.15419027589118,4509,other,0,37.036430463266974,0.1604553562139025,0,0,2505.3697768997813,5171.0,8.325692161391032,11.01266970833441,0,False
94.131,29.467,2019,14.929678042541036,4487,other,0,,,0,0,,,0.4531766026824894,1.8289278393902288,0,False
93.016,30.909,2019,12.250375900370043,4958,other,0,6.989824344077882,0.1275833926835888,0,0,4169.821704925014,5489.0,0.2157317510441928,1.540912860175767,0,False
81.747,29.898,2019,6.227830803711357,4692,other,0,2.9872442869861167,0.2078580528718622,0,0,1058.414610164865,4911.0,-0.4203751005564756,0.1245543404229797,0,False
94.969,29.504,2019,45.632126559928,4451,other,0,522.6193131862595,0.0,1,8,0.0,5355.0,-2.500350881601675,8.344887122375443,0,False
87.703,27.651,2019,9.624662828200693,4460,other,0,9.043024244521352,0.2133053788993353,0,0,2517.5173864388344,4997.0,-0.1113590107716525,1.686338461862572,0,False
94.72,29.933,2019,16.653582640761854,4372,other,0,,,0,0,,,-1.1353863910522726,2.5524619365460444,0,False
88.066,27.933,2019,142.55217439021789,5563,moraine,0,16381.892691504148,0.0,1,4,0.0,5898.0,0.1429692141169482,5.220048591662229,0,False
91.646,29.462,2019,7.505844207520404,5296,other,0,,,0,0,,,0.0469109301842605,0.6254881501717373,0,False
96.366,28.563,2019,10.17572127562104,3897,other,0,4.965609103346287,0.1020086370884729,0,0,3813.4025814168767,4659.0,0.4577529677174586,0.6783909025596231,0,False
94.271,29.077,2019,26.372698600278543,3682,other,0,30.859556561452266,0.3228222875885244,0,0,724.8570157530788,4736.0,2.935793029951789,4.7721698016928125,0,False
75.545,34.965,2019,14.346351251418618,4412,other,0,2.723337376367835,0.4002275657601294,0,0,984.4399379430504,4663.0,-0.0441429607395047,0.8528849617834237,0,False
96.805,29.23,2019,187.04181887230808,4266,moraine,0,915.8827777221468,0.1538857606959958,0,0,1416.6352950008354,4435.0,-4.298117391954292e-06,0.0626813518198901,0,False
73.572,35.782,2019,19.013569961023656,4082,other,0,2.968581536253464,0.1414447562926889,0,0,1894.7326647120992,4352.0,-0.0437144288378164,3.1762059194832224,0,False
94.541,29.879,2019,60.65166298622792,4266,other,0,,,0,0,,,0.2491580713948565,8.610972496172895,0,False
91.294,28.043,2019,24.096142912845615,4780,other,0,668.3413163761279,0.0,1,4,0.0,5207.0,-0.5072733936183248,2.0769517080601587,0,False
93.123,29.758,2019,38.974422940843176,5099,other,0,178.25893769817958,0.0,1,3,0.0,5377.0,-7.654583047828725,3.476336835612918,0,False
97.378,29.216,2019,35.66741749027776,4303,other,0,115.8148776159101,0.0,1,4,0.0,4856.0,-0.2508654975053644,3.7314573101260784,0,False
78.47,33.055,2019,31.912211268575422,5745,moraine,0,34.21557739939137,3.859730381836544,0,0,67.1031327003629,6003.0,-0.1056153787170842,1.4149759647608022,0,False
85.17,28.292,2019,67.05746143699535,4724,moraine,0,435.059531428421,0.0,1,5,0.0,5119.0,-6.35780194375568,5.7411997162829635,0,False
