,Unnamed: 0,GLOF,Latitude,Longitude,Year_final,area_t2,area_t1,expansion_ha_peryr,glacier_area_ha,slope_glac_to_lake,glacier_contact,glacier_touch_count,nearest_glacier_dist_m,glacier_elev_m
50,46,1,36.84,73.92,1993,52.180656919216666,,,11255.181771618782,0.0,1,1,0.0,3815.0
51,47,1,35.496,76.27,1993,0.2193932690453487,,,77.76671009560117,0.0,1,1,0.0,4499.0
52,48,1,42.522,74.609,1993,83.33647789930858,,,536.1258049091829,0.0,1,1,0.0,3569.0
53,49,1,35.253,77.311,1993,1.9060637591359064,,,31140.745454374854,0.0,1,1,0.0,4561.0
54,50,1,43.146,77.271,1993,0.7862521003400469,,,4.550561231949285,-0.547646505224627,0,0,416.32695146384935,3408.0
55,51,1,36.033,73.197,1993,38.48798521714529,,,14.602316349202177,0.0,1,1,0.0,4700.0
56,52,1,42.207,79.846,1993,19.15788572354551,,,396.1181564714431,-0.12577443546269168,0,0,373.6848416540224,3268.0
57,53,1,30.356,82.118,1994,17.902470307803707,,,1260.7187797021004,0.0,1,1,0.0,5582.0
58,54,1,36.62,74.07,1994,0.144143080179491,,,8188.8530821222885,-0.13682657099896675,0,0,175.40452724040887,2863.0
59,55,1,36.027,73.196,1994,3.994105459561251,,,14.602316349202177,0.0,1,1,0.0,4721.0
60,56,1,42.97,77.03,1994,,,,220.07365682083116,-0.06853985872909343,0,0,408.5214139508389,3584.0
61,57,1,42.207,79.846,1994,255.90156838724903,,,121243.04376581847,0.0,1,3,0.0,3276.0
62,58,1,28.092,90.3,1994,24.399810180007837,,,2094.2350308936216,0.0,1,1,0.0,4513.0
63,59,1,28.802,91.937,1995,10.308361841841451,,,861.8307921730309,0.0,1,1,0.0,5203.0
64,60,1,28.662,85.37,1995,6.776400653457245,,,1234.0603741806729,0.0,1,2,0.0,4732.0
65,61,1,43.0,77.1,1995,0.1970399153203944,,,149.5953499162941,-0.2483532523646469,0,0,36.23870400048423,3647.0
66,62,1,42.207,79.846,1995,251.64477126048612,,,121243.04376581847,0.0,1,3,0.0,3266.0
67,63,1,28.663,85.478,1995,20.490726987090863,,,1027.6226055786458,0.0,1,1,0.0,5135.0
68,64,1,36.5,75.22,1996,1.7328530072273267,,,32873.35872491452,0.0,1,1,0.0,3136.0
69,65,1,43.08,77.15,1996,8.394317754878163,,,120.7850516719826,0.0,1,2,0.0,4079.0
70,66,1,27.705,92.387,1996,5.6447845269314225,,,313.8026622573356,0.0,1,1,0.0,5009.0
71,67,1,42.207,79.846,1996,206.6180926876256,,,121243.04376581847,0.0,1,3,0.0,3268.0
72,68,1,27.901,88.782,1997,48.80677407892184,,,1411.4292070262454,0.0,1,3,0.0,5151.0
73,69,1,43.08,77.15,1997,8.394317754878163,,,120.7850516719826,0.0,1,2,0.0,4079.0
