,GLOF,Latitude,Longitude,Year_final,area_t2,area_t1,expansion_ha_peryr
0,1,42.522,74.609,1984,,,
1,1,42.207,79.846,1984,,,
2,1,35.677,77.193,1984,,,
3,1,29.307,83.967,1985,,,
4,1,36.039,74.633,1985,,,
5,1,41.975,76.867,1985,,,
6,1,27.874,86.586,1985,,,
7,1,42.207,79.846,1985,,,
8,1,36.414,74.879,1986,,,
9,1,27.586,88.027,1986,,,
10,1,42.923,76.602,1986,,,
11,1,42.207,79.846,1986,,,
12,1,35.677,77.193,1986,,,
13,1,42.207,79.846,1986,,,
14,1,35.677,77.193,1987,,,
15,1,42.207,79.846,1987,,,
16,1,31.295,78.332,1988,,,
17,1,42.522,74.609,1988,,,
18,1,42.505,74.505,1988,,,
19,1,29.288,83.868,1988,,,
20,1,38.632,72.146,1988,,,
21,1,42.537,74.431,1988,,,
22,1,42.923,76.602,1988,,,
23,1,29.466,96.501,1988,39.48224785238666,,
24,1,29.554,92.785,1988,1.2496670301064876,,
25,1,42.207,79.846,1988,,,
26,1,42.207,79.846,1989,,,
27,1,42.207,79.846,1989,,,
28,1,36.75,74.01,1990,112.86324856398471,,
29,1,35.496,76.27,1990,163.5594107701218,,
30,1,35.253,77.311,1990,116.53553645936563,,
31,1,43.171,77.295,1990,,,
32,1,42.207,79.846,1990,343.4917595497103,,
33,1,27.965,88.895,1990,28.314803870102054,,
34,1,28.087,90.326,1990,137.46407603982811,,
35,1,27.877,86.461,1991,53.189577362696376,,
36,1,42.207,79.846,1991,343.4917595497103,,
37,1,35.93,74.609,1992,10.905839352488773,,
38,1,36.043,74.571,1992,,,
39,1,42.923,76.602,1992,6.641361243816792,,
40,1,42.207,79.846,1992,283.83073842078556,,
41,1,29.748,96.538,1992,53.25631686653518,22.22290312644025,6.206682748018986
42,1,27.929,86.447,1992,302.6159034440116,,
43,1,27.557,88.111,1992,10.667322214308657,,
44,1,42.528,74.54,1993,36.58949227188008,,
45,1,42.537,74.431,1993,0.5293363219948779,,
46,1,36.84,73.92,1993,52.180656919216666,,
47,1,35.496,76.27,1993,0.2193932690453487,,
48,1,42.522,74.609,1993,83.33647789930858,,
49,1,35.253,77.311,1993,1.9060637591359066,,
50,1,43.146,77.271,1993,0.7862521003400469,,
51,1,36.033,73.197,1993,38.48798521714529,20.11275367311361,3.6750463088063356
52,1,42.207,79.846,1993,19.15788572354551,,
53,1,30.356,82.118,1994,17.902470307803707,12.556221381115673,1.0692497853376068
54,1,36.62,74.07,1994,0.144143080179491,87.7868350518551,-17.528538394335122
55,1,36.027,73.196,1994,3.9941054595612515,20.260852334393267,-3.2533493749664033
56,1,42.97,77.03,1994,,,
57,1,42.207,79.846,1994,255.90156838724906,,
58,1,28.092,90.3,1994,24.399810180007837,9.427558126384577,2.994450410724652
59,1,28.802,91.937,1995,10.308361841841451,18.65065778727125,-1.6684591890859597
60,1,28.662,85.37,1995,6.776400653457245,6.067236436183933,0.14183284345466252
61,1,43.0,77.1,1995,0.1970399153203944,,
62,1,42.207,79.846,1995,251.64477126048612,343.4917595497103,-18.369397657844836
63,1,28.663,85.478,1995,20.490726987090863,11.974630287960133,1.703219339826146
64,1,36.5,75.22,1996,1.7328530072273267,0.2164879362770212,0.30327301419006114
65,1,43.08,77.15,1996,8.394317754878163,,
66,1,27.705,92.387,1996,5.6447845269314225,5.565280983817478,0.015900708622788962
67,1,42.207,79.846,1996,206.6180926876256,343.4917595497103,-27.374733372416944
68,1,27.901,88.782,1997,48.80677407892184,29.92057442257693,3.777239931268982
69,1,43.08,77.15,1997,8.394317754878163,,
70,1,43.04,77.04,1997,12.864760102268745,0.5250134214682672,2.4679493361600953
71,1,43.016,77.024,1997,12.864760102268745,,
72,1,42.207,79.846,1997,241.94075885930894,283.83073842078556,-8.377995912295324
73,1,35.677,77.193,1997,0.9482907427474103,1.5319452810557528,-0.11673090766166849
74,1,43.006,76.566,1997,0.06566220697938757,4.467296239043095,-0.8803268064127414
75,1,27.903,90.418,1997,2.0631761220566043,14.996658220520187,-2.5866964196927165
76,1,27.899,90.807,1998,39.91989250098235,37.618285324404525,0.460321435315565
77,1,42.923,76.602,1998,9.073997979125954,0.263090955417793,1.7621814047416322
78,1,39.75,71.568,1998,7.25056128161129,,
79,1,42.207,79.846,1998,238.9480543757374,19.15788572354551,43.95803373043837
80,1,27.743,86.845,1998,44.66578150883017,42.91725090355237,0.34970612105556
81,1,27.955,86.776,1998,6.503130631658225,3.014286496482224,0.6977688270352002
82,1,35.677,77.193,1998,87.97260670634473,0.29184680098453225,17.53615198107204
83,1,42.528,74.54,1999,116.18082974355913,191.4850524387021,-15.060844539028594
84,1,36.342,75.479,1999,0.2893841692208727,0.2893834119575044,1.514526736579036e-07
85,1,42.522,74.609,1999,34.55397865341369,81.28488379916445,-9.346181029150152
86,1,42.207,79.846,1999,200.7631941465663,255.90156838724906,-11.027674848136552
87,1,35.677,77.193,1999,190.82678777416197,2.1155616443365646,37.74224522596508
88,1,42.522,74.609,2000,124.83972952546175,11.246623692545416,22.71862116658327
89,1,35.253,77.311,2000,72.53530807585625,42.3730789152628,6.03244583211869
90,1,36.84,73.92,2000,19.695219728591038,2.3722610506988486,3.4645917355784377
91,1,36.342,75.479,2000,0.2893841692208727,3.255554044526397,-0.5932339750611049
92,1,42.207,79.846,2000,2.460605715311892,251.64477126048612,-49.83683310903485
93,1,35.496,76.27,2000,38.9731571289951,24.34923810624163,2.9247838045506938
94,1,36.342,75.479,2001,0.2893841692208727,4.557780253224085,-0.8536792168006425
95,1,42.207,79.846,2001,2.5271084134991435,206.6180926876256,-40.81819685482529
96,1,28.211,89.745,2001,74.54239536871982,59.0317181604916,3.1021354416456446
97,1,28.139,85.92,2002,42.44994977871511,11.562362857710312,6.177517384200959
98,1,36.35,74.57,2002,0.5784413877739918,0.36164513873535536,0.04335924980772728
