Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial
E(o),78.553,34.151,2019,65.02,5566,0,other,0
E(o),78.23,33.281,2019,34.7,5646,0,other,0
M(o),78.197,33.137,2019,10.3,5733,0,moraine,0
E(o),78.498,33.496,2019,16.54,5428,0,other,0
O,78.498,33.455,2019,147.89,5308,0,other,0
O,78.488,33.427,2019,177.73,5284,0,other,0
M(o),78.47,33.055,2019,36.49,5745,0,moraine,0
E(c),78.506,33.558,2019,25.33,5665,0,other,0
E(o),78.519,33.517,2019,13.66,5404,0,other,0
O,78.502,33.474,2019,15.1,5312,0,other,0
M(e),78.272,32.363,2019,13.59,5357,0,moraine,0
M(e),78.726,32.736,2019,34.79,5626,0,moraine,0
M(e),78.852,32.492,2019,11.12,5706,0,moraine,0
M(e),78.925,32.441,2019,10.65,5680,0,moraine,0
M(e),78.9,32.409,2019,30.44,5468,0,moraine,0
M(o),78.979,32.32,2019,10.51,5498,0,moraine,0
M(e),78.845,32.029,2019,15.62,5621,0,moraine,0
O,79.044,32.21,2019,21.55,5272,0,other,0
O,79.393,32.377,2019,24.86,5448,0,other,0
E(o),79.622,32.399,2019,23.72,5058,0,other,0
M(e),79.659,32.389,2019,12.3,5720,0,moraine,0
E(o),79.662,32.298,2019,17.15,5690,0,other,0
M(e),78.168,31.661,2019,23.2,4255,0,moraine,0
M(o),78.254,31.339,2019,11.46,4676,0,moraine,0
M(e),78.845,31.993,2019,20.9,5613,0,moraine,0
M(e),78.784,31.919,2019,13.44,5351,0,moraine,0
M(e),78.84,31.914,2019,18.03,5583,0,moraine,0
M(e),78.751,31.554,2019,10.67,5276,0,moraine,0
M(e),79.958,31.984,2019,15.73,5544,0,moraine,0
M(e),79.986,31.95,2019,10.43,5449,0,moraine,0
M(e),79.994,31.937,2019,14.46,5494,0,moraine,0
E(o),79.865,31.925,2019,31.43,5356,0,other,0
E(o),79.988,31.909,2019,14.06,5558,0,other,0
E(c),79.986,31.9,2019,10.24,5663,0,other,0
E(o),79.984,31.878,2019,27.77,5514,0,other,0
M(e),80.09,34.282,2019,25.66,5697,0,moraine,0
M(lg),80.84,34.324,2019,13.22,5742,0,moraine,0
I(d),80.858,34.316,2019,232.34,5709,0,ice,0
M(e),80.982,34.307,2019,42.6,5729,0,moraine,0
O,80.865,32.423,2019,58.84,4452,0,other,0
O,81.202,34.299,2019,61.15,5274,0,other,0
E(o),81.257,34.341,2019,51.89,5298,0,other,0
E(o),80.001,31.9,2019,20.08,5476,0,other,0
E(o),79.999,31.881,2019,13.93,5511,0,other,0
M(e),80.664,31.694,2019,14.11,5532,0,moraine,0
O,80.948,31.499,2019,19.6,5238,0,other,0
O,80.985,31.495,2019,24.74,5386,0,other,0
O,80.992,31.474,2019,26.9,5408,0,other,0
M(e),80.4,30.552,2019,26.56,4990,0,moraine,0
M(e),80.592,30.477,2019,12.63,5263,0,moraine,0
O,81.063,31.985,2019,11.79,4734,0,other,0
O,81.157,31.442,2019,13.01,5240,0,other,0
M(e),81.032,31.285,2019,13.53,5617,0,moraine,0
E(o),81.176,31.285,2019,18.1,5171,0,other,0
E(o),81.133,31.26,2019,12.43,5530,0,other,0
M(e),81.138,31.234,2019,10.92,5562,0,moraine,0
E(o),81.195,31.182,2019,52.48,5413,0,other,0
M(e),81.152,31.179,2019,19.91,5514,0,moraine,0
E(o),81.243,31.153,2019,15.57,5651,0,other,0
O,81.631,31.284,2019,25.89,5259,0,other,0
O,81.595,31.274,2019,156.89,5229,0,other,0
O,81.518,31.272,2019,28.77,5172,0,other,0
E(o),81.433,30.431,2019,192.62,5484,0,other,0
M(o),81.463,30.43,2019,13.7,5572,0,moraine,0
M(e),81.468,30.416,2019,10.02,5603,0,moraine,0
M(o),81.476,30.409,2019,11.76,5542,0,moraine,0
E(o),81.702,30.515,2019,10.17,4818,0,other,0
E(o),81.714,30.43,2019,23.45,5184,0,other,0
E(o),81.721,30.421,2019,18.94,5247,0,other,0
E(o),81.533,30.393,2019,17.49,5128,0,other,0
O,81.993,30.463,2019,20.76,5161,0,other,0
E(o),81.871,30.427,2019,21.31,5338,0,other,0
E(o),81.868,30.419,2019,14.11,5356,0,other,0
M(e),81.853,30.399,2019,13.91,5722,0,moraine,0
M(e),81.964,30.392,2019,20.83,5675,0,moraine,0
M(e),81.818,30.39,2019,14.51,5544,0,moraine,0
M(e),81.895,30.39,2019,10.27,5441,0,moraine,0
M(e),81.93,30.385,2019,59.79,5224,0,moraine,0
M(e),81.841,30.385,2019,12.42,5571,0,moraine,0
E(o),82.084,30.592,2019,10.15,5382,0,other,0
M(e),82.02,30.376,2019,11.62,5493,0,moraine,0
E(o),78.211,31.231,2019,10.66,4264,0,other,0
E(c),78.255,31.26,2019,15.1,4403,0,other,0
M(e),78.987,30.746,2019,25.56,4734,0,moraine,0
M(e),79.46,30.976,2019,17.02,5537,0,moraine,0
I(s),79.747,30.904,2019,11.05,4683,0,ice,1
I(s),79.746,30.901,2019,11.41,4689,0,ice,1
M(e),79.754,30.901,2019,22.04,4677,0,moraine,0
M(e),80.179,30.565,2019,17.81,4872,0,moraine,0
M(e),80.387,30.446,2019,10.0,4306,0,moraine,0
M(e),80.532,30.392,2019,11.21,4753,0,moraine,0
M(e),80.784,30.402,2019,43.35,5088,0,moraine,0
E(o),80.886,30.347,2019,12.47,5253,0,other,0
M(o),81.33,30.424,2019,12.68,5807,0,moraine,0
O,81.427,30.417,2019,17.88,5496,0,other,0
O,81.427,30.405,2019,11.18,5472,0,other,0
E(o),81.421,30.378,2019,25.56,5659,0,other,0
E(o),81.376,30.364,2019,10.33,5756,0,other,0
E(o),81.413,30.343,2019,30.39,5734,0,other,0
M(e),81.376,30.322,2019,13.96,5542,0,moraine,0
M(o),81.445,30.319,2019,12.2,5497,0,moraine,0
M(e),81.409,30.312,2019,13.27,5634,0,moraine,0
M(e),81.399,30.302,2019,11.68,5580,0,moraine,0
M(e),81.388,30.297,2019,26.15,5516,0,moraine,0
M(e),81.349,30.266,2019,20.37,5207,0,moraine,0
M(e),81.35,30.233,2019,26.79,5297,0,moraine,0
O,81.689,30.254,2019,27.78,4264,0,other,0
O,81.574,30.378,2019,22.49,5097,0,other,0
E(o),81.512,30.328,2019,12.27,5221,0,other,0
E(o),81.574,30.284,2019,14.32,5077,0,other,0
M(o),81.748,30.162,2019,16.11,5046,0,moraine,0
M(o),81.685,30.14,2019,21.34,4655,0,moraine,0
M(e),81.861,30.346,2019,15.56,5431,0,moraine,0
M(o),81.831,30.345,2019,10.48,5520,0,moraine,0
M(o),81.913,30.338,2019,28.2,5135,0,moraine,0
M(e),81.92,30.336,2019,10.09,5130,0,moraine,0
M(e),81.833,30.324,2019,11.65,5571,0,moraine,0
M(e),81.876,30.313,2019,10.69,5546,0,moraine,0
M(e),81.866,30.307,2019,10.94,5492,0,moraine,0
M(e),81.802,30.216,2019,19.31,5343,0,moraine,0
M(e),81.758,30.214,2019,12.12,5368,0,moraine,0
M(e),81.878,30.204,2019,12.66,5518,0,moraine,0
M(e),81.781,30.129,2019,75.65,5015,0,moraine,0
O,81.955,30.059,2019,11.43,4440,0,other,0
M(e),81.941,30.057,2019,13.87,4564,0,moraine,0
M(e),81.031,29.921,2019,18.61,4821,0,moraine,0
E(o),81.674,29.936,2019,11.23,4569,0,other,0
E(o),81.747,29.898,2019,12.9,4692,0,other,0
M(e),81.578,29.898,2019,28.51,3581,0,moraine,0
M(e),81.527,29.773,2019,49.99,4576,0,moraine,0
E(c),81.556,29.648,2019,11.64,4551,0,other,0
E(c),81.544,29.61,2019,13.28,4467,0,other,0
M(l),82.161,30.149,2019,16.65,4994,0,moraine,0
M(l),82.127,30.067,2019,62.33,4829,0,moraine,0
M(l),82.197,29.993,2019,24.67,4379,0,moraine,0
E(c),82.25,29.971,2019,17.27,4881,0,other,0
E(c),82.208,29.935,2019,12.01,4562,0,other,0
E(c),82.207,29.929,2019,32.97,4550,0,other,0
O,82.235,29.928,2019,12.27,4236,0,other,0
M(o),82.245,29.702,2019,10.53,4671,0,moraine,0
M(o),82.193,29.675,2019,15.17,4223,0,moraine,0
E(o),82.222,29.669,2019,11.34,4577,0,other,0
E(o),82.194,29.668,2019,12.67,4379,0,other,0
E(c),82.203,29.666,2019,19.44,4388,0,other,0
E(o),82.223,29.654,2019,13.57,4492,0,other,0
E(o),82.236,29.116,2019,10.84,4270,0,other,0
E(o),82.186,29.084,2019,11.01,4242,0,other,0
M(o),82.383,29.878,2019,12.59,4967,0,moraine,0
E(c),82.415,29.754,2019,42.4,4692,0,other,0
M(l),82.25,29.714,2019,11.54,4651,0,moraine,0
M(o),82.373,29.698,2019,13.27,4842,0,moraine,0
E(o),82.361,29.432,2019,27.07,4398,0,other,0
E(c),82.43,29.408,2019,19.81,4415,0,other,0
E(o),82.394,29.391,2019,16.79,3954,0,other,0
E(o),82.416,29.387,2019,13.31,4447,0,other,0
E(c),82.424,29.384,2019,46.79,4434,0,other,0
E(o),82.41,29.382,2019,10.19,4287,0,other,0
E(o),82.474,29.309,2019,15.73,4081,0,other,0
E(o),82.256,29.119,2019,13.37,4430,0,other,0
E(o),82.514,29.893,2019,11.14,5031,0,other,0
M(o),82.712,29.822,2019,19.68,5037,0,moraine,0
M(e),82.671,29.798,2019,13.7,4654,0,moraine,0
M(o),82.705,29.743,2019,11.27,5346,0,moraine,0
M(o),82.644,29.723,2019,18.86,4978,0,moraine,0
E(o),82.561,29.696,2019,11.37,4830,0,other,0
M(e),82.705,29.297,2019,10.03,5003,0,moraine,0
M(e),82.59,29.27,2019,10.04,4335,0,moraine,0
M(o),82.564,29.249,2019,29.0,4647,0,moraine,0
E(o),82.546,29.194,2019,35.8,4693,0,other,0
E(o),82.563,29.185,2019,16.36,4597,0,other,0
E(o),82.867,28.819,2019,18.36,4429,0,other,0
E(c),82.981,28.79,2019,10.6,4796,0,other,0
M(o),83.026,29.108,2019,12.95,4884,0,moraine,0
E(o),83.39,29.377,2019,11.85,5175,0,other,0
M(o),83.702,29.218,2019,42.49,5426,0,moraine,0
M(e),83.684,29.201,2019,22.46,5482,0,moraine,0
O,83.748,29.175,2019,17.07,5360,0,other,0
M(o),83.738,29.117,2019,11.61,5517,0,moraine,0
M(e),83.674,29.046,2019,12.14,5431,0,moraine,0
M(e),83.173,28.993,2019,15.98,4821,0,moraine,0
M(e),83.187,28.959,2019,27.62,5071,0,moraine,0
M(e),83.33,28.787,2019,43.57,4445,0,moraine,0
M(e),83.527,28.886,2019,30.92,5578,0,moraine,0
M(e),83.89,28.726,2019,14.99,5103,0,moraine,0
E(o),83.92,28.712,2019,10.97,4986,0,other,0
M(o),83.852,28.691,2019,340.21,4910,0,moraine,0
M(e),84.15,28.826,2019,10.74,5406,0,moraine,0
M(l),84.472,28.663,2019,24.93,4088,0,moraine,0
M(l),84.458,28.657,2019,10.57,4039,0,moraine,0
M(e),84.256,28.497,2019,11.38,4987,0,moraine,0
M(e),84.486,28.488,2019,89.44,4038,0,moraine,0
M(e),84.629,28.596,2019,22.25,3632,0,moraine,0
E(o),84.579,28.372,2019,11.03,4430,0,other,0
M(e),84.912,28.617,2019,10.08,4683,0,moraine,0
E(o),84.802,28.505,2019,21.26,3684,0,other,0
E(c),84.78,28.38,2019,16.8,4656,0,other,0
E(o),85.084,28.961,2019,17.03,5388,0,other,0
M(o),85.022,28.585,2019,11.99,5047,0,moraine,0
M(e),85.17,28.292,2019,20.33,4724,0,moraine,0
M(e),85.41,28.676,2019,21.04,5447,0,moraine,0
M(e),85.491,28.644,2019,50.98,4985,0,moraine,0
M(e),85.474,28.642,2019,33.3,5135,0,moraine,0
M(e),85.457,28.568,2019,23.6,4495,0,moraine,0
M(e),85.464,28.566,2019,16.35,4428,0,moraine,0
I(s),85.333,28.559,2019,12.6,4973,0,ice,1
M(e),85.494,28.508,2019,26.42,4798,0,moraine,0
M(o),85.469,28.124,2019,14.08,4787,0,moraine,0
O,85.413,28.083,2019,12.59,4393,0,other,0
O,85.407,28.08,2019,15.16,4327,0,other,0
O,85.389,28.061,2019,16.5,4205,0,other,0
M(e),85.51,28.623,2019,118.78,5127,0,moraine,0
M(e),85.527,28.616,2019,103.58,5113,0,moraine,0
M(o),85.596,28.58,2019,26.15,5436,0,moraine,0
M(o),85.583,28.575,2019,22.13,5438,0,moraine,0
E(o),85.659,28.573,2019,10.62,5238,0,other,0
M(e),85.602,28.562,2019,129.19,5361,0,moraine,0
E(o),85.616,28.548,2019,21.83,5443,0,other,0
M(e),85.609,28.532,2019,540.55,5352,0,moraine,0
M(o),85.638,28.527,2019,31.01,5299,0,moraine,0
M(e),85.636,28.494,2019,490.68,5278,0,moraine,0
M(e),85.736,28.485,2019,51.99,5335,0,moraine,0
M(e),85.519,28.468,2019,43.67,4445,0,moraine,0
M(o),85.684,28.46,2019,18.49,5705,0,moraine,0
M(e),85.564,28.426,2019,29.39,4873,0,moraine,0
M(o),85.588,28.405,2019,10.51,5251,0,moraine,0
M(o),85.605,28.404,2019,12.01,5265,0,moraine,0
M(o),85.538,28.358,2019,10.83,4390,0,moraine,0
M(o),85.63,28.163,2019,13.05,4986,0,moraine,0
M(e),85.78,28.442,2019,48.25,5577,0,moraine,0
E(o),85.89,28.371,2019,27.07,5242,0,other,0
M(e),85.871,28.36,2019,463.78,5212,0,moraine,0
M(o),85.869,28.329,2019,213.52,5167,0,moraine,0
M(o),85.908,28.323,2019,14.56,5387,0,moraine,0
M(e),85.838,28.322,2019,540.35,5067,0,moraine,0
M(o),85.93,28.321,2019,11.18,5298,0,moraine,0
M(o),85.948,28.313,2019,25.06,5227,0,moraine,0
E(c),85.819,28.297,2019,28.1,5080,0,other,0
M(o),85.83,28.293,2019,28.5,5023,0,moraine,0
O,85.915,28.261,2019,15.97,5106,0,other,0
M(e),85.847,28.211,2019,61.34,4374,0,moraine,0
E(o),85.923,28.182,2019,47.08,4355,0,other,0
I(s),85.905,28.151,2019,12.6,4495,0,ice,1
M(e),86.225,28.347,2019,55.9,5348,0,moraine,0
M(e),86.192,28.335,2019,55.0,5422,0,moraine,0
M(o),86.158,28.321,2019,22.44,5549,0,moraine,0
M(e),86.157,28.303,2019,59.05,5307,0,moraine,0
M(e),86.151,28.295,2019,16.51,5346,0,moraine,0
M(e),86.131,28.294,2019,23.99,5244,0,moraine,0
M(e),86.187,28.27,2019,12.64,5335,0,moraine,0
M(e),86.103,28.253,2019,14.98,5189,0,moraine,0
M(o),86.15,28.249,2019,13.16,5331,0,moraine,0
M(e),86.196,28.243,2019,17.69,5338,0,moraine,0
M(o),86.226,28.183,2019,12.34,5223,0,moraine,0
M(o),86.066,28.067,2019,32.5,4630,0,moraine,0
M(e),86.415,28.392,2019,20.17,5502,0,moraine,0
M(e),86.384,28.381,2019,13.92,5551,0,moraine,0
M(e),86.305,28.374,2019,391.5,5346,0,moraine,0
M(e),86.259,28.374,2019,27.54,5544,0,moraine,0
M(e),86.493,28.348,2019,34.51,5524,0,moraine,0
M(e),86.582,28.199,2019,134.64,5094,0,moraine,0
M(e),86.365,28.24,2019,24.72,5327,0,moraine,0
M(e),86.314,28.194,2019,27.79,5245,0,moraine,0
M(e),86.351,28.193,2019,19.87,5339,0,moraine,0
M(e),86.5,28.033,2019,60.86,5057,0,moraine,0
E(o),86.514,28.887,2019,98.23,5098,0,other,0
E(o),86.575,28.84,2019,26.39,5465,0,other,0
E(o),86.529,28.815,2019,32.37,5326,0,other,0
M(o),86.511,28.321,2019,10.75,5321,0,moraine,0
I(s),86.502,28.283,2019,22.63,5157,0,ice,1
M(e),86.629,28.207,2019,27.78,5539,0,moraine,0
M(e),86.532,28.185,2019,67.68,5025,0,moraine,0
M(o),86.535,28.151,2019,18.48,5220,0,moraine,0
M(e),86.531,28.135,2019,97.85,4984,0,moraine,0
M(e),86.52,28.073,2019,23.11,5216,0,moraine,0
M(l),86.514,28.044,2019,57.94,5241,0,moraine,0
M(e),86.71,28.038,2019,15.44,5363,0,moraine,0
M(o),86.682,28.026,2019,18.71,5149,0,moraine,0
M(o),86.721,28.017,2019,19.81,5066,0,moraine,0
M(l),86.682,28.006,2019,17.13,4947,0,moraine,0
I(s),86.863,28.112,2019,39.4,5218,0,ice,1
E(o),87.15,28.274,2019,11.91,5012,0,other,0
E(o),87.246,28.27,2019,15.31,5166,0,other,0
M(e),87.053,28.226,2019,17.19,5050,0,moraine,0
E(o),87.101,28.208,2019,101.93,4852,0,other,0
O,87.052,28.205,2019,65.11,4980,0,other,0
E(o),87.122,28.166,2019,12.23,5219,0,other,0
E(o),87.143,28.159,2019,18.93,5154,0,other,0
O,87.158,28.152,2019,94.74,5141,0,other,0
O,87.174,28.152,2019,10.97,5075,0,other,0
M(o),87.105,28.142,2019,16.53,5472,0,moraine,0
M(o),87.112,28.142,2019,25.06,5470,0,moraine,0
M(e),87.082,28.13,2019,19.29,5518,0,moraine,0
M(o),87.065,28.111,2019,31.03,5468,0,moraine,0
M(e),87.134,28.069,2019,25.49,4879,0,moraine,0
M(e),87.047,28.068,2019,78.93,5589,0,moraine,0
M(o),87.193,28.065,2019,10.78,4837,0,moraine,0
M(e),87.167,28.039,2019,24.07,4739,0,moraine,0
E(c),87.19,28.032,2019,27.29,5013,0,other,0
M(e),87.028,28.007,2019,14.23,5509,0,moraine,0
M(e),87.142,28.005,2019,43.7,4450,0,moraine,0
E(o),87.437,28.775,2019,21.8,5553,0,other,0
E(o),87.417,28.76,2019,15.68,5458,0,other,0
E(o),87.427,28.754,2019,13.58,5511,0,other,0
E(o),87.455,28.75,2019,31.67,5680,0,other,0
E(o),87.382,28.742,2019,41.57,5501,0,other,0
E(o),87.479,28.737,2019,23.55,5415,0,other,0
E(o),87.44,28.735,2019,23.96,5577,0,other,0
E(o),87.406,28.734,2019,18.44,5600,0,other,0
E(o),87.478,28.728,2019,24.81,5384,0,other,0
M(e),86.379,28.393,2019,100.11,5482,0,moraine,0
O,87.47,28.213,2019,131.39,4781,0,other,0
M(e),87.479,28.172,2019,23.91,5290,0,moraine,0
O,87.418,28.165,2019,10.93,4818,0,other,0
M(e),87.487,28.161,2019,10.29,5298,0,moraine,0
O,87.443,28.16,2019,32.33,4854,0,other,0
M(o),87.469,28.148,2019,39.58,5106,0,moraine,0
M(e),87.428,28.137,2019,25.85,5191,0,moraine,0
E(o),87.354,28.064,2019,13.08,4190,0,other,0
E(o),87.27,28.023,2019,10.23,4636,0,other,0
E(o),87.259,28.016,2019,33.07,4672,0,other,0
E(o),87.297,28.012,2019,12.13,4416,0,other,0
E(o),86.519,28.858,2019,81.24,5254,0,other,0
E(o),87.509,28.841,2019,25.2,5486,0,other,0
E(o),86.522,28.832,2019,281.32,5319,0,other,0
O,87.553,28.773,2019,25.64,5319,0,other,0
E(o),87.625,28.747,2019,17.28,5545,0,other,0
O,87.548,28.712,2019,41.2,5188,0,other,0
E(o),87.534,28.694,2019,60.74,5158,0,other,0
M(o),87.634,28.268,2019,10.04,5674,0,moraine,0
M(o),87.501,28.236,2019,20.48,5225,0,moraine,0
M(e),87.591,28.23,2019,78.9,5410,0,moraine,0
M(e),87.578,28.228,2019,21.94,5247,0,moraine,0
M(e),87.56,28.206,2019,15.95,5337,0,moraine,0
M(e),87.641,28.195,2019,47.42,5352,0,moraine,0
M(e),87.563,28.178,2019,104.19,5011,0,moraine,0
M(e),87.623,28.167,2019,20.87,5375,0,moraine,0
M(e),87.578,28.164,2019,20.22,5171,0,moraine,0
M(o),87.612,28.155,2019,13.82,5241,0,moraine,0
M(o),87.599,28.131,2019,14.18,5261,0,moraine,0
M(e),87.615,28.118,2019,35.67,5052,0,moraine,0
M(e),87.586,28.116,2019,12.43,5050,0,moraine,0
M(e),87.655,28.114,2019,146.34,4954,0,moraine,0
M(e),87.584,28.107,2019,15.91,4968,0,moraine,0
M(e),87.637,28.093,2019,72.47,5178,0,moraine,0
M(e),87.627,28.052,2019,18.4,5066,0,moraine,0
M(e),86.446,27.947,2019,156.76,5046,0,moraine,0
M(o),86.433,27.929,2019,31.99,5025,0,moraine,0
M(o),86.42,27.927,2019,15.72,5020,0,moraine,0
M(o),86.465,27.917,2019,17.56,5259,0,moraine,0
M(o),86.477,27.916,2019,14.08,5110,0,moraine,0
M(e),86.476,27.861,2019,158.4,4550,0,moraine,0
E(o),86.356,27.85,2019,11.18,4424,0,other,0
M(l),86.681,27.975,2019,57.83,4834,0,moraine,0
M(l),86.69,27.951,2019,42.11,4741,0,moraine,0
M(l),86.699,27.941,2019,18.0,4709,0,moraine,0
M(o),86.621,27.791,2019,46.73,5157,0,moraine,0
M(e),86.612,27.779,2019,117.31,4831,0,moraine,0
M(o),86.643,27.778,2019,29.27,5163,0,moraine,0
M(o),86.835,27.997,2019,11.55,5321,0,moraine,0
I(s),86.804,27.975,2019,24.84,5183,0,ice,1
M(l),86.786,27.924,2019,54.85,4512,0,moraine,0
M(e),86.925,27.898,2019,139.77,5003,0,moraine,0
E(c),86.913,27.894,2019,11.28,4986,0,other,0
M(o),86.937,27.857,2019,21.45,5473,0,moraine,0
M(o),86.928,27.85,2019,48.86,5411,0,moraine,0
M(e),86.935,27.837,2019,29.39,5209,0,moraine,0
M(o),86.917,27.832,2019,33.07,5360,0,moraine,0
M(e),86.974,27.805,2019,16.77,5516,0,moraine,0
M(e),86.966,27.799,2019,21.36,5396,0,moraine,0
M(o),86.911,27.794,2019,18.87,5274,0,moraine,0
M(o),86.838,27.793,2019,22.89,5351,0,moraine,0
M(e),86.957,27.783,2019,87.28,5198,0,moraine,0
I(s),86.871,27.766,2019,13.68,4931,0,ice,1
M(o),86.958,27.755,2019,86.5,4927,0,moraine,0
M(o),86.91,27.719,2019,14.93,4989,0,moraine,0
M(o),86.792,27.696,2019,12.95,4951,0,moraine,0
M(e),86.858,27.687,2019,31.8,4764,0,moraine,0
E(o),86.853,27.681,2019,11.85,4694,0,other,0
E(c),87.247,27.959,2019,12.02,4457,0,other,0
E(c),87.188,27.906,2019,33.14,4490,0,other,0
M(e),87.081,27.844,2019,41.15,4847,0,moraine,0
M(o),87.095,27.829,2019,12.06,5225,0,moraine,0
M(e),87.092,27.798,2019,182.16,4543,0,moraine,0
E(c),87.206,27.691,2019,11.49,4088,0,other,0
E(o),87.345,27.983,2019,26.18,3728,0,other,0
E(c),87.349,27.948,2019,10.13,3991,0,other,0
E(o),87.293,27.932,2019,12.13,4373,0,other,0
E(c),87.306,27.918,2019,11.15,4416,0,other,0
E(c),87.341,27.837,2019,19.17,4243,0,other,0
E(c),87.522,27.997,2019,12.38,4720,0,other,0
E(o),87.583,27.986,2019,12.33,4826,0,other,0
E(c),87.557,27.979,2019,11.03,4767,0,other,0
M(e),87.699,27.9,2019,11.27,5226,0,moraine,0
E(c),87.737,27.864,2019,13.98,5337,0,other,0
M(e),87.749,27.816,2019,17.17,4903,0,moraine,0
E(c),87.694,27.681,2019,13.3,4633,0,other,0
E(c),87.517,27.681,2019,10.1,4472,0,other,0
E(o),87.703,27.651,2019,14.36,4460,0,other,0
O,87.573,27.645,2019,11.78,3860,0,other,0
E(c),87.633,27.639,2019,16.45,4289,0,other,0
E(c),87.696,27.63,2019,14.11,4179,0,other,0
E(o),87.706,27.629,2019,13.01,4319,0,other,0
E(o),87.712,27.62,2019,12.63,4454,0,other,0
E(c),87.543,27.617,2019,10.93,4471,0,other,0
M(l),87.884,27.969,2019,17.9,5597,0,moraine,0
M(e),87.814,27.964,2019,40.61,5249,0,moraine,0
M(e),87.908,27.952,2019,64.79,5165,0,moraine,0
M(e),87.93,27.95,2019,83.66,5106,0,moraine,0
M(e),88.002,27.928,2019,113.22,5348,0,moraine,0
M(e),87.771,27.926,2019,97.66,4913,0,moraine,0
M(e),87.805,27.881,2019,34.32,4690,0,moraine,0
M(e),87.866,27.869,2019,68.12,4910,0,moraine,0
O,87.831,27.849,2019,33.5,4437,0,other,0
M(e),87.974,27.793,2019,22.32,5183,0,moraine,0
M(o),87.934,27.79,2019,14.1,4938,0,moraine,0
E(c),87.777,27.757,2019,25.46,4708,0,other,0
E(c),87.782,27.745,2019,19.69,4775,0,other,0
E(o),87.778,27.738,2019,22.06,4705,0,other,0
M(e),88.241,28.004,2019,41.8,5269,0,moraine,0
O,88.427,28.054,2019,101.66,4888,0,other,0
E(o),88.461,28.033,2019,13.87,5156,0,other,0
M(e),88.355,28.022,2019,56.29,5195,0,moraine,0
M(e),88.288,28.017,2019,50.43,5268,0,moraine,0
M(e),88.259,28.009,2019,59.7,5256,0,moraine,0
M(e),88.32,28.005,2019,38.58,5104,0,moraine,0
M(e),88.221,27.988,2019,11.94,5372,0,moraine,0
M(e),88.075,27.946,2019,148.59,5488,0,moraine,0
M(o),88.041,27.943,2019,10.32,5821,0,moraine,0
M(e),88.066,27.933,2019,83.35,5563,0,moraine,0
M(e),88.019,27.928,2019,13.25,5692,0,moraine,0
M(e),88.078,27.835,2019,16.48,5604,0,moraine,0
M(o),88.05,27.545,2019,25.72,5020,0,moraine,0
M(e),88.402,27.994,2019,18.97,5171,0,moraine,0
O,82.173,30.478,2019,31.29,5250,0,other,0
O,82.06,30.468,2019,378.8,5180,0,other,0
O,82.108,30.461,2019,16.73,5177,0,other,0
O,82.181,30.431,2019,32.23,5000,0,other,0
O,82.171,30.413,2019,37.71,5002,0,other,0
E(o),82.192,30.398,2019,86.53,5203,0,other,0
E(o),82.156,30.366,2019,12.73,5450,0,other,0
M(e),82.055,30.362,2019,56.83,5283,0,moraine,0
O,82.238,30.352,2019,29.81,5106,0,other,0
M(e),82.141,30.34,2019,16.12,5580,0,moraine,0
M(e),82.169,30.282,2019,16.58,5339,0,moraine,0
M(e),82.209,30.255,2019,128.7,5057,0,moraine,0
M(e),82.232,30.221,2019,44.31,5582,0,moraine,0
O,82.362,30.432,2019,152.61,4882,0,other,0
O,82.302,30.419,2019,901.4,4931,0,other,0
O,82.355,30.407,2019,23.16,4870,0,other,0
O,82.256,30.406,2019,14.1,4936,0,other,0
O,82.273,30.371,2019,10.68,4966,0,other,0
O,82.271,30.342,2019,69.03,4993,0,other,0
O,82.27,30.329,2019,58.67,4990,0,other,0
O,82.272,30.318,2019,15.62,4996,0,other,0
O,82.259,30.311,2019,25.33,4997,0,other,0
O,82.486,30.217,2019,25.14,4791,0,other,0
E(o),82.404,30.106,2019,48.23,4912,0,other,0
M(e),82.27,30.103,2019,203.15,4875,0,moraine,0
M(e),82.343,30.079,2019,91.73,4849,0,moraine,0
O,82.526,30.832,2019,14.79,5307,0,other,0
M(o),82.75,30.807,2019,14.74,5547,0,moraine,0
O,82.652,30.608,2019,20.59,5088,0,other,0
O,82.589,30.257,2019,19.38,4778,0,other,0
O,82.859,30.881,2019,146.23,5446,0,other,0
M(o),82.754,30.811,2019,10.06,5551,0,moraine,0
O,82.88,30.654,2019,12.36,5322,0,other,0
M(o),82.906,30.572,2019,14.28,5553,0,moraine,0
M(o),82.921,30.563,2019,26.68,5607,0,moraine,0
M(o),82.958,30.551,2019,29.39,5558,0,moraine,0
O,82.756,30.116,2019,12.66,4842,0,other,0
M(o),82.479,29.984,2019,11.89,5223,0,moraine,0
M(e),82.496,29.969,2019,23.18,4995,0,moraine,0
E(o),82.535,29.985,2019,392.72,4829,0,other,0
E(o),82.567,29.98,2019,19.61,4845,0,other,0
M(o),82.589,29.98,2019,48.6,4853,0,moraine,0
M(e),82.508,29.962,2019,25.57,5084,0,moraine,0
M(e),82.603,29.94,2019,28.46,4891,0,moraine,0
M(e),82.618,29.924,2019,41.72,4960,0,moraine,0
M(e),82.782,29.84,2019,291.26,5058,0,moraine,0
M(e),82.853,29.796,2019,53.83,5160,0,moraine,0
M(e),82.885,29.762,2019,40.66,5118,0,moraine,0
