Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial
ice,73.92,36.84,2004,1.2776,3551,1,ice,0
supraglacial,81.474,30.267,2004,,5363,1,ice,1
ice,79.846,42.207,2004,350.59340000000003,3269,1,ice,0
ice,77.193,35.677,2004,223.25070000000002,4779,1,ice,0
unknown,72.706,36.384,2005,,4403,1,other,0
moraine,74.427,42.537,2005,,3600,1,moraine,0
ice,79.846,42.207,2005,273.5822,3269,1,ice,0
water pocket,77.509,43.128,2005,33.196000000000005,3542,1,other,0
moraine,73.196,36.027,2005,,4762,1,moraine,0
ice,77.193,35.677,2005,221.2477,4779,1,ice,0
moraine,96.465,29.752,2006,18.1658,5052,1,moraine,0
supraglacial,81.474,30.267,2006,,5363,1,ice,1
moraine,76.995,41.859,2006,3.6286,3861,1,moraine,0
ice,79.846,42.207,2006,211.50320000000002,3269,1,ice,0
ice,77.193,35.677,2006,128.3359,4779,1,ice,0
water pocket,74.806,36.428,2007,,3090,1,other,0
supraglacial,81.474,30.267,2007,,5363,1,ice,1
ice,79.846,42.207,2007,211.5103,3269,1,ice,0
moraine,90.225,28.278,2007,98.75,5301,1,moraine,0
moraine,74.879,36.457,2008,,2551,1,moraine,0
water pocket,74.806,36.428,2008,,3090,1,other,0
water pocket,74.806,36.428,2008,,3090,1,other,0
water pocket,74.806,36.428,2008,,3090,1,other,0
ice,77.193,35.677,2008,35.8967,4779,1,ice,0
supraglacial,81.474,30.267,2008,,5363,1,ice,1
water pocket,74.806,36.428,2008,,3090,1,other,0
ice,79.846,42.207,2008,215.7636,3269,1,ice,0
moraine,77.017,41.941,2008,5.0313,3893,1,moraine,0
bedrock,97.835,28.323,2008,8.375,4181,1,other,0
ice,79.846,42.207,2009,114.34700000000001,3269,1,ice,0
unknown,71.637,37.094,2009,,4414,1,other,0
water pocket,74.571,36.043,2009,,2648,1,other,0
water pocket,74.806,36.428,2009,,3090,1,other,0
supraglacial,90.164,28.101,2009,13.1797,4268,1,ice,1
supraglacial,81.474,30.267,2009,,5363,1,ice,1
ice,74.004,36.784,2009,5.2659,3363,1,ice,0
ice,77.193,35.677,2009,159.4023,4779,1,ice,0
moraine,94.0,30.83,2009,43.4039,4760,1,moraine,0
moraine,90.326,28.087,2009,11.5105,4706,1,moraine,0
water pocket,74.609,35.93,2010,,4124,1,other,0
water pocket,74.633,36.039,2010,,3301,1,other,0
supraglacial,73.353,36.546,2010,,3997,1,ice,1
water pocket,74.609,42.522,2010,,3466,1,other,0
ice,75.479,36.342,2010,,3475,1,ice,0
ice,79.846,42.207,2010,120.1516,3269,1,ice,0
water pocket,74.571,36.043,2010,,2648,1,other,0
moraine,87.985,27.951,2010,9.292900000000001,5485,1,moraine,0
unknown,71.898,36.174,2010,,4313,1,other,0
moraine,78.488,33.019,2010,1.961,5684,1,moraine,0
ice,79.846,42.207,2011,275.9137,3269,1,ice,0
ice,77.604,35.411,2011,,5093,1,ice,0
supraglacial,81.474,30.267,2011,,5363,1,ice,1
ice,79.846,42.207,2012,237.0198,3269,1,ice,0
moraine,73.196,36.027,2012,,4762,1,moraine,0
moraine,74.427,42.537,2012,0.9136000000000001,3600,1,moraine,0
ice,77.604,35.411,2013,,5093,1,ice,0
moraine,79.062,30.747,2013,9.145900000000001,3860,1,moraine,0
moraine,93.534,30.473,2013,57.394800000000004,5014,1,moraine,0
ice,74.004,36.784,2013,9.069700000000001,3363,1,ice,0
moraine,76.814,41.987,2013,3.8815000000000004,3807,1,moraine,0
moraine,71.129,36.475,2013,20.2148,4588,1,moraine,0
moraine,94.944,30.531,2013,6.5625,3864,1,moraine,0
water pocket,74.666,35.997,2014,,3886,1,other,0
ice,77.604,35.411,2014,65.372,5093,1,ice,0
supraglacial,77.277,43.144,2014,,3374,1,ice,1
moraine,76.828,41.973,2014,1.8978000000000002,3769,1,moraine,0
moraine,77.613,33.617,2014,10.746,5411,1,moraine,0
ice,79.846,42.207,2015,201.8529,3269,1,ice,0
moraine,86.586,27.874,2015,64.08630000000001,4368,1,moraine,0
supraglacial,86.891,27.906,2015,0.7212000000000001,4960,1,ice,1
moraine,89.58,28.07,2015,5.616700000000001,4284,1,moraine,0
water pocket,74.666,35.997,2015,,3886,1,other,0
water pocket,71.775,36.22,2015,,4060,1,other,0
unknown,71.898,36.174,2015,,4313,1,other,0
