Unnamed: 0,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha,area_t1,area_t2,expansion_ha_peryr
46,E(c),73.256,35.739,2023,18.92,4016,0,other,0,23.68898030651365,23.90766370045569,23.688980306513646,-0.04373667878840877
47,E(c),73.344,35.675,2023,25.12,3428,0,other,0,21.811116572834933,22.613545559285345,21.811116572834933,-0.1604857972900824
48,E(o),73.357,35.652,2023,19.01,3735,0,other,0,19.70144380343279,19.774397726297476,19.70144380343279,-0.014590784572936855
49,E(o),73.352,35.643,2023,13.95,3747,0,other,0,19.70144380343279,19.774397726297476,19.70144380343279,-0.014590784572936855
50,E(o),73.568,35.904,2023,18.03,4109,0,other,0,25.756708018175633,25.247396414390366,25.756708018175633,0.10186232075705348
51,E(o),73.692,35.889,2023,11.02,3995,0,other,0,9.530340015311928,9.457587901662516,9.530340015311928,0.014550422729882584
52,E(c),73.577,35.88,2023,30.86,4059,0,other,0,28.15783449114347,26.557107663115225,28.15783449114347,0.32014536560564866
53,E(o),73.615,35.877,2023,14.58,3993,0,other,0,11.714710622675131,11.278142907528512,11.714710622675133,0.08731354302932423
54,E(o),73.746,35.865,2023,84.31,4140,0,other,0,75.2475944091597,62.51180785096842,75.2475944091597,2.5471573116382573
55,E(o),73.507,35.783,2023,12.26,3918,0,other,0,9.397382871467313,9.688774058853454,9.397382871467311,-0.0582782374772286
56,E(o),73.572,35.782,2023,22.07,4082,0,other,0,15.662493815648858,13.112707524782154,15.662493815648858,0.5099572581733408
57,E(c),73.911,35.972,2023,29.25,4426,0,other,0,23.25582330266036,23.183160853404782,23.25582330266036,0.014532489851115571
58,E(o),73.985,35.939,2023,19.57,4258,0,other,0,14.395550523113137,14.03202028081849,14.395550523113137,0.07270604845892947
59,E(o),73.945,35.917,2023,12.08,4178,0,other,0,12.583278777002016,11.637707966039008,12.583278777002016,0.18911416219260174
60,E(o),73.992,35.916,2023,11.42,4312,0,other,0,13.813934490727986,13.450404248433266,13.813934490727986,0.07270604845894404
61,E(o),73.922,35.906,2023,15.98,4223,0,other,0,12.583278777002016,11.637707966039008,12.583278777002016,0.18911416219260174
62,E(o),73.763,35.882,2023,40.94,4104,0,other,0,75.2475944091597,62.51180785096842,75.2475944091597,2.5471573116382573
63,E(o),73.929,35.868,2023,17.55,4064,0,other,0,14.33574362102688,13.389744529390347,14.335743621026879,0.18919981832730634
64,E(o),73.869,35.858,2023,15.26,4211,0,other,0,15.284866505779693,14.629801966822424,15.284866505779693,0.13101290779145386
65,E(o),73.775,35.856,2023,28.28,3962,0,other,0,47.52181525732616,35.586508447902276,47.52181525732616,2.387061361884777
66,E(o),73.877,35.852,2023,19.43,4166,0,other,0,15.284866505779693,14.629801966822424,15.284866505779693,0.13101290779145386
67,E(o),73.799,35.247,2023,17.06,3988,0,other,0,12.980478020429494,10.780394469049856,12.980478020429494,0.44001671027592765
68,E(o),73.958,35.184,2023,10.49,4120,0,other,0,7.85309839633605,7.045764910965859,7.85309839633605,0.1614666970740382
69,E(o),73.985,34.83,2023,20.67,3873,0,other,0,13.931343725879964,15.700432769791625,13.931343725879964,-0.3538178087823322
70,E(o),74.019,35.962,2023,15.37,4285,0,other,0,11.193267916906926,10.61178727490663,11.193267916906926,0.11629612840005912
71,E(c),74.083,35.817,2023,16.71,4269,0,other,0,14.344925735750392,12.306032882623192,14.344925735750392,0.40777857062543993
72,E(o),74.205,35.779,2023,12.36,4304,0,other,0,9.325027679784688,9.470724453277416,9.325027679784688,-0.029139354698545717
73,E(c),74.196,35.773,2023,11.01,4368,0,other,0,9.325027679784688,9.470724453277416,9.325027679784688,-0.029139354698545717
74,E(o),74.243,35.707,2023,15.89,4318,0,other,0,10.500173370969748,10.354333245407277,10.500173370969748,0.029168025112494077
75,E(o),74.23,35.686,2023,14.12,4336,0,other,0,10.500173370969748,10.354333245407277,10.500173370969748,0.029168025112494077
76,E(c),74.177,35.073,2023,11.97,4042,0,other,0,9.113144069448689,9.113136923407595,9.113144069448687,1.429208218439726e-06
77,E(c),74.294,35.821,2023,12.04,4313,0,other,0,9.902641785946615,9.829827248122356,9.902641785946617,0.014562907564852168
78,E(o),74.256,35.722,2023,10.77,4254,0,other,0,10.500173370969748,10.354333245407277,10.500173370969748,0.029168025112494077
79,E(o),74.676,35.4,2023,13.97,3386,0,other,0,15.664380827785289,15.298367100900194,15.664380827785289,0.07320274537701899
80,E(o),74.941,35.332,2023,11.74,4427,0,other,0,72.98127742730348,49.16754959298028,72.98127742730348,4.76274556686464
81,M(l),74.786,35.33,2023,15.07,3475,0,moraine,0,12.967162503026636,13.699780730947205,12.967162503026637,-0.14652364558411363
82,M(e),74.937,35.315,2023,20.13,4197,0,moraine,0,76.49856032302654,50.41324093030484,76.49856032302654,5.21706387854434
83,E(o),74.961,35.082,2023,30.64,4317,0,other,0,22.853893791329597,21.825097267417178,22.853893791329597,0.2057593047824838
84,E(o),74.958,35.075,2023,10.45,4413,0,other,0,22.853893791329597,21.825097267417178,22.853893791329597,0.2057593047824838
85,E(o),74.1,34.962,2023,29.65,3603,0,other,0,23.991268436690195,23.549715732949018,23.991268436690195,0.08831054074823541
86,E(c),74.138,34.948,2023,20.03,4011,0,other,0,16.487673886410068,16.193243208736334,16.487673886410068,0.05888613553474684
87,E(c),74.155,34.926,2023,21.64,3926,0,other,0,16.050301201888324,16.418434563920606,16.050301201888324,-0.07362667240645634
88,E(c),74.048,34.902,2023,21.58,3896,0,other,0,13.182803580734628,12.593638658801167,13.182803580734628,0.11783298438669228
89,E(c),74.077,34.858,2023,20.51,3680,0,other,0,17.095342258200127,16.87427878685283,17.095342258200127,0.044212694269459264
90,E(c),74.062,34.829,2023,93.9,3681,0,other,0,78.577048011921,70.46833283920911,78.577048011921,1.6217430345423764
91,E(c),74.477,34.876,2023,12.31,3592,0,other,0,11.419881420568636,9.061442672765809,11.419881420568636,0.4716877495605655
92,M(e),74.521,34.92,2023,60.6,4041,0,moraine,0,71.20158508318278,70.61251607248468,71.20158508318278,0.11781380213961938
93,E(c),74.68,34.908,2023,23.48,3864,0,other,0,22.16606005435013,22.3869904340688,22.166060054350126,-0.04418607594373469
94,E(c),74.523,34.849,2023,22.54,4016,0,other,0,27.776484805527986,18.27623741263248,27.776484805527982,1.9000494785791004
95,E(c),74.676,34.84,2023,10.66,3868,0,other,0,11.421669877699024,7.591398502250499,11.421669877699024,0.766054275089705
96,E(o),74.787,34.846,2023,14.18,3883,0,other,0,41.27094307515965,40.755048356097994,41.27094307515965,0.10317894381233117
97,E(c),74.809,34.845,2023,50.44,3992,0,other,0,41.27094307515965,40.755048356097994,41.27094307515965,0.10317894381233117
98,E(c),74.761,34.84,2023,25.43,3979,0,other,0,19.162748112893496,19.1627536677465,19.162748112893496,-1.1109706008483045e-06
99,E(c),74.819,34.548,2023,31.47,3872,0,other,0,25.66871635014161,25.298855119722372,25.66871635014161,0.07397224608384789
100,E(c),74.828,34.537,2023,30.51,3922,0,other,0,25.66871635014161,25.298855119722372,25.66871635014161,0.07397224608384789
101,E(o),74.921,34.493,2023,38.39,3881,0,other,0,33.971502111132644,33.009331477585846,33.971502111132644,0.19243412670935953
102,E(c),74.906,34.489,2023,11.89,4097,0,other,0,33.971502111132644,33.009331477585846,33.971502111132644,0.19243412670935953
103,E(o),74.913,34.47,2023,10.44,3852,0,other,0,33.823503865757274,32.86133640162018,33.823503865757274,0.19243349282741917
104,M(o),74.985,34.457,2023,10.33,3748,0,moraine,0,7.034169860541034,6.293734961779306,7.034169860541034,0.14808697975234572
105,E(o),74.932,34.452,2023,12.3,3889,0,other,0,151.3167538772035,149.61325848296966,151.3167538772035,0.3406990788467681
106,E(c),74.909,34.448,2023,15.48,3979,0,other,0,130.429482111346,128.9481916334004,130.429482111346,0.29625809558912125
107,E(c),74.892,34.444,2023,33.95,3846,0,other,0,60.659184856222886,60.06665982762024,60.659184856222886,0.1185050057205288
108,E(c),74.924,34.432,2023,161.04,3571,0,other,0,151.3167538772035,149.61325848296966,151.3167538772035,0.3406990788467681
109,E(o),74.936,34.418,2023,36.65,3503,0,other,0,151.3167538772035,149.61325848296966,151.3167538772035,0.3406990788467681
110,E(o),74.874,34.392,2023,27.31,3556,0,other,0,20.970635871104506,19.710882962995385,20.970635871104502,0.2519505816218235
111,E(c),74.944,34.385,2023,11.22,3722,0,other,0,8.225926617676498,6.817883501116746,8.225926617676498,0.28160862331195047
112,E(o),74.876,34.38,2023,11.58,3738,0,other,0,20.970635871104506,19.710882962995385,20.970635871104502,0.2519505816218235
113,E(c),74.417,33.866,2023,13.62,3968,0,other,0,19.242714851575553,19.242714462267305,19.242714851575553,7.786164957224173e-08
114,E(o),74.428,33.841,2023,45.46,3954,0,other,0,39.0083365221193,38.85915703912839,39.0083365221193,0.02983589659818193
115,E(o),74.435,33.829,2023,15.18,4043,0,other,0,39.0083365221193,38.85915703912839,39.0083365221193,0.02983589659818193
116,E(c),74.451,33.82,2023,29.43,3997,0,other,0,24.69388695649548,23.87320124404491,24.69388695649548,0.16413714249011377
117,E(o),74.526,33.74,2023,10.16,4018,0,other,0,8.961422347523568,8.214630422068481,8.961422347523568,0.14935838509101734
118,E(o),74.523,33.735,2023,13.69,4064,0,other,0,8.961422347523568,8.214630422068481,8.961422347523568,0.14935838509101734
119,E(o),74.526,33.559,2023,22.97,3851,0,other,0,18.18408372065635,11.824563273374364,18.18408372065635,1.271904089456397
120,E(o),74.543,33.55,2023,16.04,3912,0,other,0,19.53591105444801,19.2365791918584,19.53591105444801,0.05986637251792217
121,E(o),74.523,33.54,2023,10.32,3812,0,other,0,18.18408372065635,11.824563273374364,18.18408372065635,1.271904089456397
122,E(o),74.565,33.54,2023,21.73,3967,0,other,0,37.13270683404131,30.24527164685327,37.13270683404131,1.3774870374376078
123,E(o),74.555,33.536,2023,31.85,4006,0,other,0,19.53591105444801,19.2365791918584,19.53591105444801,0.05986637251792217
124,E(o),74.574,33.53,2023,12.27,3955,0,other,0,61.38985386785405,53.60400070231495,61.38985386785405,1.5571706331078203
125,E(c),74.561,33.528,2023,11.15,4096,0,other,0,61.38985386785405,53.60400070231495,61.38985386785405,1.5571706331078203
126,E(o),74.605,33.522,2023,12.33,3844,0,other,0,61.38985386785405,53.60400070231495,61.38985386785405,1.5571706331078203
127,E(o),74.584,33.519,2023,70.83,3934,0,other,0,61.38985386785405,53.60400070231495,61.38985386785405,1.5571706331078203
128,E(o),74.564,33.51,2023,25.15,3909,0,other,0,61.38985386785405,53.60400070231495,61.38985386785405,1.5571706331078203
129,E(o),74.625,33.509,2023,33.7,3937,0,other,0,31.372284091499857,30.69840416479099,31.372284091499854,0.13477598534177276
130,E(c),74.594,33.505,2023,11.35,4089,0,other,0,61.38985386785405,53.60400070231495,61.38985386785405,1.5571706331078203
131,E(o),74.565,33.496,2023,11.18,3812,0,other,0,25.82939994758409,23.80798262695484,25.82939994758409,0.40428346412585014
132,E(c),74.614,33.444,2023,14.88,3580,0,other,0,2.1730097615724735,1.7978347682132303,2.1730097615724735,0.07503499867184864
133,O,74.769,33.512,2023,128.54,3486,0,other,0,123.0138683498062,122.26511477574951,123.0138683498062,0.14975071481133853
134,E(o),74.85,33.503,2023,14.64,3623,0,other,0,38.04594635515717,13.927637011452903,38.04594635515717,4.823661868740854
135,E(o),75.194,35.264,2023,19.03,4551,0,other,0,17.010564403715012,17.157210442494666,17.010564403715012,-0.02932920775593075
136,E(o),75.182,35.231,2023,11.26,4547,0,other,0,8.508717238772846,8.435371808002929,8.508717238772846,0.014669086153983458
137,E(o),75.228,35.119,2023,17.81,4586,0,other,0,13.074412768064189,13.074408143508096,13.074412768064189,9.249112185472085e-07
138,E(c),75.198,35.049,2023,12.71,4398,0,other,0,9.630478148546974,9.262904579452771,9.630478148546974,0.0735147138188406
139,E(o),75.001,35.016,2023,10.87,3931,0,other,0,9.854935346869974,8.604683707105698,9.854935346869974,0.25005032795285514
140,E(o),75.422,35.182,2023,14.33,4530,0,other,0,12.403687666400504,12.183488764036047,12.403687666400504,0.044039780472891366
141,E(o),75.261,35.143,2023,11.84,4659,0,other,0,22.53771315857055,9.839599988485942,22.537713158570554,2.5396226340169226
142,E(o),75.321,35.132,2023,19.58,4526,0,other,0,16.15672988019728,16.3770493078578,16.15672988019728,-0.04406388553210405
143,E(o),75.521,35.172,2023,10.3,4551,0,other,0,8.588325962441528,8.514923063665869,8.588325962441528,0.014680579755131973
144,E(o),75.579,35.096,2023,10.98,4375,0,other,0,8.96368537735242,8.890209550813129,8.96368537735242,0.014695165307858105
145,E(o),75.725,35.027,2023,12.92,4647,0,other,0,7.500571838717643,7.9417851877956345,7.500571838717643,-0.08824266981559833
146,O,75.236,34.991,2023,129.62,4138,0,other,0,115.64745213580038,101.81731002278669,115.64745213580038,2.7660284226027385
147,E(c),75.051,34.972,2023,14.29,4265,0,other,0,11.847057791365318,11.47913808437887,11.847057791365318,0.07358394139728937
148,E(o),75.25,34.922,2023,14.22,4152,0,other,0,9.571783824605072,2.429751388715416,9.571783824605072,1.4284064871779312
149,E(o),75.177,34.92,2023,14.54,4257,0,other,0,11.633746555606033,11.781014951504622,11.633746555606033,-0.029453679179717796
150,E(o),75.189,34.919,2023,14.34,4225,0,other,0,11.633746555606033,11.781014951504622,11.633746555606033,-0.029453679179717796
151,E(o),75.137,34.697,2023,64.95,4103,0,other,0,57.36649651851299,56.40672005752734,57.36649651851299,0.19195529219713023
152,E(o),75.14,34.684,2023,21.41,4133,0,other,0,57.36649651851299,56.40672005752734,57.36649651851299,0.19195529219713023
153,E(o),75.179,34.666,2023,74.54,4234,0,other,0,65.65952711489385,64.84713268761321,65.65952711489385,0.16247888545612738
154,E(c),75.058,34.422,2023,40.12,3570,0,other,0,36.14862774040238,35.40785923504799,36.14862774040238,0.14815370107087916
155,E(c),75.103,34.397,2023,29.55,3812,0,other,0,39.34977593654993,39.27567793613651,39.34977593654993,0.014819600082684303
156,E(c),75.119,34.388,2023,47.25,3663,0,other,0,39.34977593654993,39.27567793613651,39.34977593654993,0.014819600082684303
157,E(o),75.147,34.207,2023,10.35,3699,0,other,0,6.906591341366802,6.758056741135794,6.906591341366802,0.029706920046201547
158,E(o),75.205,34.203,2023,15.92,3682,0,other,0,11.585917987040617,11.808746387878875,11.585917987040615,-0.044565680167652034
159,E(o),75.113,34.156,2023,10.27,3941,0,other,0,36.11962177232615,32.25496400390402,36.11962177232615,0.7729315536844255
160,E(o),75.11,34.144,2023,43.47,3810,0,other,0,36.11962177232615,32.25496400390402,36.11962177232615,0.7729315536844255
161,E(c),75.148,34.14,2023,82.93,3780,0,other,0,71.79724534614945,65.25703285159305,71.79724534614945,1.30804249891128
162,E(o),75.161,34.093,2023,17.8,3919,0,other,0,12.56761725946506,10.113560773085146,12.56761725946506,0.4908112972759827
163,E(o),75.216,34.063,2023,13.36,3691,0,other,0,9.22453425166418,7.6622956467615335,9.224534251664181,0.31244772098052953
164,E(c),75.382,34.825,2023,22.94,4315,0,other,0,18.20796653017041,18.50284869101826,18.20796653017041,-0.05897643216957036
165,E(o),75.48,34.775,2023,10.8,4626,0,other,0,8.998811340659838,7.4498188563072745,8.998811340659838,0.3097984968705127
166,E(o),75.275,34.234,2023,18.23,3830,0,other,0,14.476938405188095,14.179980932308492,14.476938405188095,0.05939149457592059
167,E(c),75.321,34.193,2023,10.81,3734,0,other,0,17.384569787978627,27.9354651826457,17.384569787978627,-2.1101790789334145
168,E(c),75.373,34.184,2023,16.8,4276,0,other,0,16.491237412537682,16.93694902393726,16.491237412537682,-0.08914232227991548
169,E(o),75.377,34.139,2023,33.45,3709,0,other,0,27.202939976178698,26.756972596180734,27.202939976178698,0.08919347599959267
170,O,75.498,34.094,2023,52.27,3575,0,other,0,52.35270703218281,52.42706735200061,52.35270703218281,-0.014872063963559867
171,E(o),75.475,34.067,2023,17.85,3724,0,other,0,15.249575477279723,15.10080220299239,15.249575477279723,0.029754654857466534
172,E(o),75.553,34.987,2023,17.86,4269,0,other,0,14.125647322798644,13.757791569770948,14.125647322798645,0.07357115060553951
173,E(o),75.545,34.965,2023,13.7,4412,0,other,0,14.125647322798644,13.757791569770948,14.125647322798645,0.07357115060553951
174,E(o),75.592,34.947,2023,24.89,4558,0,other,0,20.462739459141304,20.462739237812997,20.462739459141304,4.426566135862231e-08
175,E(o),75.617,34.896,2023,11.97,4547,0,other,0,12.15270571339669,11.416184059004555,12.15270571339669,0.14730433087842698
176,E(o),75.713,34.893,2023,19.39,4589,0,other,0,15.09925617287771,14.804641509522073,15.09925617287771,0.05892293267112762
177,E(o),75.68,34.883,2023,13.31,4627,0,other,0,12.522960900599251,12.67029188281625,12.522960900599253,-0.029466196443399185
178,E(o),75.716,34.873,2023,15.83,4664,0,other,0,15.09925617287771,14.804641509522073,15.09925617287771,0.05892293267112762
179,E(o),75.545,34.808,2023,12.86,4687,0,other,0,13.64036124154306,13.124223454013178,13.64036124154306,0.10322755750597637
180,E(o),75.649,34.491,2023,15.37,4521,0,other,0,10.954007056566716,9.547751939750752,10.954007056566716,0.28125102336319296
181,E(o),75.763,34.947,2023,25.14,4778,0,other,0,21.346016656522647,21.493232478296026,21.346016656522647,-0.029443164354675845
182,E(o),75.892,34.888,2023,10.29,4882,0,other,0,16.428074616776385,16.42807372505643,16.428074616776385,1.7834399130833843e-07
183,E(o),75.871,34.878,2023,18.96,4687,0,other,0,16.428074616776385,16.42807372505643,16.428074616776385,1.7834399130833843e-07
184,E(o),75.942,34.859,2023,13.73,4796,0,other,0,11.568669538688532,12.231843829358596,11.568669538688532,-0.13263485813401274
185,M(e),75.844,34.04,2023,25.26,4094,0,moraine,0,91.2530018726778,119.23807997574934,91.25300187267781,-5.597015620614306
186,E(o),75.378,33.953,2023,15.37,3644,0,other,0,15.791393535965756,12.215931001576333,15.791393535965756,0.7150925068778846
187,E(c),75.411,33.952,2023,26.79,4082,0,other,0,20.558889844851603,19.292579063508867,20.558889844851603,0.25326215626854703
188,E(c),75.389,33.929,2023,19.34,4048,0,other,0,13.10986402723215,12.815647317329269,13.10986402723215,0.05884334198057637
189,E(o),75.47,33.754,2023,10.88,3921,0,other,0,2.6131792922109396,5.002355508448626,2.6131792922109396,-0.4778352432475373
190,E(c),75.537,33.619,2023,10.85,3852,0,other,0,7.029252907761173,6.281461376409553,7.029252907761173,0.14955830627032415
191,M(l),76.03,35.954,2023,10.62,4276,0,moraine,0,26.529612776114035,41.64818898789095,26.529612776114035,-3.023715242355382
192,O,76.205,35.171,2023,30.72,3301,0,other,0,24.07685128844097,24.223665929365243,24.07685128844097,-0.029362928184854552
193,E(o),76.234,35.097,2023,22.96,4512,0,other,0,21.161119938861933,19.32420605159572,21.161119938861933,0.36738277745324266
194,M(l),76.41,35.73,2023,13.28,4161,0,moraine,0,521.1557923802166,455.3855178684829,521.1557923802166,13.15405490234673
195,M(l),76.375,35.72,2023,12.14,4140,0,moraine,0,336.5923816377833,264.55174538698475,336.5923816377833,14.408127250159714
196,M(e),76.252,35.092,2023,24.01,4533,0,moraine,0,21.161119938861933,19.32420605159572,21.161119938861933,0.36738277745324266
197,E(c),76.293,35.074,2023,12.08,4599,0,other,0,17.19804091609273,18.962151869227068,17.19804091609273,-0.35282219062686765
198,E(o),76.261,35.056,2023,16.89,4881,0,other,0,19.91743779653452,18.962151869227068,19.917437796534518,0.19105718546149006
199,E(o),76.32,35.011,2023,15.36,4753,0,other,0,11.400216624966813,10.223435778857542,11.400216624966811,0.23535616922185376
200,M(e),76.075,34.351,2023,10.63,4435,0,moraine,0,108.41008921302802,59.91717391275911,108.41008921302802,9.698583060053782
201,E(o),76.383,34.854,2023,13.61,4688,0,other,0,8.916517236731226,7.516405205335471,8.916517236731226,0.28002240627915087
202,E(o),76.368,34.854,2023,13.27,4821,0,other,0,8.916517236731226,10.978782237833025,8.916517236731226,-0.4124530002203599
203,E(o),76.352,34.833,2023,10.34,4818,0,other,0,8.179639730332305,8.843503019266999,8.179639730332305,-0.1327726577869388
204,E(o),76.456,34.827,2023,19.82,4648,0,other,0,15.037352184666888,13.78438336882641,15.037352184666888,0.2505937631680958
205,E(o),76.409,34.818,2023,10.2,4816,0,other,0,5.529147746161161,5.160543486886225,5.529147746161161,0.07372085185498722
206,E(o),76.5,34.772,2023,10.53,4761,0,other,0,7.744511796325558,7.081335115496747,7.744511796325558,0.13263533616576204
207,E(o),76.469,34.762,2023,17.67,4895,0,other,0,12.172461161977068,13.13149210139859,12.172461161977067,-0.19180618788430479
208,E(o),76.517,34.813,2023,20.6,4771,0,other,0,14.37662288692742,13.197006741224994,14.37662288692742,0.23592322914048508
209,E(o),76.502,34.811,2023,12.91,4762,0,other,0,14.37662288692742,13.197006741224994,14.37662288692742,0.23592322914048508
210,E(o),76.711,34.765,2023,10.06,5123,0,other,0,81.44064475366343,61.22894829416107,81.44064475366343,4.042339291900473
211,M(e),76.718,34.051,2023,15.8,5093,0,moraine,0,17.70765782304155,46.43672729246524,17.70765782304155,-5.745813893884739
212,M(e),76.721,34.005,2023,18.32,5050,0,moraine,0,18.38737204888485,16.52631078876849,18.387372048884846,0.3722122520232709
213,E(o),76.758,34.671,2023,29.88,4965,0,other,0,27.990510948238796,27.399682803903957,27.990510948238796,0.11816562886696787
214,M(e),76.788,34.006,2023,14.15,5126,0,moraine,0,15.851378032265735,16.818817525387637,15.851378032265737,-0.1934878986243799
215,M(e),76.23,33.945,2023,49.66,4357,0,moraine,0,46.633722412146554,43.72847220179728,46.633722412146554,0.5810500420698546
