Longitude,Latitude,Year_final,Lake_area_calculated_ha,Elevation_m,Lake_type_simplified,is_supraglacial,glacier_area_ha,slope_glac_to_lake,glacier_contact,glacier_touch_count,nearest_glacier_dist_m,glacier_elev_m,5y_expansion_rate,10y_expansion_rate,GLOF
76.27,35.496,1993,0.2193932690453487,3634,ice,0,77.76671009560117,0.0,1,2,0.0,4669.0,,,1
74.609,42.522,1993,83.33647789930858,3466,other,0,536.1258049091829,0.0,1,2,0.0,3985.0,,,1
77.311,35.253,1993,1.9060637591359064,4278,ice,0,31140.745454374857,0.0,1,3,0.0,6093.0,,,1
77.271,43.146,1993,0.7862521003400469,3415,moraine,0,4.550561231949285,0.8334795496181823,0,0,416.32695146384935,3748.0,,,1
73.197,36.033,1993,38.48798521714529,4574,moraine,0,14.602316349202177,0.0,1,2,0.0,4722.0,3.675046308806336,,1
79.846,42.207,1993,19.15788572354551,3269,ice,0,396.1181564714431,3.508303933863591,0,0,373.6848416540224,4590.0,,,1
82.118,30.356,1994,17.902470307803707,5302,moraine,0,1260.7187797021004,0.0,1,1,0.0,5713.0,1.0692497853376068,,1
74.07,36.62,1994,0.144143080179491,2857,ice,0,8188.853082122288,7.747804582816491,0,0,175.40452724040887,4221.0,-17.528538394335122,,1
73.196,36.027,1994,3.994105459561251,4762,moraine,0,14.602316349202177,0.0,1,2,0.0,4722.0,-3.2533493749664033,,1
77.03,42.97,1994,,3584,moraine,0,220.07365682083116,0.5360796093454094,0,0,408.5214139508389,3803.0,,,1
79.846,42.207,1994,255.90156838724903,3269,ice,0,121243.04376581848,0.0,1,4,0.0,4590.0,,,1
90.3,28.092,1994,24.399810180007837,4513,moraine,0,2094.2350308936216,0.0,1,1,0.0,5078.0,2.994450410724652,,1
91.937,28.802,1995,10.308361841841451,5206,moraine,0,861.8307921730309,0.0,1,3,0.0,5769.0,-1.6684591890859597,,1
85.37,28.662,1995,6.776400653457245,4735,moraine,0,1234.0603741806729,0.0,1,2,0.0,5350.0,0.1418328434546625,,1
77.1,43.0,1995,0.1970399153203944,3930,moraine,0,149.5953499162941,10.513621016770053,0,0,36.23870400048423,4025.0,,,1
79.846,42.207,1995,251.64477126048612,3269,ice,0,121243.04376581848,0.0,1,4,0.0,4590.0,-18.369397657844836,,1
85.478,28.663,1995,20.490726987090863,5202,moraine,0,1027.6226055786458,0.0,1,1,0.0,5490.0,1.703219339826146,,1
75.22,36.5,1996,1.7328530072273267,2941,ice,0,32873.35872491452,0.0,1,4,0.0,5122.0,0.3032730141900611,,1
77.15,43.08,1996,8.394317754878163,3316,other,0,120.7850516719826,0.0,1,3,0.0,4128.0,,,1
92.387,27.705,1996,5.6447845269314225,5009,moraine,0,313.8026622573356,0.0,1,1,0.0,5109.0,0.0159007086227889,,1
79.846,42.207,1996,206.6180926876256,3269,ice,0,121243.04376581848,0.0,1,4,0.0,4590.0,-27.374733372416944,,1
88.782,27.901,1997,48.80677407892184,5114,moraine,0,1411.4292070262454,0.0,1,3,0.0,5700.0,3.777239931268982,,1
77.15,43.08,1997,8.394317754878163,3316,other,0,120.7850516719826,0.0,1,3,0.0,4128.0,,,1
77.04,43.04,1997,12.864760102268743,3487,ice,0,132.73643859648095,0.0,1,3,0.0,3993.0,2.4679493361600953,,1
77.024,43.016,1997,12.864760102268743,3454,ice,0,132.73643859648095,0.0,1,3,0.0,3993.0,,,1
79.846,42.207,1997,241.94075885930897,3269,ice,0,120846.92560934702,0.0,1,3,0.0,4369.0,-8.377995912295324,,1
77.193,35.677,1997,0.9482907427474104,4779,ice,0,27626.56738116892,0.0,1,3,0.0,5653.0,-0.1167309076616684,,1
76.566,43.006,1997,0.0656622069793875,2317,ice,0,,,0,0,,,-0.8803268064127414,,1
90.418,27.903,1997,2.0631761220566043,5128,moraine,0,49.25855174066616,0.1484458956274341,0,0,377.2418210911498,5210.0,-2.5866964196927165,,1
90.807,27.899,1998,39.91989250098235,4825,moraine,0,435.01389673558,4.914841536974618,0,0,93.3905999912547,5171.0,0.460321435315565,5.111276087743841,1
76.602,42.923,1998,9.073997979125954,3423,moraine,0,4.060653348751401,0.3932240499331356,0,0,732.4068811380482,3681.0,1.7621814047416322,,1
71.568,39.75,1998,7.25056128161129,3826,moraine,0,214.21974843524947,0.0,1,2,0.0,4164.0,,,1
79.846,42.207,1998,238.9480543757374,3269,ice,0,120846.92560934702,0.0,1,3,0.0,4369.0,43.95803373043837,,1
86.845,27.743,1998,44.66578150883017,4379,moraine,0,994.237220453094,0.0,1,3,0.0,5761.0,0.34970612105556,-17.154349580508335,1
86.776,27.955,1998,6.503130631658225,5010,moraine,0,11626.125066732258,0.0,1,4,0.0,5399.0,0.6977688270352002,-0.333085792907373,1
77.193,35.677,1998,87.97260670634473,4779,ice,0,27626.56738116892,0.0,1,3,0.0,5653.0,17.53615198107204,,1
74.54,42.528,1999,116.18082974355912,3627,moraine,0,770.2473694736645,0.0,1,2,0.0,3944.0,-15.060844539028594,23.011191478780365,1
75.479,36.342,1999,0.2893841692208727,3475,other,0,53385.61402318674,0.0,1,4,0.0,4744.0,1.514526736579036e-07,,1
