,Elevation_m,GLOF,Lake_type,Lake_type_simplified,Latitude,Longitude,Year_final,id,is_supraglacial,Lake_area_calculated_ha,Lake_area_ha
83,3627,1,moraine,moraine,42.528,74.54,1999,83,0,116.18082974355913,
84,3475,1,water pocket,other,36.342,75.479,1999,84,0,0.2893841692208727,
85,3466,1,water pocket,other,42.522,74.609,1999,85,0,34.55397865341369,
86,3269,1,ice,ice,42.207,79.846,1999,86,0,200.7631941465663,261.9366
87,4779,1,ice,ice,35.677,77.193,1999,87,0,190.82678777416197,181.9255
88,3466,1,water pocket,other,42.522,74.609,2000,88,0,124.83972952546175,
89,4278,1,ice,ice,35.253,77.311,2000,89,0,72.53530807585625,40.6
90,3551,1,ice,ice,36.84,73.92,2000,90,0,19.695219728591038,27.0
91,3475,1,ice,ice,36.342,75.479,2000,91,0,0.2893841692208727,187.0
92,3269,1,ice,ice,42.207,79.846,2000,92,0,2.460605715311892,52.132200000000005
93,3634,1,moraine,moraine,35.496,76.27,2000,93,0,38.9731571289951,
94,3475,1,ice,ice,36.342,75.479,2001,94,0,0.2893841692208727,37.3048
95,3269,1,ice,ice,42.207,79.846,2001,95,0,2.5271084134991435,113.1096
96,4909,1,moraine,moraine,28.211,89.745,2001,96,0,74.54239536871982,73.1298
97,4864,1,moraine,moraine,28.139,85.92,2002,97,0,42.44994977871511,5.62
98,2807,1,ice,ice,36.35,74.57,2002,98,0,0.5784413877739918,
99,4278,1,ice,ice,35.253,77.311,2002,99,0,0.36657234680386014,60.3
100,3475,1,ice,ice,36.342,75.479,2002,100,0,,28.151100000000003
101,3269,1,ice,ice,42.207,79.846,2002,101,0,,255.6962
102,4386,1,supraglacial,ice,37.22,71.734,2002,102,1,69.72871314311578,5.0137
103,4779,1,ice,ice,35.677,77.193,2002,103,0,0.5107309520446435,264.98130000000003
104,3475,1,ice,ice,36.342,75.479,2002,104,0,,
105,3785,1,moraine,moraine,36.613,73.896,2002,105,0,852.5117202062428,13.5
106,4124,1,moraine,moraine,30.684,94.324,2002,106,0,15.679550436656815,14.75
107,4667,1,moraine,moraine,29.632,93.546,2002,107,0,40.04299754481685,5.75
108,5187,1,moraine,moraine,34.477,76.971,2003,108,0,5.551901061891213,
109,3466,1,water pocket,other,42.522,74.609,2003,109,0,,
110,3475,1,ice,ice,36.342,75.479,2003,110,0,,6.9846
